,driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60
0,2,96517,182076,267496,353245,438954,531708,687715,773537,858074,942830,1027864,1119707,1239839,1353871,1497952,1583857,1670019,1756292,1843412,1931827,2025414,2135996,2223468,2311277,2398919,2486936,2574786,2662919,2750521,2838902,2926982,3015309,3104227,3193317,3287440,3399212,3487025,3574006,3660600,3751069,3838385,3930109,4018637,4106260,4193884,4281976,4368458,4454747,4541280,4628076,4715920,4804060,4891038,4978667,5065574,5153719,5241359,5327645,105327645,205327645
1,4,91876,175584,259695,343722,427732,524907,684664,769807,853483,937022,1020235,1116458,1237535,1351677,1495735,1582114,1668474,1755090,1841574,1928180,2014509,2100843,2187383,2273569,2360292,2445776,2530058,2613713,2698216,2782255,2866269,2949421,3032505,3115726,3198956,3282987,3365806,3454400,3579665,3663981,3749311,3834275,3920915,4006208,4092162,4176931,4262572,4347196,4431739,4515884,4600151,4690218,104690218,204690218,304690218,404690218,504690218,604690218,704690218,804690218
2,8,87618,171104,254669,338514,422456,519002,682528,766388,849299,932479,1017199,1107701,1223433,1342958,1490867,1576203,1659985,1743908,1828239,1913062,1997842,2082613,2167341,2252037,2336681,2420990,2505326,2589716,2675160,2759726,2843955,2927424,3010622,3093767,3182825,3290065,3373832,3457922,3542090,3626604,3711392,3798848,3884140,3969042,4053980,4138840,4223456,4312536,4396914,4481490,4566270,4651104,4735540,4820048,4904378,4989130,5073844,5158246,5243113,5328210
3,14,93099,177999,262786,347552,432641,527204,692209,779940,866131,951691,1037694,1126727,1214906,1338749,1490243,1577235,1662491,1747471,1832135,1917172,2002522,2087993,2174071,2259631,2345298,2430585,2515753,2606291,2712921,2798358,2882500,2967681,3052834,3138508,3223797,3308692,3393406,3479472,3563897,3648266,3732694,3816119,3899589,3983025,4066760,4150483,4239690,4342694,4426221,4511831,4597100,4680499,4764454,4849639,4934331,5018728,5103661,5188596,5271689,5354381
4,15,86970,170191,253518,337188,420816,518136,682233,765641,848438,931857,1015233,1104448,1223089,1342184,1490766,1577626,1663068,1748064,1833286,1918177,2003616,2090098,2174952,2260591,2346295,2432953,2519308,2604360,2689354,2774268,2860328,2945320,3029349,3113902,3197939,3288386,3396237,3481733,3568010,3652988,3738186,3823846,3909495,3995692,4081288,4166755,4252090,4339766,4425021,4509819,4594613,4679191,4764241,4849120,4933678,5018298,5103430,5189403,5274487,5360621
5,17,94917,180383,265929,351256,436649,528400,686791,772559,856682,941192,1025932,1117367,1230824,1347629,1493207,1580896,1666893,1753513,1839863,1926223,2012670,2099118,2185322,2272394,2359928,2444938,2528957,2612790,2697201,2787457,2893627,2978583,3064310,3149362,3234297,3319483,3404607,3489652,3574637,3661116,3748207,3833887,3920337,4005339,4090837,4176094,4267922,4375452,4461227,4546881,4632109,4716666,4801941,4887094,4971994,5059317,5145156,5232338,5319222,105319222
6,18,96687,182624,268246,353937,439860,533440,688129,773868,858773,943476,1028469,1125001,1248513,1357684,1499944,1586522,1672372,1758364,1844297,1932243,2017981,2103441,2189241,2275854,2362900,2449413,2535037,2620808,2706658,2792520,2879692,2965679,3051111,3137327,3222051,3306622,3391090,3476495,3561048,3645254,3730035,3819539,3925678,4009821,4095050,4179356,4264091,4348112,4432503,4516822,4600925,4685250,4769162,4853814,4938741,5023688,5108409,5193698,5278425,5363032
7,21,97438,183703,269292,355170,441096,538520,689333,775163,860002,944865,1030431,1124179,1242942,1355059,1498894,1584637,1670500,1756989,1843846,1932863,2020232,2106403,2192307,2278316,2364531,2450366,2536382,2622065,2708096,2793755,2880163,2967134,3052447,3138101,3223323,3308149,3393044,3484436,3593604,3678427,3763796,3849252,3934514,4109980,104109980,204109980,304109980,404109980,504109980,604109980,704109980,804109980,904109980,1004109980,1104109980,1204109980,1304109980,1404109980,1504109980,1604109980
8,22,89385,172897,255752,339183,422976,520369,683258,767104,849823,933039,1016452,1105653,1224923,1346648,1493088,1578120,1664490,1748592,1833584,1918437,2003758,2090797,2175615,2260762,2346682,2431787,2516228,2601129,2685963,2770084,2853753,2936943,3019565,3103193,3186085,3268982,3351507,3433743,3521676,3627718,3711594,3797280,3881400,3965809,4050434,4134610,4218252,4302038,4386329,4470212,4554454,4638764,4722704,4807190,4891802,4976448,5061380,5146862,5231858,5317554
9,23,89998,173883,257652,341391,425186,522861,683715,768332,851559,934502,1018067,1108626,1224047,1343624,1491667,1577944,1665421,1752273,1844852,1949649,2032777,2116567,2200772,2284769,2368790,2453458,2539525,2625566,2711647,2795515,2880563,2966245,3051770,3136609,3221397,3305792,3390406,3475604,3566362,3673825,3762609,3847036,3932112,4017981,4103543,4188232,4273621,4358502,4442845,4527863,4612658,4697305,4781709,4866328,4950822,5034973,5120010,5204870,5289583,5375586
