raceId,driverId,stop,lap,time,duration,milliseconds
224,83,1,9,14:15:23,59.577,59577
224,818,1,14,14:23:00,31.176,31176
224,63,1,16,14:26:04,31.159,31159
224,21,1,18,14:29:57,45.501,45501
224,44,1,19,14:31:01,25.109,25109
224,30,1,20,14:31:47,29.301,29301
224,49,1,20,14:32:36,38.449,38449
224,64,1,20,14:33:07,34.008,34008
224,56,1,22,14:35:17,27.894,27894
224,77,1,24,14:38:55,24.534,24534
224,22,1,25,14:40:31,27.954,27954
224,79,1,27,14:44:23,33.075,33075
224,3,1,28,14:46:27,34.856,34856
224,35,1,30,14:47:33,34.503,34503
224,57,1,30,14:48:31,31.244,31244
224,71,1,32,14:50:43,35.315,35315
224,44,2,31,14:50:45,30.289,30289
224,30,2,32,14:51:39,1:22.736,82736
224,83,2,30,14:51:51,32.663,32662
224,64,2,32,14:53:25,29.773,29773
224,63,2,35,14:57:15,26.727,26727
224,49,2,39,15:04:00,27.796,27796
224,83,3,37,15:05:13,1:49.211,109211
224,77,2,41,15:06:26,25.069,25069
224,56,2,42,15:07:38,26.934,26934
225,69,1,10,14:18:17,47.560,47560
225,14,1,22,14:37:32,50.150,50150
225,30,1,24,14:40:04,47.675,47675
225,49,1,26,14:43:19,45.063,45063
225,44,1,26,14:43:56,47.828,47828
225,65,1,27,14:46:17,45.434,45434
225,57,1,30,14:50:24,47.573,47573
225,84,1,30,14:50:26,48.641,48641
225,79,1,32,14:54:25,48.071,48071
225,83,1,33,14:56:10,48.716,48716
225,22,1,34,14:56:20,47.665,47665
225,56,1,35,14:58:32,45.683,45683
225,63,1,36,15:00:07,47.256,47256
225,64,1,38,15:03:54,48.637,48637
225,71,1,40,15:05:47,46.581,46581
225,30,2,40,15:06:58,44.370,44370
225,69,2,39,15:08:40,53.251,53251
225,55,1,42,15:09:11,46.561,46561
225,44,2,42,15:10:39,44.776,44776
225,79,2,42,15:11:30,30.771,30771
225,22,2,43,15:11:40,44.266,44266
225,63,2,43,15:12:02,44.087,44087
225,57,2,43,15:12:04,42.349,42349
225,56,2,43,15:12:24,41.014,41014
225,64,2,43,15:12:44,42.945,42945
225,84,2,44,15:13:49,52.338,52338
225,79,3,45,15:16:42,45.732,45732
225,83,2,46,15:18:01,51.043,51043
226,63,1,15,14:24:48,3:29.116,209116
226,58,1,16,14:25:23,28.593,28593
226,85,1,17,14:27:32,27.067,27067
226,49,1,20,14:31:14,24.836,24836
226,30,1,21,14:32:05,24.645,24645
226,818,1,21,14:32:46,28.863,28863
226,79,1,21,14:32:58,27.092,27092
226,55,1,22,14:33:37,24.309,24309
226,65,1,22,14:34:36,25.728,25728
226,69,1,22,14:35:43,29.711,29711
226,71,1,24,14:36:31,27.091,27091
226,77,1,24,14:36:43,25.572,25572
226,3,1,23,14:36:47,28.495,28495
226,35,1,25,14:38:31,29.759,29759
226,14,1,26,14:40:22,25.714,25714
226,56,1,26,14:40:26,25.400,25400
226,22,1,28,14:43:42,34.984,34984
226,63,2,25,14:43:51,32.543,32543
226,44,1,28,14:44:12,29.067,29067
226,63,3,26,14:45:59,14:11.244,851244
226,64,1,29,14:46:06,49.885,49885
226,85,2,30,14:47:49,30.506,30506
226,84,1,31,14:47:51,34.030,34030
226,44,2,31,14:51:07,26.855,26855
226,83,1,39,15:05:14,30.206,30206
226,30,2,40,15:06:04,29.269,29269
226,55,2,44,15:12:02,41.887,41887
226,818,2,45,15:14:02,26.724,26724
226,77,2,47,15:16:40,25.888,25888
226,56,2,47,15:17:05,27.296,27296
226,35,2,49,15:19:43,25.728,25728
226,65,2,49,15:20:24,26.058,26058
226,14,2,50,15:21:41,24.067,24067
226,71,2,51,15:22:32,25.308,25308
226,85,3,51,15:26:11,28.251,28251
226,77,3,56,15:30:43,24.507,24507
227,77,1,1,14:01:35,1:09.434,69434
227,49,1,20,14:27:55,28.421,28421
227,818,1,21,14:29:27,30.932,30932
227,83,1,21,14:29:52,30.112,30112
227,71,1,22,14:30:37,42.349,42349
227,84,1,22,14:30:48,30.386,30386
227,65,1,22,14:30:49,29.794,29794
227,77,2,22,14:31:29,29.730,29730
227,30,1,23,14:32:00,28.340,28340
227,14,1,24,14:33:20,31.288,31288
227,22,1,24,14:33:22,33.913,33913
227,3,1,24,14:34:07,32.966,32966
227,21,1,24,14:34:19,33.641,33641
227,57,1,25,14:34:50,26.428,26428
227,79,1,24,14:35:33,29.323,29323
227,35,1,26,14:35:54,30.934,30934
227,63,1,28,14:39:29,27.618,27618
227,64,1,29,14:41:14,34.619,34619
227,57,2,31,14:43:25,31.058,31058
227,49,2,42,14:59:05,28.723,28723
227,71,2,43,15:00:31,28.955,28955
227,63,2,43,15:00:41,28.097,28097
227,30,2,44,15:01:15,29.828,29828
227,57,3,45,15:01:49,28.471,28471
227,83,2,43,15:01:54,30.003,30003
227,77,3,44,15:02:19,40.593,40593
227,22,2,45,15:03:03,32.469,32469
227,65,2,45,15:03:29,29.080,29080
227,35,2,46,15:03:59,29.688,29688
227,3,2,45,15:04:26,31.741,31741
227,14,2,46,15:04:27,28.576,28576
227,79,2,45,15:05:09,30.236,30236
227,84,2,47,15:06:05,28.931,28931
227,21,2,46,15:06:26,31.649,31649
227,57,4,50,15:10:32,31.281,31281
227,49,3,57,15:20:50,27.729,27729
228,35,1,1,14:02:24,30.203,30203
228,44,1,14,14:21:41,24.945,24945
228,21,1,16,14:25:04,25.111,25111
228,69,1,16,14:25:12,24.226,24226
228,818,1,18,14:27:36,35.077,35077
228,57,1,18,14:27:43,23.518,23518
228,79,1,18,14:27:46,22.875,22875
228,55,1,19,14:29:04,34.112,34112
228,14,1,20,14:30:09,23.039,23039
228,69,2,19,14:30:22,24.898,24898
228,49,1,20,14:30:43,23.034,23034
228,3,1,20,14:31:11,26.715,26715
228,83,1,20,14:31:13,20.722,20722
