raceId,year,round,circuitId,name,date,time,url,positionPointsRace
833,1950,1,9,British Grand Prix,13-05-1950,\N,http://en.wikipedia.org/wiki/1950_British_Grand_Prix,5
834,1950,2,6,Monaco Grand Prix,21-05-1950,\N,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix,5
835,1950,3,19,Indianapolis 500,30-05-1950,\N,http://en.wikipedia.org/wiki/1950_Indianapolis_500,5
836,1950,4,66,Swiss Grand Prix,04-06-1950,\N,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,5
837,1950,5,13,Belgian Grand Prix,18-06-1950,\N,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,5
838,1950,6,55,French Grand Prix,02-07-1950,\N,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,5
839,1950,7,14,Italian Grand Prix,03-09-1950,\N,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,5
825,1951,1,66,Swiss Grand Prix,27-05-1951,\N,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,5
826,1951,2,19,Indianapolis 500,30-05-1951,\N,http://en.wikipedia.org/wiki/1951_Indianapolis_500,5
827,1951,3,13,Belgian Grand Prix,17-06-1951,\N,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,5
828,1951,4,55,French Grand Prix,01-07-1951,\N,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,5
829,1951,5,9,British Grand Prix,14-07-1951,\N,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,5
830,1951,6,20,German Grand Prix,29-07-1951,\N,http://en.wikipedia.org/wiki/1951_German_Grand_Prix,5
831,1951,7,14,Italian Grand Prix,16-09-1951,\N,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix,5
832,1951,8,67,Spanish Grand Prix,28-10-1951,\N,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix,5
817,1952,1,66,Swiss Grand Prix,18-05-1952,\N,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix,5
818,1952,2,19,Indianapolis 500,30-05-1952,\N,http://en.wikipedia.org/wiki/1952_Indianapolis_500,5
819,1952,3,13,Belgian Grand Prix,22-06-1952,\N,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,5
820,1952,4,53,French Grand Prix,06-07-1952,\N,http://en.wikipedia.org/wiki/1952_French_Grand_Prix,5
821,1952,5,9,British Grand Prix,19-07-1952,\N,http://en.wikipedia.org/wiki/1952_British_Grand_Prix,5
822,1952,6,20,German Grand Prix,03-08-1952,\N,http://en.wikipedia.org/wiki/1952_German_Grand_Prix,5
823,1952,7,39,Dutch Grand Prix,17-08-1952,\N,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix,5
824,1952,8,14,Italian Grand Prix,07-09-1952,\N,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix,5
808,1953,1,25,Argentine Grand Prix,18-01-1953,\N,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix,5
