year,round
1990,5
1991,2
1991,3
1991,14
1991,16
1992,4
1992,8
1992,12
1993,1
1993,2
1993,3
1993,15
1994,15
1995,3
1995,7
1995,11
1995,14
1995,16
1996,2
1996,6
1996,7
1997,5
1997,8
1997,12
1998,3
1998,9
1998,12
1999,7
1999,14
2000,6
2000,8
2000,11
2000,13
2000,15
2000,16
2001,2
2001,3
2002,10
2003,1
2003,3
2004,2
2004,5
2004,18
2005,16
2006,13
2006,16
2007,10
2007,15
2007,16
2008,6
2008,8
2008,9
2008,13
2008,14
2008,18
2009,2
2009,3
2010,2
2010,4
2010,7
2010,13
2010,17
2011,7
2011,9
2011,10
2011,11
2011,16
2012,2
2012,20
2013,2
2014,11
2014,15
2015,9
2015,16
2016,6
2016,10
2016,20
2017,2
2017,14
2018,11
