driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58
1,100573,194347,287247,379829,472300,564734,657181,749491,842103,935224,1027961,1120756,1213231,1306215,1399401,1511440,1587779,1679602,1771002,1862196,1953408,2044932,2136346,2227910,2319735,2411154,2502664,2594931,2686757,2777906,2869359,2963617,3055750,3147766,3240193,3353491,3429840,3520853,3611191,3702391,3792705,3883126,3974211,4065386,4155898,4246406,4337043,4427828,4518581,4609591,4700903,4792532,4884002,4975791,5067557,5159370,5251554,5346130
2,112091,208596,303663,399325,494730,590392,686090,781453,877348,972386,1067224,1162263,1258809,1354401,1468719,1545409,1639116,1732655,1826076,1919898,2014259,2108148,2202883,2296470,2391164,2484709,2577972,2670820,2764102,2878928,2953790,3046666,3139218,3232289,3327466,3420358,3513123,3606116,3700422,3795396,3888422,3981229,4073606,4166225,4259345,4352243,4445345,4540427,4634631,4730333,4824134,4919627,5015216,5110459,5206863,5300721,5395809,105395809
3,105340,201148,296584,392394,489231,584087,678706,773330,868021,962042,1056139,1151001,1245408,1339543,1434016,1548255,1627493,1722432,1816443,1910057,2003560,2098160,102098160,202098160,302098160,402098160,502098160,602098160,702098160,802098160,902098160,1002098160,1102098160,1202098160,1302098160,1402098160,1502098160,1602098160,1702098160,1802098160,1902098160,2002098160,2102098160,2202098160,2302098160,2402098160,2502098160,2602098160,2702098160,2802098160,2902098160,3002098160,3102098160,3202098160,3302098160,3402098160,3502098160,3602098160
4,106144,202377,297103,392458,486858,580136,673039,766138,859759,953812,1048669,1161293,1236854,1329533,1421437,1513726,1605912,1697744,1789702,1881638,1973640,2065976,2157931,2250129,2343604,2435975,2549527,2621694,2711791,2801894,2891975,2982152,3072531,3162887,3253314,3343628,3434367,3524766,3615887,3706981,3798613,3908928,3982492,4072521,4162129,4251969,4341806,4431403,4520890,4610757,4700694,4790351,4879858,4970259,5059788,5149453,5239365,5329866
5,112883,211135,308513,405141,502582,599094,695201,791592,887944,984184,1080091,1176589,1272875,1368402,1464323,1559560,1679759,1756676,1851594,101851594,201851594,301851594,401851594,501851594,601851594,701851594,801851594,901851594,1001851594,1101851594,1201851594,1301851594,1401851594,1501851594,1601851594,1701851594,1801851594,1901851594,2001851594,2101851594,2201851594,2301851594,2401851594,2501851594,2601851594,2701851594,2801851594,2901851594,3001851594,3101851594,3201851594,3301851594,3401851594,3501851594,3601851594,3701851594,3801851594,3901851594
10,114969,215068,313448,411591,509228,606899,705582,802722,899534,996687,1093293,1190086,1287216,1383943,1480437,1577405,1673973,1790330,2474708,2589918,2689178,2787752,2884379,2980879,3078240,3174438,3270417,3366218,3464349,3570253,3670321,3770345,3870360,3968055,4065473,4163721,4260579,4356688,4454809,4551324,4650198,4746929,4848384,4949480,5047212,5143477,5243332,5339121,5438845,105438845,205438845,305438845,405438845,505438845,605438845,705438845,805438845,905438845
13,104196,198681,294345,388245,482957,576657,670661,764494,858363,952853,1049552,1144214,1258274,1334682,1427640,1520389,1612822,1706314,1799145,1891806,1984095,2076416,2168957,2261407,2354261,2446985,2540061,2632975,2726169,2819434,2933174,3008647,3100524,3192168,3283769,3375653,3466912,3558175,3649981,3741272,3832479,3923572,4015212,4106702,4198033,4289411,4380952,4493958,4566776,4656227,4746321,4838777,4931596,5021666,5110613,5200383,5291186,5383008
15,114113,213988,312443,409732,506967,604553,701733,799464,896722,993932,1090635,1187314,1284326,1382030,1479270,1598038,1677735,1774717,1870536,1966393,2066118,2161151,2257064,2354161,2449284,2543720,2637825,2734809,2833714,2928354,3023002,3117526,3211795,3306044,3403613,3500661,3619448,3702489,3800242,3895041,3988739,4086446,4180439,4273562,4369872,4463149,4556381,4650833,4747545,4840574,4933390,5025940,5119168,5215670,5309085,5403789,105403789,205403789
16,111520,207347,302014,396616,492190,587411,683983,779786,874755,968916,1062977,1158448,1253448,1347843,1442796,1558050,1635268,1728533,1821812,1916562,2010371,2103737,2197794,2291637,2384697,2477409,2570432,2663355,2755945,2848671,2941449,3034383,3127379,3220182,3313066,3405699,3517669,3594268,3686285,3778245,3872498,3964422,4056393,4148072,4240080,4332326,4426258,4518189,4610137,4702074,4794139,4885820,4977594,5069367,5160893,5252472,5344945,105344945
17,101467,195192,288400,381333,474232,567148,660048,753310,846640,940888,1055883,1132678,1226339,1320457,1414693,1507190,1599724,1692629,1785359,1877888,1970189,2062531,2155003,2247749,2340669,2452402,2527723,2619071,2710457,2801381,2892177,2982574,3073136,3163610,3254410,3344906,3435533,3526015,3616754,3708424,3821914,3893129,3982815,4072923,4162726,4252530,4343060,4433182,4522895,4612495,4702660,4792485,4882481,4972176,5063300,5153503,5243975,5336254
18,104722,198861,294617,388435,483713,577004,670963,764984,858561,953214,1047610,1140809,1234262,1327877,1421679,1516576,1625485,1709482,1823909,1900517,1992704,2084722,2177428,2269160,2361128,2452301,2543461,2634604,2725400,2817072,2908127,2999392,3090900,3182515,3273903,3365362,3475800,3552745,3643801,3734386,3824629,3915032,4005443,4095671,4185803,4275980,4366516,4457064,4546947,4637592,4727885,4817983,4908712,4999266,5089372,5179661,5270509,5361712
20,98109,191115,283828,376631,468973,561578,654080,746617,839857,932429,1025098,1118000,1211698,1323773,1399555,1491103,1581903,1673713,1764731,1855786,1947074,2038158,2129033,2221273,2312972,2404300,2495868,2586981,2678320,2769374,2861081,2952692,3044098,3135969,3228566,3342303,3417588,3511220,3602225,3692755,3782895,3873314,3963817,4053661,4144131,4234800,4325097,4415568,4506278,4597010,4687883,4778970,4869641,4960297,5051196,5141158,5231674,5323620
