driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53
2,94052,86568,86194,85165,84580,84442,84250,84334,84225,84744,84633,84502,89531,112013,85573,85659,85185,85089,85226,85374,85033,84987,84796,85122,85521,84952,84785,84525,84799,84769,84332,84522,85092,84307,89081,111193,84748,85044,84447,84647,84646,84518,86942,84912,84474,84761,85056,85695,86062,84601,85656,85934,inf
4,114279,127784,83688,85111,84132,84103,84456,84306,85645,87258,84457,83854,83936,83878,84033,85018,84030,84094,83925,85222,83784,83417,83444,83404,83452,87159,83685,83550,87584,113821,84391,84001,84012,84750,84427,84002,84080,85121,84436,84317,83893,84123,84420,83943,83567,83369,83195,83387,85598,84536,85299,83911,inf
8,90477,84433,83851,83025,82764,82701,82696,82533,82238,82451,82841,82342,87325,110446,82786,82905,83065,82907,83580,83511,83092,83249,82731,82863,82562,82901,82710,82449,82581,82588,82136,82032,82713,87996,110715,83460,83359,83649,83528,83410,83730,83290,83343,83407,83080,82982,84724,83115,83317,83164,83051,82996,82872
14,91227,84376,83994,83419,82756,82760,82724,82772,82759,82427,87169,109988,82768,83003,83130,83025,83428,83136,83232,84227,84077,83354,83296,84438,83362,83023,83090,82834,82688,82693,82476,87539,109861,83434,83307,83548,83216,83487,83662,84401,83654,83469,83638,83365,83985,inf,inf,inf,inf,inf,inf,inf,inf
17,93285,86227,86305,84653,84472,84115,83781,83881,83998,83778,84043,84257,88184,115383,86191,85367,85349,84598,84728,84362,84775,84740,84527,84919,84388,84529,84538,84071,85176,84375,84195,84143,88302,112271,85260,84685,87885,85063,84913,84485,84481,84264,84391,84253,84577,87619,85311,84815,84484,84648,86459,87163,inf
18,93068,86007,85360,84957,84086,84348,83748,83687,83743,83692,83722,83516,83225,84375,88376,112809,84634,84586,84499,85687,89983,84560,86482,98272,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
21,103302,86854,86502,87043,86265,86441,86599,86574,86532,87011,89484,86465,87058,87009,86296,86273,86122,85911,85942,85852,85747,85989,85568,85534,85614,85622,91320,116765,86294,86495,86525,86653,86463,86759,87187,86754,86379,86294,86230,86005,86012,86287,86020,85625,85718,85842,86379,85354,85312,85394,85202,85133,inf
22,90102,84081,83354,82919,82572,82402,82379,82507,82686,82657,83058,82341,82171,86907,108400,82372,83178,83196,82777,82738,82578,82552,82792,82563,82967,82750,82918,82862,82661,82710,87417,112121,83447,83141,83536,84876,83756,83711,83142,83200,83281,83032,83240,83762,83080,83234,84137,83424,83815,83255,82887,83004,83025
30,88148,83268,82558,82673,82646,82540,82444,82542,82365,82126,82083,82069,81866,81832,86386,109729,82949,82651,82639,82711,82556,82567,82790,82808,82798,82609,82702,83230,82636,82126,82227,82323,82151,86844,110361,83266,83267,83128,83200,83058,82793,83042,83525,82938,83216,83290,83607,83994,83036,83469,83794,83972,86290
31,88882,83265,83107,83110,82730,82824,82845,82614,82920,82519,82685,82294,82178,82166,82412,87198,107908,82221,82429,82477,82489,82568,82611,82333,82648,82593,82378,82837,82631,82570,82126,87199,108461,82591,83794,82988,83195,83105,83171,84179,83647,83421,83566,85122,83602,83829,83915,83935,83633,83569,83716,83493,84433
35,92793,85990,85339,84995,83822,83966,83763,83633,83509,83825,83561,83456,83039,83411,83259,88991,112839,84058,84231,84950,84600,84589,84228,83971,84147,84206,84983,84167,84005,83772,84197,83889,89547,113113,84753,84712,85194,85030,84339,84296,84360,84665,84440,84608,84822,84706,88610,84642,84702,84535,88030,86818,inf
43,94740,86187,86148,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
44,91880,86279,85315,84261,83911,83759,83591,83517,83535,83303,88594,110930,83532,83985,84161,84504,86121,84843,84965,85036,84848,84903,84574,84315,84221,84460,84534,84953,84186,83945,89003,112075,84180,85049,165053,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
47,95840,87822,87773,87213,87700,86842,86815,86805,87132,86615,86351,87002,87387,86819,86143,87293,86112,85976,91586,114527,86299,85751,86482,85790,86547,86091,86077,86145,86501,86879,85970,85992,86521,86373,91949,114932,85817,85549,85750,85812,86760,88358,85962,87007,91174,86559,85793,87409,87420,86333,86118,inf,inf
48,92291,85425,85157,83756,83296,83163,83156,83096,82711,82723,82479,82413,87147,110296,83305,83311,83800,83459,83313,83220,83307,83649,83058,83348,83406,84009,83416,82998,83206,83861,82992,82850,82625,82511,87506,110694,82674,82696,82988,83086,84153,82767,82823,82885,83449,83130,84097,82768,83308,84484,84296,84142,83030
49,99016,85258,85017,86349,84218,84286,83905,84160,83866,84164,84088,84198,84035,83518,89968,111181,84321,84008,84549,84378,84997,85068,85076,84906,84441,84692,84810,84476,84031,84436,84261,84387,84337,88714,112289,84698,84811,84513,87173,84792,84532,84743,84846,84704,85209,84466,84952,85498,86107,84725,inf,inf,inf
50,138234,128432,90570,87252,87088,87745,87068,87191,88578,88704,87614,87130,88837,87626,88973,94669,128808,86799,86323,87646,87518,85816,86552,86451,86635,94603,125640,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
51,191702,119265,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
53,96831,87316,88464,87001,87582,86845,86790,87206,86695,87723,87341,87388,92097,115557,86861,87583,87983,87068,87755,87925,87916,89614,86839,86817,86909,87787,86567,87601,86541,86688,86408,95894,117616,87164,87119,88319,87650,87556,87542,86135,86275,86394,86688,86795,86424,86485,86173,86429,86127,86338,86756,inf,inf
