driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44
2,123035,112801,112424,112425,113369,112051,112247,112645,112423,112016,111831,112037,111616,111803,111382,111312,120260,127655,111013,111481,111902,112229,112386,111944,112245,112389,112029,112135,121648,127602,111233,111946,112301,112411,112443,112686,113066,113024,112372,112009,112160,111749,114095,inf
8,115972,111872,110866,110749,110818,110574,110549,110640,110401,110502,110323,110202,109859,110254,110043,110043,109839,119403,127004,110592,110694,110791,110417,110472,110407,110098,110537,110154,110211,110458,109764,110022,109985,120483,129674,inf,inf,inf,inf,inf,inf,inf,inf,inf
11,123966,112927,112448,112265,113158,111909,112362,112450,112484,112472,112650,112366,111541,121376,138288,112173,111842,111802,112040,112000,111305,112229,111307,111488,112311,110886,120416,131134,111735,111580,112063,111899,112320,113361,111838,111609,111055,111928,111690,112244,111835,111215,111606,inf
13,123556,112744,112383,112278,111669,112106,112466,111720,111405,111322,111405,111790,111851,121961,128068,111607,111654,111672,111761,111877,111609,112528,112357,111932,112247,112166,112326,121094,128060,110595,110733,111523,111317,111136,111789,112345,111447,inf,inf,inf,inf,inf,inf,inf
14,117067,111345,111406,110587,110808,110747,110526,110369,110476,110640,110365,110410,110298,110138,109783,109906,109873,109779,118519,126294,110393,110021,110252,110338,110515,110244,110245,110228,110255,110126,109885,110056,109883,109602,118541,123123,109721,109539,109929,109657,109457,109607,109398,109641
15,118200,111621,111700,111438,110833,110988,110601,110828,110648,110872,110707,110527,110595,110736,110235,110292,120049,127237,111150,110998,110892,110544,111036,110886,110941,110767,110716,110360,119951,127593,110985,111144,112115,112052,111464,inf,inf,inf,inf,inf,inf,inf,inf,inf
17,124813,113440,112469,112661,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
18,119680,111808,111776,111566,111540,111223,111405,111324,111281,111287,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
19,125121,113474,112743,112697,112929,112884,112784,113361,113126,112376,112346,111878,112088,111991,121441,134310,112786,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
21,122054,112549,112424,112163,112567,111823,112550,114182,112254,111755,112151,111929,111563,111662,111443,111272,110969,111063,111201,110987,120203,133381,113012,113391,112730,112992,113419,112558,112263,112202,112183,111786,111832,111725,111649,111844,111482,111568,inf,inf,inf,inf,inf,inf
22,114958,109640,109480,109114,109273,109657,109368,109344,109266,109309,109213,109208,108832,109208,108706,108196,117888,127619,109319,109390,109109,108679,108985,108907,109362,109483,109029,108866,108827,109653,118676,127609,109596,109914,109350,109766,109751,110786,112392,111117,111818,110733,111049,112166
23,117642,111516,111364,111387,110910,110839,110896,110649,110742,110783,110376,110407,109782,109812,109681,109682,129647,125839,109871,110451,110271,110633,110773,110708,110700,110891,110824,110346,110554,109697,118823,131169,111330,111737,111555,111857,109701,110381,110717,110890,111098,110227,110210,109706
30,112703,109446,109066,109193,108995,108965,108752,108347,108243,108146,107877,108003,107706,108027,107176,116634,125606,108825,110595,108674,108171,107586,107998,108189,108190,108554,107845,108838,107835,118354,125750,110046,109578,110891,111941,111475,112707,111436,112253,114115,112850,114451,114301,116301
31,116574,110733,110413,110695,110479,110558,110513,110578,110645,110391,110140,110235,110241,110653,110242,109959,110061,118909,125642,109936,109968,110139,110452,110312,110461,110344,110190,109968,109802,110006,109626,110075,119094,124589,109535,109679,109858,109783,110077,109534,109675,109689,109333,109293
35,122359,112818,112162,112188,112577,111682,112547,111361,111215,111377,111644,112018,111935,111739,119802,129740,111235,111522,111523,111330,111133,111004,111263,111381,111343,111575,110820,111710,110744,111165,111297,110900,120878,126230,110567,111464,111328,111707,110853,110210,110506,109941,109787,109909
37,120870,111953,112152,111842,111692,111781,112416,111896,111793,111720,112428,111349,110467,110221,111051,120080,129597,110592,110789,110893,111177,111078,111213,111696,111218,110804,111556,111070,110637,110348,110353,119364,126877,111220,111435,112117,111862,inf,inf,inf,inf,inf,inf,inf
44,124309,113481,112110,112557,112827,112441,112404,112217,112615,112511,112358,112616,111769,111189,110730,110377,110728,121579,129287,110746,110980,112885,112920,113215,113076,112754,113571,112401,112422,112081,112162,121602,125664,110275,110960,110961,112234,112734,112558,inf,inf,inf,inf,inf
56,119322,111666,111659,111416,111437,111337,111406,111303,111141,111588,111624,111527,110829,110857,119877,130301,111066,110857,111257,111135,110849,110888,111111,110986,110926,111110,111125,111195,111019,120276,127134,110994,111402,111242,111309,112209,111576,111591,112066,111453,111606,111248,111406,111678
63,120264,111817,111783,111814,111654,112195,111679,111963,111858,111250,111652,111390,111173,111193,111066,119921,126701,110832,110996,111265,111064,111467,111097,111419,111341,111507,111376,111400,111073,119959,126375,110841,110913,111473,111520,111982,111774,111510,111608,111572,111284,111373,111154,110895
66,121343,112357,112220,112042,112144,111700,111778,111909,112308,112035,111738,112016,111905,113173,120909,128183,111479,111828,111690,111828,111716,112384,112360,111995,112312,112116,112144,111691,122390,127564,111556,112266,112155,112540,112583,112412,112674,113250,112266,111934,112036,111902,114260,inf
