driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36
35,122298,113314,114116,114337,114937,113591,112415,112611,119795,128452,112372,112921,112833,113428,113299,113454,113170,113738,113677,113601,120457,129847,113365,113403,112746,113335,113910,114311,114862,114032,114141,117969,114003,113780,116411,115041
37.0,229381.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
44.0,125036.0,114699.0,114244.0,114129.0,115094.0,114502.0,122652.0,129297.0,113065.0,113394.0,113597.0,122524.0,135509.0,114591.0,114235.0,115446.0,116312.0,115585.0,113634.0,113435.0,120921.0,151276.0,113475.0,112533.0,113344.0,113934.0,113178.0,113259.0,113110.0,113286.0,116454.0,116392.0,114319.0,114292.0,114988.0,100000000.0
14,119154,112541,111997,112290,112175,112241,112591,112112,112270,118707,125077,111875,111947,112252,112464,112991,112806,112577,112999,112659,112485,113027,112357,118835,126524,113022,113411,112606,111875,111812,111608,112399,112375,112327,112990,113722
15,121334,113747,114139,112253,111996,112228,119357,129677,112839,112881,112617,112957,112855,113522,113163,113533,113452,115720,113871,120103,130376,113455,113252,113307,113434,113704,113848,113927,114271,113991,113843,117769,114642,114207,114246,114170
49.0,126758.0,115825.0,115509.0,115416.0,116211.0,116055.0,116675.0,115966.0,115093.0,115867.0,114910.0,114798.0,114477.0,114455.0,114051.0,120842.0,132398.0,115258.0,115459.0,115494.0,115637.0,115718.0,115842.0,116224.0,116685.0,116599.0,116118.0,116093.0,116248.0,116024.0,117582.0,117506.0,116340.0,115787.0,116538.0,100000000.0
18.0,119756.0,114361.0,114733.0,114994.0,114889.0,115418.0,114264.0,114219.0,113754.0,120625.0,129405.0,113999.0,114360.0,114551.0,114083.0,114263.0,113409.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
50.0,124760.0,114579.0,114327.0,114095.0,115114.0,114509.0,114497.0,121639.0,133221.0,115076.0,114658.0,115662.0,115133.0,115396.0,115522.0,115485.0,114941.0,115886.0,115647.0,115287.0,115286.0,122110.0,132551.0,115368.0,115946.0,116464.0,115530.0,116050.0,115323.0,115471.0,115587.0,116951.0,116394.0,116569.0,117462.0,100000000.0
21,118268,112173,112229,112047,111998,112002,112164,111986,112089,111725,118596,126997,111901,112341,112499,113142,112602,112715,112897,112670,112564,112706,118562,127327,112457,112975,113497,115089,113867,113259,113440,113425,114562,113990,114913,117070
22,118731,112197,112123,112114,112094,111954,112385,111819,119305,129996,112008,112326,112241,112435,112721,113107,113982,135584,131089,111776,113349,113214,113465,113785,113079,113576,113640,113848,114277,114059,113781,115649,112723,112554,113426,115111
23,125289,114882,114207,114116,115040,114500,114521,112311,119282,130185,113470,113148,114371,114375,114106,114314,113364,113540,112581,111388,111058,111204,111127,112809,119401,129879,112276,113326,112452,114144,113758,118457,113608,114058,114346,114095
