driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45
14,114450,108397,108036,107858,108041,108136,108320,108064,108456,112831,129770,108284,109186,108853,108694,109477,109166,109831,109826,108266,108898,108987,108582,107838,107617,111574,126877,107594,107675,107525,107770,107851,107746,108220,107389,108020,107840,107944,111205,124555,107317,105827,105270,105517,105837
15.0,120990.0,109647.0,109582.0,109671.0,111074.0,109285.0,109875.0,111127.0,109713.0,110252.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
21.0,119614.0,109591.0,120270.0,135792.0,107785.0,108055.0,107842.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
22.0,115821.0,108277.0,107852.0,107789.0,107788.0,152486.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
23,117001,108907,108826,109524,108913,109719,108985,108715,108796,109371,109060,108878,108555,108882,108542,108771,108403,109299,108558,109276,109087,108986,109042,111988,127360,109215,109774,108169,108083,108469,108422,108518,108381,108488,108164,108400,108866,108638,108705,108784,109484,109031,109326,110482,110560
25,118916,109795,109911,110061,109445,110262,109463,110114,109723,110434,109895,109538,109527,109241,109343,109702,109122,109441,111465,110092,109695,109610,112224,127396,108813,108963,108663,108574,108613,108756,108583,108704,108711,108663,109859,108803,108762,108916,108771,110554,109530,108724,108650,108455,109445
37.0,124161.0,111252.0,111773.0,110769.0,111199.0,110841.0,111073.0,110591.0,110698.0,111406.0,110873.0,110732.0,111599.0,110534.0,110590.0,110638.0,111493.0,110791.0,112116.0,111655.0,113139.0,133057.0,110564.0,110659.0,110641.0,111705.0,111235.0,110831.0,111314.0,111064.0,111070.0,110978.0,111056.0,110944.0,111030.0,111182.0,111032.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
41.0,123827.0,110786.0,111328.0,109579.0,109693.0,110484.0,109963.0,110427.0,110776.0,109716.0,109722.0,109624.0,109816.0,109179.0,114140.0,142092.0,110018.0,110161.0,110312.0,110006.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
44,121702,109778,109450,109745,110484,109344,109846,110147,109429,110211,109964,110228,109141,108874,108670,110905,108968,112062,124487,106823,107517,107881,107637,107911,107824,108682,108238,107629,107492,110821,125102,107811,108430,108524,108438,107857,109227,109027,109189,109207,109536,108315,108325,108579,109016
48,123507,110378,114806,111524,110489,111205,110440,110682,110658,111005,112033,110968,111153,110672,110758,110512,110934,110838,111445,115291,130225,110240,110383,110416,110069,112620,110560,109894,110278,110279,110593,110949,110416,110100,110887,110175,110725,111025,111177,110298,110453,110883,110607,111058,113304
49,115159,108552,109110,108299,108061,108911,108578,108333,108124,108914,108288,108530,108204,109409,108120,107972,107619,108603,108471,108220,111978,127802,108507,108941,109011,110948,109390,108829,108570,109040,108661,108342,108587,108949,108545,108797,108803,108146,108897,109107,109109,109335,109777,109184,111057
55,125550,128341,108673,108334,108436,109460,108490,108558,108870,110586,110091,110520,109620,109524,110373,111690,125421,108337,108720,109008,109405,109074,108699,109238,108961,109355,109029,112016,127331,109074,108804,108970,108556,108444,108552,108807,108801,108774,109337,109868,110069,109327,109016,109735,112041
56,116351,108793,108505,108712,108110,108337,108634,108389,107917,108889,108549,108089,108441,109261,108435,107963,107687,108417,108305,108212,109309,110395,126048,107900,107966,108252,109898,109715,109935,108365,108745,108741,109082,108933,107888,108029,108856,108610,109311,109317,109462,109350,109169,109245,110077
57.0,113008.0,108124.0,107608.0,107799.0,107758.0,107433.0,108100.0,107627.0,107485.0,107599.0,108742.0,108270.0,108607.0,108677.0,108203.0,107694.0,108238.0,108259.0,108713.0,108130.0,107653.0,108151.0,108453.0,111233.0,140462.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
63,114041,108273,107961,107945,108073,108014,108320,108185,108386,108984,108539,108614,108193,108185,108271,108782,108452,108417,108499,108396,108755,108980,111359,126554,108135,110778,109247,110641,109564,108838,109194,108564,108484,108941,108416,108237,108741,108338,109199,108984,109244,109384,109291,109149,110054
65.0,121316.0,110009.0,109115.0,109785.0,109854.0,109512.0,109662.0,110781.0,109443.0,110312.0,109832.0,110074.0,109194.0,108872.0,108815.0,109794.0,109196.0,109959.0,109006.0,108913.0,108877.0,108964.0,111220.0,128951.0,108992.0,109367.0,108950.0,108576.0,108408.0,108719.0,108587.0,108774.0,108983.0,108833.0,108593.0,109230.0,109241.0,109159.0,109077.0,109135.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
68.0,134841.0,111084.0,110804.0,110768.0,110395.0,110286.0,111109.0,110747.0,110654.0,110877.0,110809.0,110742.0,110746.0,110524.0,111336.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
69.0,124691.0,111760.0,111209.0,110983.0,111183.0,110919.0,111049.0,110666.0,110706.0,111171.0,111761.0,110672.0,111312.0,110768.0,110625.0,110542.0,110801.0,110769.0,111969.0,112186.0,111428.0,113746.0,131192.0,110925.0,110586.0,115607.0,110914.0,109942.0,110363.0,110635.0,110016.0,110399.0,111159.0,110758.0,111061.0,111186.0,111017.0,110050.0,110000.0,119334.0,111183.0,111260.0,113463.0,112206.0,100000000.0
70.0,122564.0,110898.0,111216.0,109896.0,109835.0,110363.0,110284.0,110491.0,113369.0,113835.0,110628.0,110490.0,110386.0,110023.0,110572.0,111635.0,110977.0,112598.0,112123.0,114223.0,117523.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
