driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72
14,86698,81174,81058,81009,81131,80717,80598,80735,80681,80681,80759,80326,80471,80468,80350,80773,80435,80238,81740,80447,82983,81001,80985,80618,80214,80785,80806,80371,80890,80526,81099,80610,80495,81292,80631,89172,100694,79975,80236,80496,80671,80885,80399,80543,80192,80006,79863,79879,80139,80191,80057,80619,79958,80726,80242,80379,80353,79646,79685,79695,79695,79924,79662,79872,80027,81142,80035,80450,80446,80533,81037,81530
15,95457,84326,83580,83636,83746,83403,83119,82933,83060,83161,83207,83502,83433,84784,85903,84691,100563,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
21,92591,83377,82748,82964,82787,82469,82606,82870,82215,82237,82018,82303,81944,82152,82063,82227,81996,81987,81919,82578,82454,82190,82044,82158,82613,82201,82030,82445,84770,82002,81564,81709,82248,81924,82153,81763,82881,81429,81375,81898,81453,81107,81084,81089,81220,81451,90870,99977,81109,80884,83037,80694,81216,80624,80336,82515,80510,80243,80472,80233,80112,80010,80080,80229,80721,80329,81070,81061,81143,81422,81371,inf
22,93816,83189,83102,82846,82939,82656,82583,82600,82560,82542,82279,82473,82435,82406,82198,82340,82465,82488,82114,82300,82503,82219,82296,82699,82509,82426,82589,83586,82246,82211,82070,82283,82147,82377,82150,90318,108535,81758,83259,82108,83064,82081,82314,83708,82406,82120,82110,82156,82106,82288,81847,81854,82048,82418,82004,94608,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
25,91309,82586,82412,82115,82191,82318,82379,81784,82507,81850,82016,81841,82004,82041,81792,81285,82586,81404,81609,81728,82281,81986,81759,81467,81788,82002,81869,82140,81825,81906,82214,82773,81778,81700,82428,81468,81533,81702,81571,81650,81477,81479,81567,81255,81459,90011,101868,80734,80565,80337,79935,80464,81122,80940,80124,80344,80120,80716,80264,80099,81310,79863,79892,80057,80596,80234,80177,80622,80812,80380,81207,81573
30,90243,82226,82423,81922,82361,81768,81711,81894,81470,81198,80782,82899,81035,80785,81003,81084,81592,81109,81175,81347,81848,80988,80868,80983,81120,88824,99993,81754,81202,80853,80613,80610,80816,81152,80914,81379,80538,80703,81395,81532,81340,81606,81559,81223,81489,81341,80309,79991,80308,80043,79981,80312,87937,104417,79861,80129,79909,79727,79834,80396,79883,79684,79627,80149,79980,80266,79759,80347,80523,80264,80752,81240
35,92193,82477,82389,82030,82458,82657,81655,81879,82222,82119,81831,82107,81706,82072,81771,81973,81688,81960,81868,82047,82204,81844,81556,81420,81685,81865,81882,81843,90825,101228,81621,80139,80799,80872,80746,81738,81559,81745,81828,81807,81768,81213,80246,80249,80185,80639,80392,88880,100366,80717,80972,81150,81120,81820,80566,80850,81007,80590,80129,80272,80332,81193,80340,80378,80688,80602,80993,80878,81477,81446,81887,inf
44,94167,83850,83274,83511,83055,82414,82701,82827,82625,82627,82922,82218,82351,82334,82504,82019,82489,82338,82075,82602,82504,82629,81954,82394,82147,82407,82124,83414,82424,82258,83392,82232,82435,81835,81820,82348,82855,81914,82105,82035,82202,81949,91362,106411,80564,80650,80764,80470,81048,80449,81319,81481,81562,81571,81130,81546,81021,81172,81123,82026,80934,80648,80839,inf,inf,inf,inf,inf,inf,inf,inf,inf
49,88676,82026,82327,82123,81839,81691,81796,81698,81296,81613,81660,81812,81160,81524,81500,81445,81547,81104,81022,81694,81517,81077,80889,80916,80831,81277,91244,99694,82023,80704,80639,80631,81010,81591,80665,81309,80633,80513,80833,81389,81056,81206,81686,81541,89711,99317,80905,80967,80690,80702,80860,80883,81158,82560,80562,81168,80903,80402,80271,80882,80434,81348,80597,80557,81451,81443,81545,82648,81382,82683,83989,inf
55,93745,83987,83238,82950,83037,82953,82498,82756,82907,82561,82418,82486,82342,82538,82420,82162,82035,82303,82484,82301,82310,82200,82614,82208,82441,82173,82385,83269,82598,82142,82244,82595,82101,82335,81994,82508,81901,81973,81709,81856,82367,91846,104099,81618,81151,81466,81067,81194,81482,81128,81888,81190,81228,81306,81848,81164,81119,81576,80804,80943,80856,81027,80623,80706,81476,81013,81139,81394,81054,81416,81363,inf
56,89545,82671,82180,81956,82073,81720,81960,81649,81936,83080,81549,82502,81785,81831,81391,81495,81720,81670,81290,81476,82008,81675,81377,81393,81361,82074,90277,100612,81231,81898,81711,82391,82285,82247,82049,82456,82000,81930,81875,81863,82508,82729,80991,80575,80509,80938,80677,80791,80783,80788,80978,80477,80493,80541,89106,99723,80725,80569,80570,80795,80378,80561,80890,80802,81111,81397,81062,80902,81066,81920,82638,inf
57,85628,81122,80946,81092,81095,80524,80677,80285,80290,80235,80457,80229,80117,79893,80057,79992,80413,80621,80612,81317,82141,81524,80065,80035,80099,79983,80272,80863,80338,80147,80330,80994,81526,80594,80523,80653,80639,80714,90582,103641,81276,79905,79809,80088,80041,80213,79940,79949,79596,80755,80016,81017,80175,80783,79647,79723,79952,79763,79999,79647,80094,80045,80014,79337,80115,80241,80131,80626,81073,81134,81345,84033
63,99665,85422,84597,84669,84590,84149,84321,84041,83962,84100,83935,83565,83923,83964,83934,83797,83856,83619,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
64,100935,86779,86009,84439,83920,83915,83887,83783,83891,83891,83850,84348,85173,84687,83878,82969,83580,83984,85286,84598,84602,83671,84735,83380,83748,84767,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
