driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65
14,89994,85867,85702,85355,85922,85864,85824,85956,85944,85892,86182,85964,86143,86009,86088,85917,85940,85823,85712,85720,85716,85801,86213,86086,85726,85923,88821,104632,86127,85700,85863,85542,85661,85614,85553,85322,85403,85119,85006,85313,85417,85406,86137,86671,85538,88224,103935,85973,87031,85710,86586,86394,85331,85232,85459,85471,86101,86465,86043,86349,86771,85143,84778,86425,87512
15.0,97725.0,90945.0,88361.0,87837.0,87547.0,87954.0,88324.0,88049.0,87785.0,88433.0,88100.0,88414.0,88449.0,88496.0,88178.0,88014.0,88595.0,88692.0,88156.0,88442.0,88009.0,87926.0,88558.0,90398.0,105252.0,86394.0,86541.0,87447.0,87999.0,86523.0,86679.0,86869.0,91806.0,114761.0,88182.0,88280.0,88521.0,88859.0,88685.0,88869.0,90124.0,90165.0,88738.0,88426.0,88454.0,88363.0,88282.0,89775.0,90304.0,88621.0,88640.0,88299.0,88571.0,88185.0,88159.0,88184.0,88254.0,88080.0,88417.0,88066.0,88666.0,90032.0,91030.0,100000000.0,100000000.0
21.0,92691.0,86512.0,86303.0,86157.0,86242.0,86265.0,86360.0,86457.0,86528.0,86375.0,86289.0,86199.0,86189.0,86089.0,85980.0,86258.0,86421.0,85851.0,86320.0,86327.0,86182.0,86137.0,87106.0,86839.0,88315.0,105833.0,86091.0,88306.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
22.0,95113.0,87979.0,87127.0,86852.0,87244.0,87249.0,87208.0,87453.0,87312.0,87387.0,87193.0,87288.0,87249.0,87197.0,87367.0,87178.0,87188.0,86962.0,87072.0,87016.0,87141.0,88723.0,107350.0,86532.0,87205.0,87082.0,87093.0,87283.0,87225.0,87191.0,87015.0,87166.0,86873.0,86992.0,87132.0,86841.0,86711.0,86984.0,87073.0,87111.0,87128.0,87170.0,86846.0,88743.0,108207.0,87253.0,86558.0,86826.0,87099.0,87257.0,87423.0,87054.0,87205.0,87645.0,87080.0,88649.0,87420.0,87711.0,89052.0,87597.0,87510.0,87368.0,86970.0,87307.0,100000000.0
23.0,101333.0,89843.0,90434.0,89253.0,88993.0,88211.0,88916.0,89004.0,89334.0,88730.0,88633.0,88440.0,89240.0,88781.0,88723.0,89043.0,88561.0,88156.0,90893.0,109037.0,86955.0,89448.0,87743.0,90052.0,87477.0,87254.0,87076.0,88260.0,87567.0,87338.0,87334.0,87885.0,87783.0,88051.0,87593.0,87913.0,89163.0,88866.0,87247.0,87045.0,86533.0,89351.0,108562.0,87408.0,87702.0,87917.0,88907.0,89711.0,89109.0,88500.0,88397.0,88416.0,88532.0,88455.0,88071.0,88338.0,88268.0,88117.0,87963.0,88437.0,89439.0,94226.0,87691.0,100000000.0,100000000.0
25,94059,87215,86536,86406,86720,86355,86253,86618,86705,86722,86376,86892,86339,86759,86603,86567,86452,86563,86332,86287,86603,85993,88075,108076,85951,85955,86499,86598,86521,86855,86486,86821,87375,86857,87251,86356,86725,87714,87497,87398,87146,86551,85405,85343,85626,87338,106471,88073,87334,87052,86517,86107,86358,85995,85827,85937,86079,86281,86404,86247,86467,86633,86890,88049,87665
30,93409,86715,86532,86231,86385,86129,86416,86355,86468,86552,86427,86484,86065,86154,86435,85788,86303,87523,85800,85912,86029,85976,86731,86778,86316,85533,87172,106166,85972,86299,85986,87067,86706,85490,86233,85479,86036,87281,85691,86899,107795,86730,86140,85208,84984,84786,84625,86192,104720,84979,85462,85050,84950,85077,84973,84781,85025,86277,87865,85713,86173,86049,86159,87020,88060
35.0,95956.0,88971.0,87454.0,87227.0,87106.0,87536.0,87510.0,87337.0,87455.0,87281.0,87345.0,87260.0,87468.0,87293.0,87033.0,87094.0,86862.0,87411.0,87254.0,86912.0,86831.0,86814.0,86775.0,86407.0,86689.0,86650.0,88809.0,108567.0,86522.0,86516.0,86906.0,86919.0,87069.0,87354.0,87066.0,86885.0,86680.0,86830.0,87132.0,86994.0,87058.0,86998.0,87095.0,87685.0,88055.0,109291.0,87033.0,87040.0,87279.0,87617.0,87208.0,87355.0,87682.0,88624.0,87034.0,87131.0,87121.0,88144.0,87325.0,87420.0,87346.0,87286.0,86915.0,87225.0,100000000.0
44.0,97934.0,88477.0,87800.0,87347.0,87743.0,87444.0,87864.0,87239.0,87354.0,87935.0,87172.0,87431.0,86989.0,87179.0,87467.0,88070.0,87506.0,89672.0,107500.0,87245.0,87179.0,87570.0,87205.0,87532.0,87305.0,87817.0,87336.0,86856.0,87059.0,86929.0,86775.0,86976.0,86790.0,86812.0,86958.0,86699.0,87217.0,87044.0,87003.0,86631.0,87033.0,90272.0,107455.0,86873.0,87020.0,88039.0,87344.0,88535.0,87352.0,89263.0,89830.0,94790.0,87587.0,88600.0,88873.0,87887.0,87461.0,86924.0,86502.0,86502.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
49.0,118256.0,91780.0,114363.0,86011.0,86634.0,86478.0,86725.0,86609.0,86743.0,86811.0,86635.0,86747.0,86764.0,86718.0,86515.0,86843.0,88467.0,86559.0,86703.0,87018.0,91212.0,109672.0,87056.0,87271.0,87218.0,87348.0,87772.0,88143.0,88347.0,88343.0,88851.0,88614.0,88204.0,88089.0,88229.0,88279.0,88087.0,89250.0,88360.0,89376.0,110544.0,86960.0,87335.0,87260.0,87140.0,86941.0,88203.0,88746.0,87673.0,86781.0,86524.0,86392.0,86382.0,86572.0,87179.0,88410.0,88065.0,88226.0,87957.0,89103.0,88489.0,88155.0,86417.0,100000000.0,100000000.0
55.0,105424.0,87938.0,89298.0,89299.0,89216.0,89657.0,88576.0,88901.0,89374.0,88514.0,87691.0,88076.0,88916.0,89026.0,88642.0,88897.0,88974.0,88078.0,88369.0,87921.0,89026.0,89309.0,87388.0,88877.0,104900.0,86229.0,86576.0,87299.0,89706.0,86212.0,85809.0,85668.0,85869.0,87642.0,109444.0,87987.0,88418.0,89002.0,88694.0,89678.0,91029.0,88849.0,88228.0,88531.0,88819.0,88611.0,88478.0,89484.0,89800.0,88560.0,88407.0,88336.0,88606.0,88320.0,88091.0,88013.0,88326.0,88115.0,88270.0,88347.0,89600.0,90943.0,89703.0,100000000.0,100000000.0
56.0,92188.0,86426.0,86126.0,86056.0,86156.0,86155.0,86217.0,86301.0,86194.0,86381.0,86110.0,86337.0,86191.0,85977.0,85965.0,85814.0,85847.0,85974.0,85995.0,85778.0,86287.0,86845.0,86702.0,85856.0,88037.0,107238.0,88846.0,88349.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
57,88177,84672,84598,84662,84935,84939,85008,85326,85195,85214,85396,85267,85402,85466,85375,85707,85781,86795,85407,86321,86330,85096,86363,85424,84275,88304,106302,84739,85055,85593,85784,86162,86252,85848,85124,84870,85214,85698,85767,85650,84532,85529,86664,85869,88955,110979,86029,87349,85891,84679,85202,85313,86321,87172,85959,85702,85556,85281,84650,85353,85083,87340,87182,86126,85413
63.0,99413.0,90079.0,89098.0,88129.0,88133.0,89849.0,88347.0,88273.0,88190.0,88476.0,87971.0,88051.0,88049.0,88177.0,87933.0,89067.0,88353.0,88347.0,88039.0,88145.0,87767.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
64.0,188069.0,91344.0,88397.0,88199.0,89401.0,88737.0,88320.0,88576.0,88292.0,88562.0,88384.0,88765.0,88858.0,87829.0,87805.0,87638.0,87745.0,87865.0,88039.0,88413.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
65.0,96387.0,88989.0,87556.0,87305.0,87257.0,87302.0,87706.0,87441.0,87190.0,87460.0,87330.0,87336.0,87334.0,87287.0,86979.0,87167.0,87029.0,87254.0,87298.0,87257.0,87053.0,89102.0,108178.0,88147.0,86613.0,86354.0,86584.0,86744.0,86923.0,86387.0,86856.0,86634.0,86442.0,86690.0,86854.0,87030.0,86914.0,86775.0,87628.0,87087.0,87014.0,87035.0,87671.0,89939.0,106379.0,87216.0,87500.0,86856.0,86964.0,87361.0,87246.0,87384.0,88105.0,88206.0,87027.0,87141.0,88258.0,87163.0,87214.0,87542.0,87560.0,88160.0,86772.0,88576.0,100000000.0
68.0,100521.0,89798.0,90256.0,89144.0,88927.0,89105.0,88885.0,89106.0,89162.0,88780.0,88463.0,88546.0,89368.0,88634.0,88693.0,89242.0,88342.0,88211.0,88422.0,88733.0,90786.0,111393.0,89786.0,88838.0,88659.0,88184.0,88434.0,88206.0,88397.0,88309.0,88262.0,89160.0,88167.0,88066.0,88378.0,88138.0,88248.0,88367.0,92855.0,92095.0,111700.0,88717.0,89219.0,89108.0,90238.0,91255.0,89676.0,90715.0,89590.0,90378.0,93177.0,89027.0,88785.0,88885.0,90234.0,89270.0,88470.0,88587.0,90171.0,89663.0,89286.0,88923.0,89481.0,100000000.0,100000000.0
71.0,97026.0,88993.0,87800.0,87326.0,87595.0,87410.0,87848.0,87194.0,87415.0,87436.0,87570.0,87227.0,87178.0,87253.0,87434.0,88170.0,86627.0,86820.0,87221.0,87234.0,87057.0,89169.0,107793.0,87977.0,87644.0,87060.0,87247.0,87151.0,87189.0,86931.0,86942.0,87037.0,86914.0,86999.0,87081.0,87045.0,86824.0,86501.0,86776.0,86666.0,87062.0,98814.0,87733.0,89705.0,108354.0,87765.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
74.0,101861.0,89887.0,90483.0,89361.0,89139.0,89800.0,89975.0,88824.0,89409.0,90210.0,89736.0,88910.0,89027.0,88773.0,88557.0,89016.0,88983.0,88587.0,89106.0,88781.0,91685.0,112048.0,88136.0,88548.0,88661.0,88937.0,88046.0,89171.0,88490.0,87924.0,88104.0,87911.0,89316.0,88136.0,88819.0,89134.0,89017.0,91562.0,111606.0,87618.0,88711.0,91514.0,109700.0,88047.0,87928.0,87683.0,87601.0,87902.0,88092.0,87864.0,87911.0,88171.0,88663.0,88532.0,88986.0,88878.0,89933.0,89639.0,88882.0,89126.0,88312.0,90221.0,88573.0,100000000.0,100000000.0
75.0,100979.0,89913.0,90254.0,89335.0,89178.0,90305.0,89017.0,88980.0,89400.0,91066.0,89379.0,89105.0,88809.0,88888.0,88772.0,88859.0,88537.0,88556.0,88608.0,89648.0,89030.0,88415.0,90524.0,110618.0,87767.0,88058.0,88266.0,88399.0,88138.0,89090.0,88654.0,88398.0,88625.0,90366.0,89894.0,89260.0,88871.0,89212.0,89477.0,91214.0,113241.0,90509.0,89088.0,89466.0,89275.0,90932.0,90388.0,89404.0,90186.0,89451.0,89513.0,89302.0,89274.0,89149.0,88995.0,88913.0,90064.0,89416.0,88854.0,88856.0,88511.0,88641.0,90036.0,100000000.0,100000000.0
76.0,98638.0,90463.0,89058.0,87821.0,88009.0,88436.0,88214.0,89129.0,88645.0,88184.0,88239.0,87956.0,87603.0,88176.0,88221.0,88506.0,87822.0,87760.0,90576.0,110437.0,87767.0,88224.0,89086.0,88246.0,88128.0,88220.0,89277.0,89294.0,90951.0,89828.0,88487.0,88127.0,87793.0,87673.0,88037.0,87959.0,88164.0,89974.0,90174.0,88942.0,88005.0,90293.0,114590.0,87203.0,87739.0,88344.0,88673.0,88860.0,89553.0,88583.0,88169.0,88327.0,88442.0,87768.0,88237.0,89163.0,88267.0,88104.0,88368.0,89072.0,91981.0,88601.0,88417.0,100000000.0,100000000.0
