driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31
1,112965,101865,100869,102006,100427,101621,100617,100182,99864,99697,99743,99783,99746,99535,100049,99339,99141,99594,99460,99466,99949,114786,144014,121270,121278,123912,129710,135562,115316,124259,145330
2,112457,101489,101076,101358,100672,101266,100600,100153,102498,100176,100764,100006,100025,100534,99598,99586,99084,99655,99262,99210,100313,111542,141924,120834,122314,122135,121181,119024,118005,121136,135467
3,104536,99287,98675,98041,98250,98243,98182,98052,97986,97660,97689,97640,97598,97663,100597,122640,98885,98985,99077,99243,99604,115660,140109,121114,124187,124949,133427,133045,114963,132554,163657
4,109012,100844,101361,101223,100402,100598,100261,100193,99923,99575,101513,100589,101071,99964,99892,99310,99006,101362,99199,99373,99574,141497,143597,121135,123347,122596,121442,124917,133703,125361,168204
6,115876,102368,102078,101374,101063,100985,100808,100531,100677,100451,100508,100210,100582,100108,99805,99678,99387,99513,99752,99782,105283,144335,120766,120887,126012,123799,125182,127411,136647,124772,166122
7,115933,102745,101911,101509,101295,100860,101349,100417,100303,100428,100306,100670,100093,100479,99814,99830,99242,99635,102480,142951,119644,122950,120982,118785,116293,120168,132319,111570,114816,124829,158180
8,110182,100863,100936,101021,100238,100515,100363,100270,99852,99612,99272,98980,98767,98639,98589,98566,98453,102414,139449,119055,119525,123077,119927,120137,117468,118874,118047,117859,123572,150301,178640
9.0,122738.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
10,111337,100786,100860,101219,100654,99950,100320,100205,100234,99489,101048,99846,101271,99940,103726,123344,99416,99406,100619,99480,104171,113174,132773,113903,112996,116699,117992,117011,113791,123192,145283
12,114865,102696,101929,101302,100814,101056,100878,100387,101090,100420,100334,100410,100476,99998,99752,99557,99460,99268,99752,99707,100031,113638,145317,124574,124729,125037,122177,122794,129386,150334,165167
13,114499,102108,101244,101199,100494,101193,100895,100344,100570,100237,101164,99628,99919,100013,100101,99545,99250,99391,99271,99334,100441,118075,139936,120231,121510,121559,121427,118922,121796,144335,158923
15,105772,99276,98808,98597,98308,98584,98575,98207,97887,97931,97710,97591,97696,97878,97810,97942,101092,123553,99559,100414,100736,114856,140559,120476,122239,124755,127184,128331,135096,119909,139464
16.0,116963.0,103047.0,101960.0,102114.0,100409.0,100771.0,100725.0,101042.0,100161.0,100376.0,100271.0,100397.0,100419.0,100449.0,102803.0,121868.0,99464.0,105666.0,151563.0,125082.0,124128.0,125872.0,123265.0,121600.0,119022.0,117987.0,116882.0,116334.0,122627.0,135159.0,100000000.0
17,110770,100858,101027,101005,100210,100457,100353,100074,100197,99541,100910,99965,98424,97672,97693,100804,122537,99114,98888,98831,99620,109997,135532,121314,120004,118909,119627,118268,119475,140464,150415
18,108494,98345,98217,98472,98394,98202,98458,98474,98172,98026,97579,97597,97842,97555,97912,97689,97851,96641,99544,120814,98211,107035,138938,123200,123779,121005,120411,120345,122031,134452,126937
20.0,114166.0,101030.0,101214.0,100529.0,100321.0,101603.0,100439.0,100050.0,99064.0,98427.0,99655.0,99876.0,104575.0,124300.0,99645.0,100130.0,100135.0,99635.0,100257.0,100018.0,103245.0,112937.0,137095.0,119475.0,121702.0,124776.0,131053.0,113446.0,114556.0,120150.0,100000000.0
21.0,116242.0,103185.0,101905.0,102101.0,102284.0,100903.0,100829.0,100518.0,100346.0,100307.0,100257.0,100752.0,100331.0,100367.0,100393.0,99407.0,99492.0,102520.0,139688.0,123383.0,125780.0,124880.0,124766.0,124198.0,121554.0,121379.0,118148.0,118579.0,121571.0,100000000.0,100000000.0
22,109234,100884,101164,98777,98318,98497,98332,97948,97978,97916,97929,98148,98054,97827,97781,97656,97484,97533,97504,100354,125144,114526,143202,122401,121040,122191,123909,127911,136000,119515,142825
67.0,119176.0,124709.0,128878.0,100472.0,100425.0,100049.0,100188.0,99804.0,99460.0,100055.0,99643.0,99686.0,99495.0,99824.0,99177.0,98938.0,99395.0,99323.0,100620.0,100622.0,107662.0,138069.0,121433.0,120412.0,118590.0,118213.0,116388.0,114907.0,115109.0,130014.0,100000000.0
