driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73,lap_74,lap_75,lap_76,lap_77
14,86678,81667,82119,81624,81585,81508,81345,80976,81141,81215,81042,81093,81229,81292,81050,81544,81044,81029,82929,81054,81883,81111,81163,80699,81879,87057,101348,80546,80718,81025,80856,81184,80852,80704,81175,81153,81418,81776,82382,82332,80690,81385,80640,85642,102580,80823,81252,81587,82252,82215,82738,83555,83670,81877,81250,81475,81377,82162,81658,81213,81427,81601,82072,81521,82217,83325,81770,82024,81937,81798,81380,80935,81798,81734,81209,81631,82139
15,97610,85370,84659,84673,84271,84075,84394,84617,84477,84424,84507,84461,84508,84655,85031,84297,83968,83984,84227,84077,84057,84168,88999,107577,83318,83958,83384,83439,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
21,94885,84222,83821,83535,83575,83042,83173,82711,83439,82792,82749,82602,82809,82394,82604,82047,82169,82484,82719,82621,82729,82948,82361,82054,81993,82184,82291,82465,86118,103180,83557,82683,82401,82008,82134,83239,83470,82529,82449,82154,82103,81898,83054,82214,83772,81570,81937,81060,83895,88763,104546,84243,82879,82602,82642,82495,83064,81836,81655,82721,82270,83963,82498,82492,83423,84057,83263,81770,81922,82575,82700,82835,83550,84094,83786,86871,inf
22,98400,86095,85537,84993,85116,84942,84552,84568,84572,84744,85253,84588,84866,84476,84347,84340,84479,84039,84622,84691,85684,86583,83828,88430,104189,83355,83838,84202,84411,85519,84123,87044,84187,83736,83697,84418,83762,83886,84842,83460,83739,86080,85345,84323,84151,83703,84471,87772,107188,83294,84722,84565,85448,101229,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
23,96863,84434,84435,84016,83984,84448,84273,84766,84513,84603,84935,84545,85117,84265,85010,84158,83789,83882,84120,83378,82223,81525,81496,81338,82235,87008,103720,81476,82034,81452,81315,81668,82003,81791,81775,83942,82522,84518,84376,82228,81971,82670,83195,81641,81889,82322,82280,83563,83650,82569,83080,87637,103919,81474,82979,82002,83517,81630,94326,81574,83411,83090,82633,81379,81842,85162,82159,81327,81844,82551,80875,80949,81346,81876,81018,85783,inf
25,93208,84010,83185,83010,82913,83159,82958,82886,82736,82669,82870,82841,82909,82613,83072,82863,82278,82393,82087,83103,83187,83583,82178,82295,82211,82502,82256,87004,102801,82011,84023,82850,82095,81659,82319,83610,83070,82046,82504,81698,82145,81827,82332,82582,82073,81668,81642,81479,86207,104199,81944,83041,82478,82508,83644,82298,82437,82709,82975,82454,82623,82865,83329,84843,83399,81950,81810,82174,83609,inf,inf,inf,inf,inf,inf,inf,inf
30,87782,81893,81728,81626,81445,81393,81464,81152,81513,81178,81025,81179,81076,81283,81051,81297,81004,81316,82329,81554,81320,81235,81441,80935,85538,102822,82861,81359,81153,81140,80865,79952,80187,80360,80480,81190,81249,81730,82209,82879,80478,81548,84862,98655,79918,79594,80694,79805,80640,81286,80302,85822,80672,79857,81008,80163,80106,79625,79966,79286,79510,84217,101326,81006,80649,80373,80668,80789,80589,81557,80626,81268,81779,82174,82466,83072,84002
35,91827,83424,82796,82644,82455,82244,82220,82164,82400,82093,82818,82044,83457,82572,83068,82044,81365,81302,81439,81422,81598,81223,81535,82341,81251,83039,83252,81235,81079,80980,86357,106115,82916,81645,82374,82143,82623,81052,81391,82625,82094,82214,81947,81752,82056,82101,82069,82177,82270,81792,81962,80127,80970,80197,85407,100537,80078,80368,82837,81779,81416,82149,83210,80918,80596,83806,81870,81522,80913,81621,80882,81053,81635,81632,81220,81244,87002
44,101103,86686,86814,87027,87720,86186,85505,85947,85733,86311,86845,86723,86177,84208,87831,83176,82538,83530,83918,84246,83334,83792,83806,83595,87174,88250,103160,82879,83210,83546,83991,83944,84515,86486,84081,87581,84069,84209,85062,83938,83262,87236,83892,83833,84175,84205,84108,87110,84188,83671,88178,105549,82772,83366,83495,84160,84936,84336,84860,84418,85766,83706,83512,84029,84492,83360,83135,83465,83883,83984,84063,84256,84595,87158,inf,inf,inf
49,92529,83610,83355,82569,82749,82486,82138,82275,82541,82402,82589,82571,82524,82738,82140,82536,81926,82002,82991,82575,82765,82051,81989,82030,81876,82003,82359,82706,87384,110306,82556,81598,81352,81666,83606,81848,81297,82030,82095,82269,82501,81871,81016,81443,81201,81558,81231,81341,80717,80757,80977,81094,80802,86164,101547,80805,80356,80705,81085,81682,82323,83271,82924,82971,82633,81849,82284,81601,81232,82431,83203,80552,81211,80628,80894,81129,85040
