driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64
14,90678,83998,83527,83467,83360,83140,84306,85042,85562,85635,86040,86199,85931,85792,100005,82734,83374,83158,82695,82544,82653,82340,82374,83943,83883,82849,84112,83592,85170,103083,84731,83579,83190,83666,84309,84832,84731,86226,85980,87842,102197,85284,84324,84153,84427,84452,85340,84626,84180,83856,84477,84528,84041,84219,84880,85113,85059,85848,85458,85206,84950,85340,85820,87590
15,102089,89192,87289,86753,86312,86157,86512,86535,86750,87261,86721,86376,87317,87326,88253,87031,86562,86498,86449,86407,89325,109171,86006,86297,87365,86889,86278,86612,87940,87284,95136,117637,86414,85642,85786,85803,86107,86934,87374,84683,84837,85122,91002,105271,84213,85119,85242,85658,86217,86104,85779,85594,85613,85346,85738,85821,86571,86951,87400,85545,85568,86174,inf,inf
21,95296,84483,83927,84126,84472,84345,84435,84910,85222,84664,85237,86693,86050,85644,85514,85385,84924,86501,102026,82242,82639,83351,85050,84662,84226,84447,85362,86544,85194,86074,85827,88282,103515,83280,83763,84777,86113,85370,85451,84564,84204,84303,85066,84502,84244,84216,84209,83931,83902,84830,83790,85188,108293,83589,83044,83239,83367,83840,84615,85822,86571,87264,86423,87624
22,98813,86835,85810,86780,85020,85002,85723,85696,85793,86292,87573,88495,87592,86206,86193,85844,86433,85133,86070,85700,87763,107401,83564,84157,84640,84792,84942,85309,85243,84658,84366,84983,85622,85377,84731,84573,84838,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
23,100681,85927,85178,84464,84183,84037,85919,86654,86044,87186,88119,90476,103688,82784,83524,83797,84251,84879,85574,86297,86469,87667,88825,86846,89396,105860,85201,84291,84456,85090,85192,84848,84896,85105,85358,84824,84805,85176,84646,84361,84919,84751,84999,84399,84256,86621,104067,83895,84065,84821,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
30,89761,84239,83679,83533,83258,83241,84386,85080,85543,85674,86025,86114,86124,88045,102532,83920,84495,84030,83941,83273,83345,84817,83727,84064,84172,85514,84721,83828,83688,86060,99298,83174,82792,83264,83344,83172,83438,83624,84121,82974,82753,82673,82456,82295,82840,84794,103446,84311,84198,85676,84055,85404,84069,84026,84236,85737,85795,85642,85888,84962,85100,84596,84837,84056
35,89234,84288,83419,82964,83065,83050,82617,82757,82534,82847,83442,83943,83194,83538,84722,84306,82967,82764,82605,86633,106326,84238,85649,83722,83819,83550,84145,84614,85356,85409,84210,83333,84477,84109,84011,83899,83723,83950,85243,85186,84840,83733,83007,84012,87110,104899,83105,85279,84688,84335,84370,83841,83868,84360,84856,84849,85651,85504,85162,85274,84644,83323,84012,87316
44,97351,85683,84742,84442,85177,85525,86317,86881,86177,87065,88264,85371,83890,84029,84678,84701,84147,84025,83679,82774,82680,82595,82472,82696,85072,103138,82677,84152,82422,82628,83269,86955,83207,83151,83409,83115,84365,85427,84263,83227,82425,82617,82493,85502,101880,82623,84211,83920,83886,84392,84759,84720,85400,85528,85478,85757,85278,84593,83626,83264,82968,82931,83072,84539
49,92796,84179,84198,83842,83894,83802,83883,84196,85323,85510,85923,85357,85996,86639,85401,87130,103423,83133,83200,83739,84319,84350,86545,88047,86919,88304,104734,83247,83575,83537,83608,83794,84746,84779,85432,85180,86164,85476,89352,106205,85059,85267,85307,85086,85223,84748,85846,85123,85313,83986,85572,84437,83550,82841,83381,83627,83583,84398,83584,83907,83057,84227,86481,86555
50,98464,86268,85696,85420,86226,85089,85479,85995,86175,86314,87857,88566,87439,86168,85763,86333,85814,85623,86216,85554,87419,104500,84925,85286,84762,84902,85355,85196,85289,87251,86002,86692,85650,86623,85271,85375,85414,85960,86678,86309,87674,103674,84517,84651,84755,85193,85126,84966,85129,85441,85810,85647,85398,85791,85634,85795,87468,85848,87112,86514,86596,86622,86799,inf
