driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54
14,91090,83073,82592,82293,82716,82264,87391,151953,137120,83850,82637,81583,82097,81589,81439,81934,81887,81356,81423,81896,81473,81103,80958,81427,81721,80374,79945,79902,80459,80820,81915,81320,80943,80099,80596,80590,79635,81178,80914,99907,83549,80400,80079,80937,80309,80594,81440,82165,82238,81940,82160,205425,94897,84804
15.0,100599.0,85425.0,83677.0,83406.0,84157.0,83768.0,85994.0,146092.0,137803.0,87573.0,86238.0,84267.0,83874.0,83408.0,84117.0,83395.0,83826.0,84674.0,84540.0,84708.0,83808.0,83434.0,83298.0,83894.0,83438.0,83263.0,83359.0,83154.0,82712.0,82780.0,82844.0,83009.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
21,89458,83442,82430,81800,82430,82141,87930,150590,138197,84204,82278,81646,81509,81620,81726,81683,81815,81944,81749,81554,81811,81257,81183,81719,102650,84513,81013,81549,81685,81651,81696,81748,81972,83023,82664,82636,83075,83260,82831,82275,82568,83181,81917,83769,100159,84287,81372,81630,81641,81702,81943,81981,87616,125742
22.0,93260.0,85621.0,84936.0,83371.0,83507.0,83647.0,86200.0,147865.0,136301.0,85012.0,83719.0,84337.0,85784.0,83925.0,84893.0,85179.0,86542.0,85110.0,83787.0,83741.0,84189.0,84314.0,84196.0,101191.0,85093.0,82366.0,83601.0,82915.0,103068.0,86151.0,82854.0,82381.0,82469.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
23.0,92332.0,84132.0,82966.0,83207.0,83773.0,83525.0,83995.0,150330.0,136996.0,83909.0,82960.0,82411.0,82789.0,82372.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
25.0,94276.0,84269.0,83140.0,83484.0,83019.0,82904.0,88820.0,147691.0,136560.0,84976.0,83736.0,83033.0,83207.0,84089.0,83123.0,82850.0,82164.0,82113.0,81635.0,82545.0,82656.0,81338.0,81662.0,81356.0,81048.0,99910.0,84718.0,82072.0,81715.0,84599.0,82162.0,82312.0,81817.0,82530.0,81747.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
30,86884,82558,82677,82472,82543,82368,89658,150291,137550,84104,82153,81739,81588,81460,81653,81651,81258,81080,81196,80999,80696,80493,80496,80358,80399,80218,80171,97238,83497,80767,80421,80465,80912,80829,80304,81006,81487,80972,81270,81219,81238,80653,80894,99045,84077,81984,81336,81182,81888,83893,99850,85329,95515,134662
35.0,88356.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
44.0,132776.0,85957.0,81854.0,81916.0,82230.0,83577.0,85792.0,121452.0,138196.0,84868.0,84770.0,82777.0,83706.0,83218.0,84283.0,83750.0,84123.0,85615.0,101856.0,85423.0,81792.0,81666.0,81572.0,81186.0,81043.0,81663.0,83161.0,81187.0,82077.0,83524.0,82286.0,81620.0,82847.0,81884.0,82400.0,83025.0,84295.0,82973.0,82534.0,81629.0,81359.0,81410.0,103958.0,86430.0,82459.0,81447.0,80945.0,81476.0,82943.0,81219.0,81084.0,100000000.0,100000000.0,100000000.0
49,92108,83807,83100,83272,83575,84618,85796,150794,136461,100667,87386,83251,83103,83121,83155,82820,83550,83051,84029,83234,82857,81894,82895,81084,80922,82254,81288,80415,80348,81476,80344,95774,84183,82245,81725,82943,83465,81595,81266,81201,80604,80933,81095,80712,80908,80928,80510,80330,79997,80198,98954,83167,86649,118357
50.0,94975.0,84669.0,84461.0,83519.0,84017.0,83916.0,85561.0,148218.0,136223.0,84829.0,83423.0,83462.0,83777.0,82780.0,83861.0,82760.0,82544.0,82284.0,82351.0,82431.0,81902.0,81996.0,82246.0,98448.0,85384.0,82943.0,82994.0,82450.0,82730.0,83097.0,83226.0,83333.0,82890.0,83333.0,83055.0,83522.0,84373.0,82641.0,82415.0,82231.0,82929.0,90582.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
55,90161,83390,82498,82190,82378,82302,87700,151632,137890,83798,82218,81968,81682,81586,81585,81930,81799,81542,81524,81711,81369,81136,81056,81712,100056,84292,81293,81211,80886,81682,81595,81716,84551,83165,82478,82356,82534,82262,83083,82544,82525,82426,82464,81653,81491,81593,100832,84255,81673,80679,81466,81347,88193,130153
63.0,95262.0,84993.0,84640.0,83395.0,83645.0,83871.0,86422.0,147757.0,136783.0,84154.0,83594.0,83563.0,85902.0,83569.0,84996.0,85011.0,85146.0,82613.0,82187.0,82129.0,82011.0,81728.0,81848.0,81622.0,81845.0,98388.0,85243.0,81634.0,81853.0,82470.0,82429.0,82773.0,83609.0,84159.0,84617.0,84224.0,100978.0,86910.0,83092.0,83829.0,83363.0,83552.0,83483.0,83494.0,82924.0,83222.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
64.0,97407.0,85646.0,84236.0,84031.0,83859.0,83714.0,86174.0,146508.0,136313.0,85973.0,83870.0,83724.0,84183.0,84105.0,84210.0,84988.0,85656.0,85472.0,84589.0,84296.0,83409.0,84011.0,83885.0,83733.0,83270.0,83006.0,84045.0,82738.0,82502.0,82654.0,83019.0,82514.0,82503.0,82434.0,83603.0,108184.0,86290.0,86142.0,84435.0,83580.0,83464.0,83148.0,83096.0,83280.0,83046.0,83704.0,83301.0,83153.0,83191.0,83328.0,84144.0,94805.0,134626.0,100000000.0
65,95823,85334,84651,83569,83764,83389,87494,146662,136669,84639,83579,83496,84978,84472,84517,84835,85523,82897,82096,82007,82236,81868,81974,81569,81408,81744,80939,80967,80846,80772,80795,80873,80709,81145,82182,82816,103398,84493,81551,81572,82096,81700,101495,84521,82749,82842,82737,82508,82130,82426,82154,82541,88012,103200
71.0,100714.0,85905.0,83707.0,114281.0,86318.0,82435.0,88324.0,134061.0,118882.0,86997.0,84690.0,84532.0,83916.0,83629.0,84322.0,83951.0,84473.0,84277.0,83628.0,84973.0,84296.0,84000.0,83766.0,83399.0,83482.0,83722.0,84038.0,83799.0,83089.0,82952.0,83313.0,83628.0,83357.0,84509.0,86921.0,85656.0,83612.0,83260.0,83906.0,104617.0,87509.0,83734.0,84020.0,83177.0,83010.0,82836.0,82743.0,82771.0,83221.0,84050.0,83238.0,87976.0,130959.0,100000000.0
75,101951,86896,85440,85137,83181,83260,86022,142964,138784,87213,84806,84309,83581,83959,84441,83413,83647,84299,84968,84905,84064,83773,83366,83289,83387,83379,83082,83000,82421,83985,84203,82782,83075,82354,82131,82617,104795,87790,83378,82182,82272,82179,82272,82180,82567,82406,82693,82077,82205,82477,82733,86587,102400,90070
79.0,101325.0,87300.0,85762.0,86644.0,84294.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
81.0,101406.0,86551.0,84182.0,84253.0,83342.0,83763.0,85807.0,144236.0,137807.0,86356.0,84235.0,83866.0,84515.0,83929.0,84284.0,83628.0,84030.0,85428.0,84532.0,84140.0,84245.0,83445.0,83348.0,83764.0,83269.0,83262.0,83432.0,82730.0,83053.0,82915.0,83154.0,82659.0,106464.0,86837.0,83183.0,83127.0,83665.0,84350.0,85068.0,84793.0,86274.0,87400.0,107559.0,89143.0,85058.0,85054.0,83770.0,84081.0,83732.0,83884.0,83054.0,86997.0,103032.0,100000000.0
