driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59
14,94973,90521,116263,150067,88541,87609,88271,88238,87960,87676,87866,87907,87673,87867,87829,87508,88516,87834,87880,87900,87851,87843,87871,87753,88061,87955,87999,89804,88720,94862,108009,87699,87355,87575,88332,89470,88201,88105,89416,88958,87590,87779,87929,87085,87224,87975,87606,87871,87608,87728,87364,87857,87340,87264,88427,87016,86475,86665,87353
15.0,102570.0,93400.0,113648.0,147762.0,89711.0,88842.0,88577.0,88819.0,88907.0,88373.0,88556.0,89116.0,88815.0,88631.0,88542.0,88390.0,88256.0,93956.0,113115.0,89400.0,89394.0,89270.0,89870.0,89119.0,88595.0,88880.0,88515.0,88688.0,88888.0,89067.0,88250.0,89553.0,88083.0,88004.0,88108.0,88103.0,88236.0,88548.0,93196.0,114223.0,87337.0,87086.0,87902.0,88108.0,87490.0,90566.0,88836.0,88364.0,88899.0,87456.0,88363.0,87918.0,90180.0,87109.0,86819.0,86612.0,86610.0,87187.0,100000000.0
21.0,100099.0,92517.0,114520.0,148368.0,88944.0,88672.0,87758.0,88067.0,88074.0,87924.0,87374.0,87439.0,87246.0,88000.0,87598.0,87435.0,88294.0,88465.0,86889.0,88436.0,87099.0,87989.0,86533.0,87890.0,87429.0,88183.0,92715.0,111028.0,90309.0,87473.0,87994.0,87518.0,87292.0,87477.0,88184.0,89444.0,88262.0,88252.0,89098.0,89658.0,87190.0,87473.0,105330.0,87718.0,88243.0,88521.0,88343.0,89192.0,88969.0,88415.0,89630.0,90248.0,92519.0,97333.0,105715.0,86170.0,86119.0,86642.0,100000000.0
22.0,104856.0,93604.0,113708.0,146926.0,90745.0,88678.0,88569.0,88865.0,88257.0,88155.0,88658.0,89021.0,89338.0,88597.0,88768.0,92253.0,109911.0,89139.0,90600.0,90680.0,89218.0,89285.0,90247.0,89889.0,88353.0,88467.0,88593.0,88567.0,88444.0,89460.0,88303.0,89029.0,88164.0,87996.0,87877.0,88460.0,88809.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
23,97859,90352,115918,149136,89680,87726,88460,87754,87773,87844,87678,87898,87647,88236,87321,87573,88815,87231,87797,88085,87528,93383,109866,86519,86710,86267,86649,86482,86873,86390,87127,87095,87462,87193,85872,86060,86284,86551,87599,86280,87790,92821,108965,87044,87432,88035,87724,88463,88292,88399,87081,86893,86973,87842,87392,86990,86682,86850,86904
25,99646,92525,114404,148636,90299,88713,87961,88261,87893,87797,88031,87741,87786,87694,87530,87457,88567,87483,87738,88047,87790,87387,87420,87677,87100,87728,87632,87973,88843,89922,87749,86840,86988,86909,87472,88696,86512,91464,109185,86631,86899,86972,86926,86729,86855,86497,86527,87571,86555,86578,86429,86954,87474,87555,86706,86832,86752,86601,87422
30.0,93861.0,91344.0,115451.0,150725.0,87370.0,86711.0,86062.0,87144.0,85885.0,85859.0,85573.0,86965.0,85697.0,86228.0,85862.0,85714.0,85987.0,86206.0,86100.0,85609.0,90025.0,103746.0,85862.0,86125.0,85529.0,85647.0,85580.0,87014.0,86179.0,85773.0,87102.0,88395.0,85613.0,84475.0,84674.0,84607.0,92462.0,158695.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
35,93076,91271,115579,151194,86975,86435,86315,86170,86340,85969,85665,86434,86182,85991,85896,85699,86103,86110,85830,85731,86405,91752,131896,85672,85322,85501,85658,85614,87665,89814,88261,87060,86576,86722,87394,88971,86563,86788,85835,86071,85106,85082,85360,90941,107243,85285,85742,85423,85673,86183,86401,86821,86862,88776,87432,86893,86629,87004,88304
50.0,117237.0,147693.0,89787.0,106131.0,91807.0,90599.0,90359.0,90584.0,90266.0,90223.0,89910.0,90080.0,90451.0,90797.0,90222.0,91405.0,90302.0,91478.0,90738.0,90989.0,91427.0,90468.0,89470.0,89694.0,89137.0,89201.0,90936.0,89571.0,94263.0,121748.0,89758.0,89508.0,89395.0,90033.0,92029.0,89462.0,89347.0,89586.0,89541.0,89514.0,89851.0,90866.0,89420.0,89485.0,89657.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
55,98972,92269,114887,148655,89023,88289,88185,88197,87820,88168,88819,87726,87601,87819,87700,87433,87885,88092,87699,87952,87737,87402,87889,87348,87173,87535,88053,88138,88798,89985,87019,87023,87266,87205,87287,92285,108532,87771,87092,86459,86907,86498,86555,86354,86311,87184,86598,87993,86425,86260,86388,88135,87960,87050,86556,86537,86717,86591,87663
