driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63
14,98384,92151,91594,90842,90632,90508,90321,90324,90046,90055,90314,90025,89868,90040,90071,89948,89620,90609,89863,107374,93326,91563,90693,90639,91076,90522,90605,90616,90672,91985,91934,90434,90401,90524,90749,89948,90168,90107,89874,89480,122391,94226,90254,93252,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
21,110984,95697,94879,93369,93176,93578,92867,92820,92679,92406,92735,93238,92872,93033,92615,112977,95584,91633,91719,92589,95138,94996,94249,94404,92933,92445,93006,92640,92591,93877,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,103987,92970,92360,91916,91528,91294,91445,91167,91080,90804,90955,90651,90536,90291,90280,90372,90160,90251,89908,90281,90297,112548,94080,90181,90497,89993,89888,90150,90747,90114,90531,92816,90413,91697,90398,90785,89894,90277,89892,90163,89904,115482,95812,90886,90824,90754,90915,90735,90768,91054,91870,91971,91792,92056,91482,93655,91248,91178,92058,92157,92751,92581,95116
30,99284,91697,91643,91003,90555,90448,90541,90110,90330,90223,89897,90124,89968,89917,89997,90034,89646,90410,90102,89515,107885,93266,89857,90599,89907,90216,89990,90654,90396,89337,89483,89752,90006,89318,89256,88966,88985,89282,89257,110311,92557,89511,89784,92146,91293,92166,93118,90694,90799,90167,90680,90982,90237,91164,89874,89384,89703,89375,89504,90226,89479,89415,98191
35,177527,92365,90300,90264,90421,90493,90422,90181,89898,90246,89930,90130,90168,89665,89597,89760,89825,89688,89908,89582,89310,89226,89590,90912,89749,110344,93811,89531,89743,90283,89674,90080,89816,90222,90369,90453,91084,89880,89684,90060,89485,92303,108396,93484,89401,89871,89764,89748,90042,89834,89637,89878,90207,90503,90611,90829,90950,inf,inf,inf,inf,inf,inf
44,109047,95023,92667,92302,92170,91900,91961,92246,91359,90982,91387,91681,92093,110927,95586,91881,91064,91390,93548,92675,92041,91532,91933,93284,92424,92774,92461,92183,91803,91412,91285,91401,90721,90681,90521,90901,90567,90949,90508,90184,110563,94995,90964,91644,91393,91638,92968,92547,92657,95480,96381,94510,92938,92952,inf,inf,inf,inf,inf,inf,inf,inf,inf
49,107183,94076,92619,92405,91889,92129,91582,91981,91440,91337,91482,91268,91441,91201,91235,91166,91122,91092,91158,108103,94971,91331,91203,91668,91631,91634,91502,91444,91502,91642,91693,93662,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
50,106403,93653,92488,92486,91905,91641,91888,91442,91567,91075,90941,90834,91087,90944,91204,90816,91044,120753,95982,91790,91338,91634,92127,91751,91845,93400,91526,91551,91420,91768,91184,91155,91146,91436,91354,91377,91211,90479,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
55,104868,92969,92063,91929,91365,91457,91213,91756,91684,91180,90757,90481,90508,90645,91378,91968,91426,90900,120082,96591,90726,91305,91576,91730,91211,90925,112244,94763,91295,90299,90013,89965,89962,90636,90330,90701,91062,89542,89657,108737,93914,92017,91247,91356,91184,91398,99388,90130,90007,91482,90912,90327,93739,90713,89979,90018,89971,89814,90589,90985,91205,91323,inf
56,105343,93517,92261,92730,91483,91409,91565,91086,90891,91175,90924,90824,90930,90708,90862,90951,92353,90669,91150,90969,90029,90077,90153,90410,90919,90118,108674,93853,89947,90820,89781,91805,89620,90009,90157,91189,89803,90153,89503,89750,111246,94346,91098,90857,90927,90671,90538,90620,90563,90514,90688,90699,91137,93116,92396,91451,91732,90254,90432,90237,90328,91176,94143
