driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73,lap_74,lap_75
64,143785,115496,124479,116412,113469,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
65,129079,114897,113852,113926,113271,113790,113305,112116,112164,111167,111692,110685,110955,109751,110317,108946,108935,109897,107238,106479,106061,105802,104478,103690,104676,101949,101607,102387,98769,120124,96751,91851,90329,89426,89041,89075,88109,88028,88456,88372,88360,87597,87196,87653,87708,88666,87732,86891,87384,87219,87481,87231,87939,88001,87317,88021,87733,87239,87325,88289,90431,88430,87289,87018,86970,87293,87422,86852,87708,88952,91812,91234,91234,94013,92049
35,127787,114275,114005,113969,113395,113694,113349,112009,112149,111409,111064,111105,110442,110007,110195,109036,109053,109850,107496,106381,106578,105713,104296,103975,103356,102812,101313,100478,125077,100331,94821,91981,90618,89724,88508,89060,88049,88024,88463,88006,88661,87442,87519,87375,88116,88205,88480,87382,87379,88345,86822,86829,87593,88488,87482,87846,87927,87185,88054,87937,89575,87982,86746,87084,86682,87242,inf,inf,inf,inf,inf,inf,inf,inf,inf
69,135844,116505,118114,115559,115065,116186,115708,115123,115608,114772,115519,115708,114706,113823,115427,112373,112533,113057,113859,111297,111084,110519,110307,108551,114640,109466,105647,105994,107827,291438,102442,96149,99204,95215,96920,99215,97699,101009,95253,94370,94173,94162,95365,93718,93305,95022,96206,95569,99741,94640,93910,94198,94626,93935,94988,95361,93885,95646,97811,93606,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
71,116036,110246,109608,109603,109430,110420,108752,109036,108377,109315,108159,108590,108685,109658,108072,108007,106772,107124,105789,105786,105296,104590,104530,103625,101684,101536,102508,124659,99880,93955,92803,94938,91561,91818,90157,88830,89658,88571,88624,88523,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
73,139667,119342,118465,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
44,131654,116057,114180,113464,112369,113814,113303,111503,111693,111994,111721,111321,110568,109893,109675,108821,107903,109651,107387,106353,106002,105790,104719,103291,103179,102128,101427,124922,98290,93235,90418,89195,88540,89214,89900,90241,87603,86787,87848,87667,97575,86931,86182,86812,88824,86305,86514,86403,85995,86215,86121,87908,87093,86836,86766,88598,87356,86894,87717,86416,90706,88497,86915,87973,85581,85957,86081,87604,86593,86667,91697,91273,87830,89186,89888
77,122527,112532,112098,111288,111639,111018,110425,109966,114822,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
14,127317,113786,114235,113794,113172,114258,112863,111476,111671,111712,110722,110336,110607,109819,110111,109565,109910,109886,107160,107572,106166,105379,104215,102952,103358,102923,101046,100520,100289,120209,95801,90126,90363,89162,89494,88377,87914,88140,87952,87250,90003,88375,86900,87791,87705,87068,87262,86935,86711,86572,86674,88413,87133,87074,86818,86968,87268,86943,86735,87180,88822,88302,86601,86957,86908,86521,86274,86238,86711,87461,90492,90971,88509,90348,91206
79,133301,115722,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
49,126123,113853,114330,113870,113477,114120,112691,111741,111355,111970,110629,110289,110487,109734,110575,109491,109350,150567,108973,104862,105299,103871,103723,102500,104443,124679,100567,91689,91456,93992,91146,91163,90867,90939,89575,88565,88692,88578,87646,86807,87831,88962,87071,86804,87496,88885,88038,88127,87548,87659,88181,87374,87418,89099,107626,92765,87717,87899,87288,88698,88321,86924,86594,86493,86708,85608,88267,87654,87512,88349,93982,91643,91323,94725,inf
84,131102,115934,114072,113203,112839,113928,114160,112760,111559,112023,111140,112003,110740,110646,110137,109264,109220,110452,108560,105994,105572,105660,104333,103408,102857,102740,103536,120872,98900,95477,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
55,120359,112031,113036,111669,111172,109952,109906,109867,109462,109279,109433,109298,109294,108881,108955,108778,108100,106789,106574,107937,106150,104618,103144,102676,102106,102549,101466,101664,100413,120398,97568,94042,90362,89442,89089,88260,93335,88712,87630,87118,87854,87029,86793,86666,87217,86310,87435,89118,86775,86059,85418,85489,85366,105991,89984,86097,86406,85305,85205,131763,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
