driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73,lap_74,lap_75,lap_76
1,104800,97152,95440,95972,96838,123338,104685,105013,136656,140482,105276,102840,100328,99365,97404,97300,95514,95044,95808,94884,95411,93846,93096,92442,92090,92287,91885,91497,91125,91233,90553,90900,91252,89420,90721,89422,90276,88691,90411,88065,87385,87305,87157,87282,86972,86546,87348,86779,87587,90375,85897,86905,87046,104628,93248,86497,84515,83171,83215,82680,82035,104023,136935,145658,144328,128474,126291,81147,79992,79006,78510,78789,78632,78699,78704,80219
2,116721,102641,103099,101491,102149,101861,104005,110863,119671,138888,106411,103805,103160,106264,100711,101118,145760,108325,104127,99995,101321,98448,97232,96784,96889,96000,99250,98980,98438,100022,105027,95725,93592,94427,92729,92423,92802,92423,98229,96533,90430,89363,91285,96520,91672,92282,90546,91243,89443,88967,87728,90618,94298,109588,106719,91574,97015,102943,194914,134076,137942,127797,97230,89554,86320,83898,82104,83247,83700,83411,80653,80251,inf,inf,inf,inf
3,110731,101316,121641,103504,100738,104855,104695,110690,119894,133237,106693,103053,103331,139831,101630,96298,94607,95083,93273,93244,94457,96325,95800,96321,95863,95479,94931,95931,95702,95082,94366,95138,93056,93783,93743,92134,88849,90242,89306,93067,89978,90744,93485,93826,93366,89282,85744,85255,86486,85315,86210,95546,109669,94811,84054,82407,81504,81270,81425,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4,109830,99725,98662,96797,97693,98430,99513,143846,119464,139080,106229,102951,103078,129315,102005,98068,98241,98150,97316,97033,96463,96342,95920,96270,96054,95655,94842,95866,95832,95175,94278,95207,93108,93800,93907,98488,93907,95245,96149,93917,93542,93062,92331,111457,101108,93166,89378,88182,87826,86576,84767,85134,87251,86778,84608,85972,83126,83574,84793,106346,135817,143429,90554,84753,105390,122556,88319,82297,80735,81494,78936,81064,77869,79739,81430,inf
5,124174,104545,102162,102930,103227,105305,104867,109838,120400,133358,105936,103869,102805,107034,100818,99603,101752,98298,97385,97505,97533,97931,94743,92984,92545,92256,93889,94598,94896,95120,94884,94501,93367,114193,100499,91860,91023,90686,90238,91315,90798,89548,90208,92216,95048,92363,92243,89375,110018,96860,87132,89925,91809,84203,82648,81224,80801,80252,80337,89665,169216,106853,88387,102776,119010,84366,82535,82019,80251,78897,78103,77589,77485,77282,79789,79830
6,117931,102634,102643,103890,102377,102688,102337,112628,118813,138218,106431,103796,102999,109131,100223,100122,103339,97426,98100,97405,95903,95136,95033,95013,94188,94378,94265,94520,94935,95426,94894,94452,93138,92766,92972,92980,94716,90550,92071,88466,88621,88525,87067,87303,87348,87221,86406,88284,88390,91258,87288,140403,94678,84745,84022,87342,84424,82273,82695,82919,99712,106821,140772,110450,84376,85082,119585,87326,83656,81438,80910,80964,80657,81131,79910,79987
7,120125,103028,103363,103299,103415,104060,101150,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
8,105838,98078,96430,99028,98227,99942,99617,101742,157666,142477,103579,99852,105346,102161,97783,96749,97015,95122,94964,95619,94421,94105,93640,93217,92532,92151,129710,100000,94332,93543,92600,91041,91036,90437,89768,89546,89402,89467,89621,90158,89268,89445,88604,89171,89812,88507,88678,88479,89572,88703,88095,86994,86573,87465,85724,85430,102786,91339,83841,82161,101292,141587,108028,87175,102821,128388,123495,112674,86184,79474,78008,77516,77033,76689,78145,79416
9,108525,100230,97446,96239,97065,98458,99739,102972,156539,142518,104232,99666,99195,97051,96022,96771,95422,94529,95239,94969,93218,92968,92311,91805,91156,111161,98040,93320,92594,91912,90668,90452,90183,92573,91850,90845,91528,90944,90921,90368,91353,89833,88801,90065,86926,86590,86371,86840,88438,88163,88686,89929,106900,95476,86416,84528,84652,83746,82710,82005,83651,96328,112638,141577,140624,128909,126203,82672,80392,79601,79145,78789,79250,78503,77933,79519
10,113575,102288,106567,124946,104543,99492,98851,110364,119539,132286,105965,104239,102090,107806,99322,99896,101451,98673,97462,97708,97411,98206,96537,96912,95868,94762,94975,94537,93739,96108,93222,93618,94441,94624,93742,94335,93656,128436,98073,91851,90121,90134,89480,89393,88988,90614,90027,114742,96633,87885,93232,86477,90174,88029,83930,84827,83255,82456,82090,100334,126613,141827,94659,84701,98826,123525,87871,86131,82712,80576,80338,80439,81158,80135,79618,inf
12,121180,104115,102222,103790,103472,104419,102919,108563,119875,137169,104781,103631,103316,109554,100866,99700,101449,97843,98064,97401,98702,97531,97383,95719,95435,94043,93462,93809,93740,93757,93429,95761,94358,93253,92187,94581,94285,92927,92549,91187,92257,93772,93294,94022,93282,118792,100217,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,103533,97079,95484,94600,96385,98445,100103,100198,169656,142381,101740,99586,98067,97717,96139,104113,95454,94599,94002,95415,93560,92703,92163,91749,91309,91611,90809,90749,91631,91631,90925,90096,113950,96827,90946,90941,91466,90631,89357,89013,91020,88687,89053,87708,87909,88464,88893,89118,88727,88069,88701,89941,87971,87161,88453,107481,93153,83539,81692,81946,82987,94424,112371,140970,140306,128872,125905,82940,80916,79938,79604,79924,78751,79400,77910,77886
14,119000,102441,102260,104691,102115,102834,102112,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
15,112879,101839,99315,101455,101874,101747,103812,127032,122344,136401,105519,104077,102890,107214,99773,99440,98894,97860,97193,96989,95628,95586,95598,95069,94602,95151,94947,94833,95005,95837,94963,94382,93179,92623,93204,93045,116845,102137,95330,92352,93070,92329,90958,90362,90191,91350,90337,93301,92484,91600,92551,109111,103328,92207,88038,86743,85884,86895,90237,97688,108013,140598,95990,85735,96601,121939,88677,84947,82587,81101,80407,80339,80640,80286,79830,inf
16,121671,102166,100963,104708,102584,105155,103243,109811,118552,137299,107473,103757,103261,105037,100469,99880,99385,98380,96845,96791,95494,94910,94594,94841,93969,93954,92841,92536,93117,92074,91479,91387,91357,90649,90136,89292,89043,88785,89504,88095,88018,89368,89454,87169,86926,88065,91393,88791,87368,86888,86169,85492,105160,95714,88139,85574,85166,83856,83255,82039,88954,170884,107054,89090,103056,128681,124018,inf,inf,inf,inf,inf,inf,inf,inf,inf
17,118410,101521,102955,103093,102145,102167,102444,111121,119155,139165,106503,104301,103565,107877,100495,99450,99050,97152,96352,95557,95023,94420,94016,94142,93397,93141,93233,95369,92076,91362,90388,89880,89535,90514,89903,89368,89055,89572,89104,91916,91483,89555,86921,86727,88057,90860,91482,109597,103051,94322,89225,87124,86935,91235,85315,83666,82947,86683,84434,82776,102095,140953,107605,93158,96634,128479,123037,88966,81768,80555,80189,79435,79577,79036,79086,81177
18,159742,101593,96329,97492,98477,100970,101035,112396,131144,114841,106286,105736,102023,106703,99379,100468,101415,98254,97178,98015,97472,97787,96885,96294,95692,95029,95077,94700,96118,93835,93299,92889,93789,94268,93475,94381,93444,90746,89702,89624,91063,94189,93440,93995,93044,94893,88568,106040,98102,92192,89953,90626,95065,86378,85088,83725,83783,84787,83261,107960,135848,143087,90819,84850,105079,123023,89079,82915,81082,81195,80103,81772,82745,79582,80862,inf
20,122202,103498,102055,102851,103278,104449,103266,110009,121397,136420,105316,104180,103000,107761,100654,99965,101787,97619,97876,97551,97213,97097,97019,97894,95440,94234,93051,93630,94145,93370,93479,95657,94526,93456,91884,91862,89328,92961,89561,88825,88779,88414,87286,87321,86983,87106,86602,88866,87739,91078,87387,106199,92542,88388,84940,83714,83739,82225,81242,81176,110416,126340,142990,98167,85674,97511,122074,87464,83441,81355,80929,80397,79462,78787,79719,81181
21,123384,104751,101801,102867,103416,105426,104929,109419,119800,134515,106998,108470,104719,110287,101727,99847,99748,98327,97145,96342,96047,96462,96439,96320,95930,95065,94982,94523,96062,93879,93134,93685,92849,98178,95810,93354,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,119613,102660,101683,104862,102165,102568,103268,111947,118972,137693,106008,104183,103278,108890,101737,99193,100132,96795,96934,96775,96014,95581,96631,94391,94190,94800,94780,95027,94852,95986,94823,94474,93050,92643,93173,93118,94635,89241,88471,87745,87168,86978,87469,87085,87341,88140,91663,89783,88923,91057,87348,87484,88212,111184,92107,83876,85550,83267,83063,81834,100349,127440,142265,98203,85566,97087,121903,87122,83914,81568,81449,81175,80233,79922,79574,80867
