driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52
64,117369,109332,108844,109627,108495,108877,111613,109780,109151,108795,108713,110268,110566,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
65,116717,108596,109105,108208,107885,107846,107969,108134,107996,107201,107319,107459,107265,109447,108245,108108,111100,125258,105932,106220,106660,106776,106528,107017,106675,106736,107019,108541,107633,107396,107157,107051,108259,127412,107264,107300,108252,108927,107612,107760,107606,107494,107323,107381,108603,108314,109424,108560,108659,109405,109326,109510
35,112023,106703,106621,107499,107335,106658,106867,107023,106666,106676,106688,105787,104961,106679,128474,106803,104353,104262,104961,104729,105188,105289,105552,105317,107033,105880,105519,105874,105889,105396,106352,113544,126268,104043,107508,104666,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
71,108057,105632,106518,106777,106402,106962,106496,105946,106431,106429,106250,106112,105821,105991,105568,105546,106099,107274,127454,105018,105028,105460,105063,105786,107697,104927,105549,105078,105172,104753,105116,105190,105403,107509,125676,105619,105647,105676,106194,105406,105611,106251,105458,105861,105660,106170,105835,105810,106025,106886,106853,108639
73,121972,112543,111225,110855,110923,110722,111441,111814,111441,111213,110973,111301,111604,111592,111809,111751,110926,110948,110489,110795,110023,109998,110204,114400,110776,112897,141848,136960,109939,110341,110468,111059,110131,109722,109263,110434,110816,112677,111685,110782,109962,110113,110431,111272,110233,110836,109762,110320,110055,110644,inf,inf
44,115522,108363,107742,107514,107810,107618,107882,107752,107616,107732,107701,108433,107488,108242,108639,109862,112195,124733,105347,105531,105989,106557,106899,106767,106383,106823,106561,107577,108216,107524,109482,126017,105723,106919,106681,107700,107619,107522,107281,108431,107962,107099,106984,107017,107855,107646,107153,107224,106935,109200,108327,108506
77,108461,105792,107253,112452,127164,106141,107450,107523,105541,105376,105615,106089,107208,107834,107190,109013,106459,105535,105833,105477,105759,107039,122857,104350,104531,105118,105502,104494,105313,105138,104730,105373,108211,105733,105444,108534,122554,105641,105512,108074,107353,105648,105312,105589,107090,105961,105423,105429,105645,105555,105778,106221
14,121040,134822,107031,106728,106424,106684,107115,107457,106756,108568,107769,106949,106406,109109,109466,110280,124024,105823,106493,106153,106974,105895,106443,106868,106536,106062,106619,106036,107562,106609,106219,106316,106443,108156,129423,106901,106075,105613,106041,107308,105852,105651,106365,107323,108302,108267,106831,107708,106105,105725,105850,105849
79,120672,110810,109034,108884,108849,109514,109051,109405,109868,109300,108731,109424,109301,109701,111809,127041,107569,107561,108204,108349,107757,107662,107939,108160,110220,111885,139278,107723,107518,109122,108651,110001,108591,109418,108950,108583,117245,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
49,114879,107698,107171,107539,107028,107228,107425,107764,107580,107216,107306,107306,107836,107867,106873,107214,128252,106719,107097,107323,106574,106581,107662,108334,107845,108013,107990,108475,109319,126053,106407,106503,106866,107007,107594,107237,107788,107615,108158,108100,107858,107116,107148,107194,107247,107196,107208,107648,107245,107026,107947,108702
50,119877,108594,108971,109146,109344,109263,110595,110056,109684,109156,109004,109311,109284,109911,109435,109470,109957,110757,110344,110172,110606,110662,110517,110064,110341,110076,110375,110473,112629,129159,106977,108061,108273,107611,108834,108081,107922,108398,108024,108603,108063,107761,108251,109587,109477,108600,108276,108418,108508,108831,109166,inf
83,120997,112193,109886,109904,110412,109762,110071,109791,110382,110810,110391,110546,110681,110453,110253,112085,128158,109220,110246,110502,110624,109951,111750,113232,110205,111292,110131,110121,110705,110038,110976,110969,110360,110241,111803,129765,110178,110330,111663,110891,110713,110103,110219,110279,113957,111839,109817,110019,109504,111547,inf,inf
84,112724,106793,107044,107070,107569,107159,107276,107114,107022,106592,107044,106845,107171,106882,106886,108385,128008,106465,106518,106580,106976,106835,106846,107007,106933,107117,108735,107839,107096,107231,107059,108274,107579,107801,110167,126790,105882,106109,106300,107855,107282,106678,106545,107082,106652,106915,107274,107249,107223,107498,107468,109467
22,114381,107313,107166,107094,107356,107598,107420,107509,107359,107425,107386,107749,107755,108821,127302,106339,107617,106663,106788,106770,106871,107133,108018,108465,107739,108074,108020,108304,107898,108352,108280,108526,128479,106478,106997,107280,107629,107874,107771,107637,107930,107955,108140,108401,108483,108546,108281,109835,109625,109384,109328,109312
56,111281,106962,106594,107507,107084,106743,107207,106832,106562,106828,106596,106748,106979,106617,106402,106076,106261,108351,125009,105798,106020,105880,106183,106176,106526,106320,107707,106991,106357,106361,106792,106136,108542,126179,105952,105950,106036,106208,105928,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
57,109697,106342,106768,108541,106684,106265,106414,106612,106471,106071,106042,106104,105872,106185,106394,106420,106234,107916,123940,105147,105360,105660,105509,105717,107055,105713,105511,105570,105343,105439,105467,106262,125387,105880,104852,105230,105387,105680,105886,106416,105909,105994,105757,105784,105676,105566,108022,106376,105857,105743,106080,106796
30,110319,106478,106870,108298,106648,106621,106264,106524,106786,106228,106086,106402,106396,106333,106180,107289,123650,104445,105471,105366,105452,105453,105340,105617,107321,105611,105464,105649,105399,105437,105593,105691,125020,104642,105358,105777,105895,106357,106560,106475,105672,106108,105645,105534,105740,106002,108231,105879,105778,106037,106027,106256
63,120522,112084,109728,109429,110175,109859,110253,110081,109593,109531,110502,109985,109641,109664,110001,109877,109591,109372,111170,116034,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
