driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49
1,128558,123578,123722,123558,123283,123662,123786,123554,123838,123581,123921,123938,124332,123899,126059,140765,120447,122131,120940,121211,120825,120876,120842,120896,120584,120512,120194,120377,120036,120355,120325,120368,119706,120150,120062,119904,121466,120715,120456,120565,119731,119560,119590,120721,120642,121166,120859,121410,121922
3,128063,123507,123519,123682,123384,123503,123571,123674,123834,123716,123914,124002,124132,123924,123726,125842,141500,121683,122338,121758,121351,121462,121201,121520,121370,122045,121300,121247,121273,121341,121142,120625,120903,121104,120889,120766,120497,120599,120848,120694,120980,120289,120406,120509,120236,120504,120920,120902,120414
4,125394,122720,123046,122781,122640,123034,122921,122618,122823,122766,122716,122690,123061,123447,122875,125043,139372,121640,121619,121361,121042,120491,121235,120732,120789,120637,120579,120506,119583,120019,120451,121206,120411,122456,119477,118879,119528,119622,119626,119587,119406,119576,120654,119448,118287,120015,120433,120053,121101
5,137386,128155,128329,127987,127787,127142,127267,127485,127570,127097,127316,127538,128657,128313,127878,128436,128161,127035,126673,126540,126691,126510,126502,126462,126094,133179,128398,126756,130433,131516,150857,124833,127213,123708,123191,122894,123214,122915,123091,123265,125474,123085,125526,122906,123305,125623,122701,inf,inf
9,140006,126279,124239,124810,124437,124859,125490,125548,125276,125745,125877,128705,141543,121397,122055,121971,122359,121814,121755,122426,122288,122455,122649,122746,121958,120603,120962,120496,121183,120660,120923,121412,120474,120607,120577,120894,120506,120693,120499,120601,120483,120958,120967,120926,120571,120979,121516,121464,121848
10,138573,128234,128050,128328,127402,127306,127108,127520,127333,127569,127062,127093,127692,130521,132478,151458,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,126758,123196,122825,123146,122675,123222,122819,122820,122494,122946,122655,123422,122482,123626,123161,122668,124902,139728,120117,120701,120818,120878,120723,121027,120756,120535,120420,120760,120239,120371,120457,120104,120262,122013,122378,120405,119811,119732,120371,120952,120314,119837,120312,119847,120537,120484,121168,121747,122874
15,139666,130511,130784,127475,127390,127526,127619,127298,127379,127349,127388,127309,128541,127572,128395,127428,127013,126475,127362,127054,126738,126587,126377,129022,150244,127183,123274,123386,124884,125286,123674,124692,123327,122930,123343,123275,123291,130126,131885,130923,137574,137286,134933,148693,140681,143993,inf,inf,inf
16,144476,125478,125255,126930,123993,124236,124346,124409,124767,124508,124907,125850,124343,123904,126091,143607,122428,123058,122590,122666,122392,122483,122667,121998,121897,121702,121844,121579,121546,121547,122283,121650,121834,121451,121647,120635,121007,121362,121236,120874,120718,120402,119601,119618,120254,120963,120717,120212,119393
17,129956,124661,123692,124504,123336,124010,123731,124135,123720,123503,123976,124175,124047,124202,124542,126026,144016,120785,122584,121171,121178,121520,121582,121653,121716,121189,121411,121875,121636,121467,121705,120804,119894,120036,120616,120358,120691,120460,120323,120703,120482,121864,121826,119891,119487,119786,120089,120753,120989
18,130721,124853,124279,124154,123955,124037,124076,123917,123842,123656,123832,124029,123730,123852,123864,125999,141832,121501,122022,121714,121402,121548,121650,121446,121429,121349,121337,121242,121435,121591,120976,120623,120601,120755,120471,120549,120640,120484,120599,120734,120604,120700,120571,120606,119970,120513,120300,121062,120624
20,123366,122517,122969,122723,122858,122675,122555,122656,122659,122631,122318,122653,122512,122408,122460,122394,125068,140578,121738,121506,121192,120999,121152,120569,120832,120724,121124,120320,120500,120421,120283,120218,121574,124102,125060,122970,122725,123571,123063,122254,122633,122413,122337,121566,121644,121535,121194,120640,120336
22,132361,125349,124856,124713,124606,125060,124524,124655,124551,124887,124716,124412,123740,123993,123784,123425,123493,123200,126338,140886,121077,123996,121278,121363,120711,120989,121213,121000,120894,120624,121439,121125,121095,120606,120792,120417,120498,120469,120436,120410,120018,120297,120114,120112,120119,120369,119833,121735,126307
24,131473,125534,124589,124351,124788,124537,124439,124117,124178,123848,124158,124150,124636,123798,123917,123601,123094,123334,122737,125331,142902,121479,121574,121413,121576,120966,120987,121097,121031,120717,121311,120646,120986,120515,120373,120473,120523,120164,119906,120139,120256,120633,120439,120218,120169,121142,119997,120251,120911
153,135479,125417,126366,125144,125144,125387,125489,125508,125098,126207,125622,125443,127009,141766,121979,122125,122172,122315,122228,122312,122751,122407,122529,122983,124022,125687,139959,119964,121129,120174,120473,120913,120625,120647,120467,120542,120287,120645,120695,120645,120462,121231,121036,120496,120508,120720,120737,121196,120912
155,133768,125788,126058,125044,125270,125255,125166,125427,125655,127194,125319,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
30,129527,124376,123818,123893,123706,123935,123900,124053,123651,123693,123936,123859,124083,123737,126044,140848,121973,122027,122082,122056,121694,121397,121786,121477,121291,121827,121287,121333,121524,121458,121072,121237,121034,121464,120993,120814,120990,120511,120720,120598,120521,120497,120575,120497,120204,120592,120742,120642,120585
