driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56
1.0,111641.0,107680.0,107670.0,106372.0,107405.0,106051.0,106166.0,105686.0,106242.0,105677.0,105914.0,105545.0,105562.0,105935.0,110629.0,130823.0,105820.0,104816.0,104021.0,104688.0,103831.0,103131.0,104226.0,103614.0,103807.0,106098.0,110147.0,115667.0,115381.0,116885.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
2.0,116704.0,110449.0,109935.0,111055.0,109908.0,109440.0,109074.0,108527.0,108430.0,108369.0,108294.0,108278.0,108649.0,108053.0,107671.0,107182.0,106797.0,105755.0,105929.0,105227.0,104946.0,104426.0,105037.0,104869.0,105262.0,105751.0,109434.0,123837.0,135292.0,108424.0,110068.0,115365.0,130422.0,100909.0,101674.0,101060.0,100144.0,100521.0,100766.0,100550.0,100946.0,101910.0,101707.0,101182.0,101374.0,101481.0,101113.0,100897.0,100075.0,100059.0,100616.0,99996.0,99716.0,100183.0,99325.0,99556.0
3.0,123504.0,113336.0,112829.0,111274.0,110082.0,110444.0,110787.0,108592.0,108673.0,109148.0,109659.0,109740.0,109539.0,109626.0,108267.0,108430.0,106945.0,105607.0,105243.0,105743.0,105868.0,106013.0,105510.0,105661.0,111399.0,138504.0,119724.0,191891.0,137838.0,108770.0,117073.0,130698.0,102539.0,104634.0,102450.0,101535.0,101115.0,101495.0,101472.0,102830.0,101179.0,101300.0,102766.0,100876.0,101644.0,101641.0,102409.0,100421.0,100247.0,99880.0,99965.0,99357.0,99316.0,99233.0,100000000.0,100000000.0
4.0,114294.0,109354.0,108529.0,107853.0,107745.0,107263.0,107536.0,107185.0,107048.0,107022.0,106366.0,106744.0,106084.0,106566.0,106711.0,105785.0,105127.0,109538.0,130211.0,105077.0,104657.0,104273.0,104307.0,103952.0,104231.0,105500.0,109930.0,113634.0,111629.0,109105.0,112472.0,117515.0,130816.0,100926.0,99820.0,99639.0,99317.0,99247.0,99816.0,99285.0,99042.0,99824.0,99172.0,99373.0,99020.0,99113.0,98955.0,98780.0,100124.0,98877.0,98681.0,98714.0,98239.0,97991.0,99151.0,101036.0
5.0,119018.0,112686.0,111484.0,110617.0,110523.0,110357.0,110982.0,111533.0,110285.0,109829.0,109825.0,109609.0,109966.0,108990.0,109235.0,108550.0,109632.0,108066.0,106678.0,106565.0,106508.0,106198.0,106216.0,113145.0,131822.0,106468.0,115479.0,123179.0,116239.0,108988.0,104521.0,100899.0,101676.0,100919.0,101708.0,100876.0,100338.0,100821.0,102871.0,100073.0,100605.0,100920.0,100476.0,100629.0,100813.0,101055.0,100860.0,101148.0,100498.0,100479.0,99761.0,99331.0,100145.0,99499.0,99655.0,100333.0
8.0,112326.0,108525.0,108148.0,107158.0,107396.0,107299.0,106805.0,106264.0,106786.0,106557.0,106290.0,105703.0,106576.0,106325.0,106044.0,105036.0,104372.0,103853.0,108370.0,128564.0,104373.0,103840.0,103446.0,103361.0,104142.0,104649.0,107797.0,114939.0,113707.0,110424.0,110720.0,119147.0,133747.0,101383.0,100625.0,99465.0,100289.0,100167.0,99513.0,99270.0,99757.0,99605.0,98880.0,99044.0,99593.0,99249.0,98972.0,98587.0,98749.0,98449.0,98315.0,98285.0,98634.0,98786.0,98692.0,101397.0
9.0,117886.0,111635.0,110513.0,109646.0,109576.0,109229.0,108816.0,108812.0,108499.0,108331.0,108573.0,108171.0,108764.0,108315.0,108175.0,107099.0,106256.0,105975.0,106015.0,105321.0,104820.0,105596.0,105596.0,106362.0,113418.0,130327.0,110758.0,117099.0,108652.0,104870.0,102246.0,100926.0,103369.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
11.0,122365.0,113241.0,112081.0,111589.0,111023.0,110865.0,112330.0,112173.0,111802.0,112019.0,111021.0,112069.0,111189.0,110588.0,110297.0,109257.0,108148.0,107891.0,107463.0,106616.0,106562.0,106251.0,106421.0,105924.0,111376.0,138269.0,119093.0,126718.0,110902.0,107384.0,104472.0,103261.0,104787.0,102517.0,102105.0,102469.0,102083.0,102182.0,102518.0,103200.0,103592.0,102347.0,103832.0,102801.0,103178.0,102775.0,101842.0,102268.0,101398.0,101567.0,100891.0,100523.0,100274.0,100126.0,100227.0,100000000.0
13.0,113697.0,109190.0,108601.0,107776.0,107212.0,107382.0,107427.0,106681.0,107222.0,106749.0,106643.0,106415.0,106404.0,106118.0,106084.0,105965.0,110780.0,129724.0,105367.0,104997.0,104879.0,104159.0,103751.0,104390.0,105066.0,112551.0,145038.0,124368.0,112835.0,107194.0,103612.0,101959.0,104551.0,101079.0,99928.0,100044.0,100290.0,99914.0,100266.0,100481.0,99503.0,100595.0,100051.0,100652.0,100103.0,99598.0,99232.0,99416.0,99245.0,98526.0,98323.0,97989.0,98355.0,97895.0,97560.0,97454.0
14.0,115300.0,109699.0,109391.0,108976.0,108596.0,107980.0,108262.0,108172.0,107786.0,107898.0,107875.0,107507.0,107836.0,108003.0,107544.0,107493.0,106748.0,106011.0,110435.0,130465.0,106432.0,106422.0,106446.0,106296.0,107128.0,112962.0,149643.0,122624.0,110463.0,106024.0,104131.0,104620.0,102586.0,102691.0,101632.0,102239.0,100963.0,100801.0,100728.0,100812.0,102168.0,102274.0,101063.0,101093.0,101049.0,101068.0,100913.0,100806.0,100922.0,100370.0,100094.0,99865.0,100022.0,99740.0,99640.0,100438.0
