driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73,lap_74,lap_75,lap_76,lap_77,lap_78
2.0,91356.0,80395.0,79471.0,79426.0,79327.0,78647.0,79337.0,79046.0,78795.0,79003.0,78762.0,78870.0,79206.0,78547.0,78573.0,78965.0,78539.0,78287.0,78697.0,78823.0,79062.0,79635.0,79170.0,79033.0,79119.0,79405.0,79330.0,79742.0,79655.0,79959.0,79895.0,79395.0,79936.0,80461.0,80693.0,80745.0,81135.0,81025.0,80566.0,99639.0,82671.0,79350.0,78656.0,78466.0,78524.0,78727.0,78736.0,82501.0,123569.0,122971.0,116392.0,83268.0,82834.0,80815.0,79678.0,79003.0,79068.0,79606.0,79250.0,80110.0,78602.0,78625.0,78596.0,79376.0,79016.0,78506.0,78321.0,78453.0,78085.0,77898.0,77684.0,77319.0,78876.0,78114.0,77777.0,77742.0,77655.0,100000000.0
3.0,86671.0,78906.0,78640.0,78462.0,78856.0,78291.0,78890.0,78770.0,78450.0,78463.0,78692.0,78641.0,78549.0,78336.0,78000.0,78182.0,78521.0,78539.0,77930.0,77792.0,77892.0,78587.0,99602.0,81366.0,78197.0,78496.0,79047.0,79453.0,79303.0,80470.0,80139.0,80425.0,79416.0,79533.0,80542.0,80649.0,80485.0,81084.0,83828.0,82671.0,79287.0,78047.0,77227.0,80114.0,79590.0,79395.0,79068.0,101889.0,122063.0,123778.0,117107.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
4.0,82551.0,78209.0,77071.0,76751.0,76472.0,76826.0,76698.0,76854.0,76734.0,75924.0,75671.0,76318.0,77243.0,76605.0,77602.0,76534.0,75906.0,75680.0,75763.0,76405.0,76951.0,76231.0,76048.0,94559.0,79613.0,77980.0,77825.0,77914.0,77838.0,78348.0,78226.0,78399.0,78798.0,78489.0,76883.0,77555.0,77812.0,79705.0,77132.0,79843.0,79045.0,77815.0,77436.0,76385.0,76403.0,76999.0,77727.0,76626.0,95310.0,136067.0,121666.0,120278.0,77759.0,77631.0,77224.0,76769.0,76414.0,76259.0,76670.0,76847.0,77097.0,77251.0,77193.0,78456.0,78449.0,77346.0,76986.0,77171.0,77349.0,77422.0,77258.0,77803.0,77356.0,77668.0,78068.0,77659.0,78978.0,82310.0
8.0,83795.0,77475.0,77125.0,76758.0,76348.0,76847.0,76778.0,76838.0,76711.0,76159.0,75832.0,76037.0,77109.0,76641.0,77612.0,76520.0,76446.0,75719.0,75325.0,76349.0,76848.0,96127.0,77995.0,75639.0,76786.0,77851.0,77920.0,77854.0,77900.0,78256.0,78181.0,78413.0,78808.0,78520.0,77303.0,77127.0,77805.0,80157.0,77081.0,79259.0,79546.0,77607.0,78068.0,76297.0,76616.0,76792.0,77578.0,76477.0,94955.0,136032.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
11.0,96575.0,81714.0,82301.0,82092.0,81831.0,81796.0,81632.0,81210.0,80972.0,81009.0,80806.0,80089.0,80198.0,80244.0,80905.0,84387.0,80385.0,79645.0,79284.0,79534.0,79155.0,79768.0,81713.0,79947.0,80012.0,79820.0,79436.0,79515.0,79440.0,79796.0,79285.0,79190.0,79234.0,79293.0,79712.0,79188.0,79203.0,79368.0,78793.0,78988.0,79288.0,79184.0,78929.0,79022.0,79637.0,134783.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
13.0,97523.0,82106.0,80841.0,78256.0,79622.0,80089.0,80272.0,80211.0,80105.0,79114.0,78647.0,78658.0,78999.0,78760.0,78871.0,78840.0,78982.0,80330.0,77590.0,77421.0,78224.0,78902.0,78442.0,78599.0,79065.0,79534.0,79132.0,79070.0,79273.0,79371.0,80446.0,80446.0,80187.0,80139.0,80608.0,79667.0,106033.0,80307.0,77207.0,76612.0,77541.0,78708.0,79201.0,78614.0,78793.0,78413.0,78782.0,82549.0,124381.0,123479.0,115810.0,82288.0,82321.0,80677.0,79949.0,79123.0,79190.0,79208.0,79424.0,81713.0,78116.0,78327.0,78234.0,78802.0,79144.0,78476.0,78331.0,78638.0,78113.0,77996.0,77799.0,78019.0,77943.0,77916.0,78243.0,77854.0,77910.0,100000000.0
14.0,86961.0,79109.0,78601.0,78467.0,78753.0,78364.0,78799.0,78955.0,78423.0,78411.0,78767.0,78541.0,78715.0,78397.0,77907.0,78188.0,78409.0,78503.0,78107.0,77888.0,77852.0,78371.0,78468.0,77863.0,79188.0,79924.0,77925.0,78288.0,100741.0,81788.0,80455.0,79513.0,79509.0,79795.0,80672.0,80672.0,81026.0,81152.0,81833.0,83475.0,78221.0,78033.0,77939.0,78271.0,77849.0,78196.0,80321.0,82767.0,112783.0,83109.0,85103.0,111572.0,82308.0,80875.0,80093.0,80492.0,80508.0,80452.0,79186.0,78801.0,78746.0,80507.0,78667.0,78005.0,78180.0,78018.0,78074.0,78349.0,78199.0,78366.0,77966.0,78029.0,78260.0,78095.0,78256.0,78351.0,78869.0,78823.0
15.0,89407.0,79877.0,79182.0,78769.0,78825.0,79049.0,78701.0,78416.0,78398.0,78476.0,78468.0,78678.0,78462.0,78398.0,78186.0,77990.0,77937.0,78183.0,78684.0,78240.0,77917.0,77504.0,78020.0,78061.0,78268.0,81265.0,78526.0,77619.0,77397.0,77180.0,78348.0,78485.0,78281.0,78595.0,78478.0,78849.0,78737.0,79297.0,80088.0,79437.0,79090.0,80732.0,79927.0,79689.0,99577.0,83587.0,80979.0,78479.0,80665.0,87700.0,123995.0,113033.0,82122.0,80744.0,80195.0,80490.0,80305.0,80920.0,77965.0,78095.0,80480.0,80800.0,78178.0,77734.0,77440.0,77933.0,78256.0,78314.0,77743.0,78267.0,78129.0,77861.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
17.0,83381.0,78645.0,77364.0,76874.0,76643.0,76895.0,76753.0,76774.0,77116.0,77204.0,76886.0,76333.0,76481.0,76341.0,76168.0,77061.0,76817.0,75885.0,75767.0,76570.0,76613.0,75752.0,75680.0,75862.0,96450.0,80200.0,77463.0,77384.0,77229.0,77791.0,78092.0,78441.0,78774.0,78583.0,77608.0,77698.0,78240.0,79169.0,77171.0,78784.0,80998.0,77253.0,77477.0,79199.0,78095.0,77470.0,78580.0,78767.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
18.0,93878.0,81238.0,80241.0,80206.0,79680.0,79739.0,79303.0,79090.0,79442.0,79069.0,78542.0,78827.0,78740.0,78706.0,78714.0,78712.0,78833.0,78816.0,79139.0,80685.0,79236.0,78960.0,78604.0,79105.0,79190.0,79217.0,79211.0,79282.0,79376.0,80081.0,80665.0,80651.0,80437.0,80281.0,80613.0,79690.0,83899.0,82012.0,80885.0,82746.0,100900.0,82433.0,79212.0,78897.0,78956.0,78404.0,78171.0,82196.0,113345.0,123357.0,115131.0,82421.0,80290.0,80458.0,80208.0,79648.0,79287.0,79887.0,77300.0,82167.0,78373.0,78441.0,78517.0,78609.0,78622.0,79152.0,80752.0,78425.0,80226.0,78376.0,77844.0,78312.0,77998.0,78073.0,78246.0,78822.0,81037.0,100000000.0
