driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60
2,93163,149822,145154,86519,85388,84981,84401,84251,84352,84879,84410,83740,83740,83477,83384,83465,83550,83567,83434,83417,83204,83040,82810,82889,86323,112775,84798,84590,84949,84215,83834,83730,83941,84292,84109,83544,83564,83201,83348,82996,83249,83112,82706,82899,83287,87329,104764,83993,83836,83506,83242,83494,83416,83833,84164,84178,84280,84448,84676,83863
3,96326,149509,143535,88336,86192,85620,85190,84902,84696,84978,84600,84505,84147,84093,84174,84031,84136,84071,83980,83896,83503,83321,83374,84451,87274,103698,84412,84401,84627,84114,84202,84156,84413,84234,84269,83764,83621,83419,83855,83624,83320,83984,83417,83029,87334,103216,82916,83409,84209,84206,84524,84144,83785,83730,83754,83509,83682,83593,84046,83479
4,88721,148184,148446,85156,83439,83323,83030,83046,82997,82984,82675,82448,82351,82114,82158,82488,82649,82370,81873,81893,81599,85845,102803,82486,82534,82713,82799,83304,83368,83066,83132,83837,83332,83296,82947,83416,83035,82658,82741,83079,82452,82343,82361,86556,101785,82536,82555,83027,82345,82408,82655,82623,82572,82592,82520,82934,82801,82779,82950,84798
8,89226,148688,147903,85223,83427,83526,83272,83271,83234,83119,83024,82729,82720,82533,82461,82607,82527,82846,86688,104200,83228,83238,83637,83095,83311,83285,83239,83252,83230,82876,82991,82936,82854,83267,83000,83197,83076,83368,82512,82658,82613,86755,103265,83312,83542,83480,83613,82846,83096,83293,83370,83397,82909,82701,82841,83252,82717,82602,82799,82722
11,103716,152835,138720,88714,88112,88105,87997,87655,87881,87951,87427,87586,87457,87489,87038,86942,87278,87997,88030,88165,91287,108810,86520,87007,87551,88901,87160,89068,89886,87589,87495,88821,89241,88901,88146,89829,90285,88754,88966,91731,108122,86564,86708,86896,86888,88478,87105,87116,89593,88352,88770,87678,88604,87516,89506,87511,88941,inf,inf,inf
13,91822,148651,146388,85461,83815,83771,83556,83380,83124,83328,83265,83232,83029,82758,82757,82502,82570,82877,86798,105248,83406,83304,83824,83937,83391,83641,83478,83764,83418,83551,83275,83088,83170,83136,83394,83986,83786,82828,83106,83195,83689,82475,82371,82500,87299,101940,82874,83526,83873,83480,83094,82977,84707,83115,82559,82612,82629,82631,83400,84725
14,97804,150177,142272,88618,86944,85937,85610,85365,85254,85295,85267,85197,85375,85028,84557,84530,84512,84532,84078,84298,84297,84183,84032,84216,88291,105867,85465,84794,84637,84391,84610,84901,85316,85017,84953,84666,84519,85795,86545,84768,84297,83995,84514,84488,88602,104616,84809,85389,84121,84030,84152,87694,85105,84577,84398,84709,84730,84656,84889,inf
15,98938,151848,141102,87710,87438,86758,84799,85110,85359,84758,85247,85220,85305,85192,84576,84571,88423,102909,82744,83166,83328,83960,83673,84279,84563,83695,83659,83665,83710,84973,84071,83767,84142,84442,83938,83721,87651,102593,82747,84782,84858,84262,84244,84515,84695,84626,83856,83517,83836,85995,84476,84904,84434,84010,85329,85588,85400,85378,89002,inf
18,99598,151860,140720,87829,86628,85698,85596,85207,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
21,92245,149076,146222,85882,84138,83336,83552,83402,83111,83891,83527,82878,82831,82753,82575,82790,82645,82675,82370,82973,85773,104388,83295,83619,84407,83617,83653,83234,83069,83061,83010,83264,83645,83177,83325,83256,82951,82766,83743,83444,82395,82238,82274,82279,86500,102513,83136,83271,83061,82719,82674,82873,82881,82315,82938,83043,82721,82690,82753,83060
