driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67
2.0,87215.0,78124.0,77471.0,77282.0,77249.0,77297.0,77104.0,77873.0,77006.0,76607.0,76795.0,76763.0,76689.0,76839.0,79444.0,96039.0,77854.0,77899.0,77697.0,77549.0,77603.0,77827.0,77785.0,78011.0,78164.0,79560.0,78627.0,78543.0,77733.0,77607.0,77357.0,77628.0,77739.0,77988.0,79609.0,95074.0,80099.0,78337.0,78238.0,79019.0,80645.0,79330.0,78437.0,77436.0,78388.0,77548.0,77105.0,76982.0,77609.0,80688.0,94617.0,80430.0,80474.0,78380.0,78538.0,78022.0,77979.0,78147.0,78014.0,78282.0,79643.0,78747.0,80110.0,78392.0,78584.0,78809.0,100000000.0
4.0,83582.0,77285.0,76576.0,76458.0,76031.0,76957.0,76085.0,75849.0,75684.0,75895.0,75923.0,76299.0,76345.0,75709.0,75503.0,75798.0,76227.0,76011.0,75701.0,75483.0,75235.0,78380.0,97070.0,77448.0,77249.0,76665.0,76392.0,76455.0,76821.0,76734.0,77467.0,76760.0,76466.0,76281.0,76178.0,76509.0,76247.0,76527.0,76412.0,76075.0,76892.0,76902.0,76045.0,75761.0,75796.0,76023.0,79232.0,95640.0,77324.0,76834.0,77115.0,76992.0,76776.0,76790.0,77264.0,77267.0,78354.0,77416.0,77102.0,77052.0,77400.0,77493.0,77516.0,76999.0,77729.0,78090.0,82023.0
8.0,82282.0,76795.0,76346.0,75915.0,75923.0,75919.0,75638.0,75909.0,75984.0,75822.0,75637.0,75192.0,75439.0,75543.0,75530.0,75552.0,75544.0,75267.0,74996.0,75709.0,75829.0,76316.0,75949.0,74873.0,79489.0,96236.0,77017.0,76632.0,77235.0,76751.0,76465.0,76500.0,76792.0,76443.0,77912.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
11.0,99926.0,102753.0,78296.0,77692.0,77702.0,77460.0,77405.0,77087.0,77231.0,77162.0,76960.0,77540.0,77153.0,77217.0,77204.0,77107.0,76972.0,77368.0,77959.0,77232.0,78722.0,77772.0,77244.0,77097.0,77052.0,77080.0,76725.0,80374.0,98358.0,79210.0,79899.0,78580.0,78174.0,77875.0,77978.0,77869.0,77907.0,77992.0,77605.0,77905.0,77877.0,77687.0,77900.0,79428.0,78266.0,77985.0,78624.0,77568.0,77839.0,77260.0,77139.0,77459.0,79567.0,95252.0,78319.0,78908.0,79663.0,78251.0,78469.0,78159.0,77861.0,77521.0,77582.0,77451.0,77179.0,77908.0,100000000.0
13.0,89067.0,78811.0,77644.0,77628.0,77678.0,77436.0,77320.0,77290.0,77631.0,77101.0,77197.0,77060.0,76968.0,76975.0,76646.0,76562.0,76506.0,76472.0,79409.0,98950.0,78076.0,78384.0,77986.0,77863.0,77674.0,77829.0,78007.0,79657.0,77738.0,77470.0,77422.0,77325.0,77440.0,78000.0,77850.0,76858.0,76978.0,76993.0,77215.0,76846.0,76869.0,76820.0,76706.0,76490.0,76288.0,79107.0,96836.0,77450.0,77401.0,77442.0,77597.0,77649.0,77425.0,77665.0,77644.0,78095.0,77500.0,78203.0,77596.0,77522.0,78049.0,77348.0,77446.0,77197.0,77134.0,76764.0,78964.0
14.0,88464.0,78673.0,77608.0,77612.0,77405.0,77323.0,77525.0,77290.0,77422.0,76847.0,76888.0,76571.0,76474.0,76441.0,76343.0,76530.0,76357.0,76233.0,76868.0,79810.0,98324.0,78048.0,78039.0,78239.0,78095.0,78536.0,77697.0,78256.0,77506.0,77447.0,77542.0,77538.0,77745.0,77285.0,76930.0,76975.0,77361.0,77069.0,76918.0,76750.0,76710.0,76763.0,76703.0,76338.0,76397.0,76418.0,79454.0,95786.0,77862.0,78231.0,77947.0,80172.0,78696.0,78326.0,78197.0,77662.0,77552.0,77771.0,77486.0,77843.0,77619.0,77052.0,76774.0,76816.0,77031.0,78001.0,78708.0
15.0,105523.0,98780.0,77513.0,77680.0,77854.0,77573.0,77521.0,77171.0,77205.0,77178.0,76788.0,77254.0,77304.0,77204.0,77160.0,77167.0,76937.0,77024.0,78194.0,77322.0,78389.0,77751.0,77462.0,77045.0,76963.0,79916.0,96812.0,77849.0,77844.0,77462.0,77304.0,78858.0,79506.0,77378.0,77060.0,77370.0,77247.0,76993.0,76973.0,77141.0,77135.0,77579.0,77505.0,76834.0,76474.0,76638.0,79882.0,93313.0,77643.0,77546.0,78309.0,80471.0,81067.0,87543.0,94522.0,77506.0,77820.0,81509.0,98016.0,80477.0,78440.0,77398.0,76602.0,79060.0,100000000.0,100000000.0,100000000.0
17.0,135156.0,846799.0,79495.0,78756.0,78214.0,78992.0,78220.0,80823.0,78407.0,78188.0,78093.0,77883.0,77953.0,77683.0,77834.0,77606.0,77566.0,77907.0,77824.0,77500.0,77532.0,77461.0,76987.0,77224.0,79188.0,78096.0,77240.0,79879.0,95600.0,78264.0,78020.0,81746.0,78241.0,78011.0,77544.0,77316.0,79263.0,77798.0,77751.0,78425.0,77357.0,77224.0,77278.0,78041.0,76905.0,76803.0,79911.0,119548.0,77996.0,77674.0,77337.0,79997.0,78554.0,82864.0,80241.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
18.0,86052.0,77759.0,77336.0,77182.0,77188.0,77382.0,77321.0,76885.0,76446.0,76281.0,76312.0,76418.0,76344.0,76522.0,76208.0,76476.0,76459.0,76277.0,75843.0,79094.0,97264.0,77237.0,77274.0,77308.0,77166.0,77477.0,77861.0,77752.0,77214.0,77435.0,77232.0,77517.0,77355.0,77467.0,77226.0,77263.0,77378.0,77337.0,77381.0,77239.0,77502.0,77437.0,77444.0,76982.0,76462.0,78579.0,95400.0,77026.0,76915.0,77232.0,77119.0,77111.0,77702.0,77782.0,77012.0,76766.0,77011.0,76886.0,76751.0,76881.0,76877.0,77005.0,76636.0,76792.0,76577.0,76770.0,77196.0
21.0,90339.0,78653.0,78019.0,76994.0,77664.0,77588.0,77358.0,77352.0,77437.0,77029.0,77250.0,77310.0,77238.0,76780.0,76873.0,76928.0,76658.0,76641.0,76397.0,76088.0,75890.0,76070.0,79209.0,98334.0,78017.0,78045.0,77346.0,78495.0,77360.0,77265.0,77363.0,77262.0,77419.0,77097.0,77067.0,76865.0,77034.0,76737.0,76762.0,76427.0,76602.0,76824.0,76992.0,76842.0,76767.0,76807.0,76785.0,76468.0,76407.0,80884.0,97306.0,78019.0,77665.0,77798.0,77397.0,77731.0,77952.0,78361.0,78376.0,78281.0,78192.0,78346.0,77771.0,77568.0,78210.0,77106.0,79069.0
