driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55
1,111642,111728,108809,108552,108833,108425,108148,108213,131572,164620,160880,161387,158037,153128,107886,107384,107432,107333,107266,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3,120945,138242,109572,109340,109413,110220,110227,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4,115192,110532,109983,109521,109403,109023,108945,109276,129515,161265,160991,161483,157974,153298,109865,108502,108023,108259,108313,108374,107679,107625,107698,107726,107469,107589,107661,110021,126690,107525,106726,106699,106556,106637,106458,106278,106097,105881,126803,154730,155300,151851,106389,106056,105880,105197,104816,104631,104357,104270,104598,104418,104090,104727,104654
5,123203,112388,111208,111217,111033,110806,111120,110725,134741,145635,160067,162642,155536,150398,111873,110674,110077,109963,111479,110750,110759,110739,110802,109808,109766,109692,109386,111116,131536,108944,108459,108747,108671,108445,108455,108472,108418,114115,134344,112693,133066,151255,109883,109606,108041,107940,107712,107751,107548,107313,107115,107611,107414,108153,107121
8,113050,111218,109876,108985,108971,108964,108644,108481,128606,164519,161004,161251,158078,153133,108692,108102,107794,107734,107615,107694,107518,107319,107238,107238,107341,107199,107205,107095,107580,107621,109410,126245,106055,106247,106103,106123,105870,106210,126281,162390,156299,151484,105403,105433,105429,104963,105044,104823,104968,104458,104875,104685,104493,104559,105052
10,122891,115106,112422,113274,111957,111755,112765,112311,136221,138659,157825,162609,155656,149481,113299,111509,110967,111687,112132,111321,111175,111092,110537,110478,110512,110376,112341,128729,109151,108950,108768,108980,108754,108587,108376,108695,108994,118453,135741,116502,114709,151302,111037,108890,108316,108129,108585,108656,108364,107998,108175,107811,107880,107661,108589
13,117149,111216,110051,109797,109595,109218,109408,109211,131937,157416,160979,161500,157825,152377,110696,109591,108537,108583,108261,108472,108399,108454,108837,110542,108651,120720,126563,107355,107161,107226,107386,107287,107331,107457,107459,107426,107059,108095,135606,134445,142026,151612,107800,107031,106608,106626,106625,106042,106101,106125,105824,105825,105700,106122,106218
17,115889,110688,109854,109661,109486,109204,108867,109016,130614,160242,160757,161534,158223,152429,110488,108624,108101,108279,107942,108418,108659,109354,114147,108369,108429,108560,107374,107645,109797,109204,125435,106959,107330,107650,107940,107679,107745,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
18,116501,111024,109812,109569,109700,109221,109308,109020,131950,158377,160796,161476,157781,152400,110749,108918,108197,108106,108078,108189,108469,109394,108704,107788,107425,107247,107214,107598,108728,124777,106495,106784,106483,106592,106471,106313,106077,106144,131897,149164,155172,151982,106594,106271,105747,105530,105170,105190,105293,104533,104604,106594,104881,104924,105033
20,126774,113370,111468,110161,109522,109220,108812,108778,132712,149450,160733,162100,155975,157771,111620,110483,110802,108054,108001,107852,107966,107738,107323,107474,107519,107417,107053,107167,107978,107724,106755,107099,106690,106938,106956,106593,108120,124260,131756,135844,155182,151404,106659,106407,105545,105933,105135,105204,105272,104689,104548,104420,104328,103964,104112
