driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62
2,96379,86473,85973,85512,85517,85834,85867,85271,84276,84049,83559,83582,83821,83796,105009,85498,93401,84834,85482,86218,85046,84940,84449,84293,85759,83946,84513,84070,84760,85757,84085,84639,105069,84249,84492,85063,86631,88621,85028,84357,84394,83671,83445,83381,83544,85161,85816,104634,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4,91037,84474,83627,83330,83496,83258,83982,83261,82091,81810,82285,102698,84300,83157,83566,83392,83611,84786,83505,82995,83080,82478,82564,82766,82592,82501,82816,82573,83020,82660,100451,83017,82985,83658,83254,83078,83010,83294,83529,83092,82770,82589,82245,82266,81651,82430,83047,82287,99652,83510,82873,83247,83043,82899,82555,82120,81654,82212,81650,81856,81966,83723
8,95168,85915,85909,85433,85926,85784,85245,85073,84381,83644,83725,83649,84252,83666,83608,83522,83641,83626,85548,84311,83834,104969,84030,84884,84272,84674,83352,83952,83526,83942,83297,83529,82915,83101,83073,82759,82953,82613,82500,82636,82866,105680,83812,84468,84656,84941,85087,84863,84977,85419,84144,84123,84091,83615,83584,83134,85695,83283,82930,83314,82765,inf
11,88558,83739,83285,83539,83286,83163,82954,83572,82928,83724,104953,83341,83956,83552,83703,83729,83447,84707,86959,83950,83294,82953,82971,82695,82262,84109,83075,83479,104563,82565,83242,83172,83458,83938,84385,83260,83165,83112,83505,83060,83899,84980,102521,81929,82906,83679,85638,83992,84299,84279,84044,83977,84322,84661,84218,83663,inf,inf,inf,inf,inf,inf
13,93343,84915,83425,83431,83569,83809,83901,104370,83532,83568,83639,83905,83907,83824,83739,84132,84139,85112,84897,83947,84623,84528,83510,83949,103747,83430,83635,83481,83844,83570,83731,83657,83389,83344,83202,82895,83117,84300,107194,84766,84189,83811,84091,84017,84009,84150,84847,85868,84036,83907,84037,84086,83695,84578,84256,83411,84690,83600,83750,83923,83885,inf
14,105755,111267,84395,84988,83991,84298,84432,83878,83890,84405,84306,84549,84374,84569,84519,84616,85989,84931,86190,103820,83060,83413,83678,83808,83621,83436,84180,85855,84259,84186,83422,83531,84019,83693,83176,82976,82999,83482,83208,84310,105410,82951,83280,85025,84469,84560,84231,84013,84039,84107,85114,84083,86520,83968,83780,83826,83740,83326,83013,82959,83462,inf
15,90182,84139,83302,83234,83476,83492,83366,82862,82860,82345,81666,82781,102337,82101,82905,83091,84725,84311,83812,83422,83146,83134,82946,82683,82922,82367,82555,82634,82499,82442,83409,102882,82893,83692,83120,82885,83335,83311,83552,82970,82742,82334,82587,82346,82083,82952,100321,83781,83452,83293,83025,83530,83494,84008,83372,83719,83011,83823,83245,82802,83179,83001
17,90748,84425,83455,83381,83400,83408,84119,83620,104737,84432,83771,83923,84177,83790,83909,84173,84812,85353,86259,84208,86359,86106,84961,84909,105093,83776,85409,85851,85484,84994,85712,84824,85790,84013,85725,83900,83561,83743,83323,83823,84839,111247,85578,83428,84174,84511,86998,88327,84202,84743,84930,83913,83893,83427,82931,83049,83708,84226,84956,84493,83392,inf
18,83407,81981,81954,82081,81673,81929,82178,81464,82368,103451,81570,82358,82608,82716,82749,82706,82784,82950,82670,82546,82384,82381,82007,82526,82831,82882,102140,81201,82086,82311,82427,82459,82481,82784,83063,83242,82314,82712,82699,82166,82357,82405,83253,82401,101806,82682,82217,83212,83379,83369,83277,83510,83780,83952,83062,82830,83144,88540,83239,84197,82653,82868
21,94845,85580,85893,85690,85958,85630,85298,84997,83775,83607,83690,83920,83953,83043,83410,83851,83311,84376,86594,84525,104818,83619,84276,85720,85192,83983,83806,83810,83859,83545,83277,83378,83199,83433,82988,83409,83550,82856,83198,105168,84600,84134,83651,83660,84053,83859,83993,83902,83963,85460,84239,84086,83997,83666,83656,83439,86503,82678,83276,82654,82764,inf
