driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66
1,98042,92766,92342,92303,92492,92509,92341,92521,92428,92011,92322,92492,95648,112065,91033,91149,91158,91998,91279,91508,91819,91539,91755,91712,91960,92138,91796,92118,92165,92702,92711,95769,110278,89910,90201,90291,90500,91237,91738,91456,91020,91012,90413,91258,90469,89940,90024,89965,90795,91115,94037,108960,88401,88270,88725,88716,88774,88899,88640,89697,90249,90471,91148,91018,91379,92509
3,95658,92313,91755,92027,91908,91539,91585,91567,91403,92079,92200,92129,92201,92447,95740,110606,91846,91515,91489,91442,91324,91400,91562,92030,91793,91676,92529,91266,91278,91540,91740,91677,92190,92306,92385,91692,92083,91880,91585,91599,91612,91222,91793,91999,95985,109361,90095,90229,90062,90673,90474,90073,89109,89293,89500,89582,89743,90145,90062,90286,90426,89987,90321,90263,90318,90958
4.0,104024.0,96010.0,95251.0,95137.0,94966.0,95101.0,94789.0,94508.0,94528.0,94737.0,94885.0,94815.0,94577.0,94618.0,94687.0,94399.0,94231.0,94305.0,94259.0,94292.0,97703.0,113516.0,93387.0,94207.0,94154.0,98902.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
8,99950,93753,92958,93219,93084,93149,92929,92881,92754,92756,92750,92732,92978,92921,92504,92554,96178,111144,92540,92859,92427,92383,92435,92244,92420,92511,92536,92400,92314,92076,92325,92606,93282,93319,93278,92555,92469,92723,93203,93475,96471,108305,90910,90342,90361,91998,89931,90239,90807,91040,91374,90304,90533,90402,90841,90906,91230,91759,91966,92116,91747,91807,92133,92095,91639,91727
13,101963,95272,93305,93263,93557,92877,93098,92905,93091,93081,93082,93131,92989,96684,110774,91703,91714,92159,92031,92400,92318,92343,92260,92266,92433,92396,92435,92306,92932,92526,92581,96249,110503,91109,91517,91495,91334,91901,92253,91923,91816,92029,92493,91804,92817,92578,97032,109611,90640,90743,90374,90683,90740,90675,90905,91375,91055,90991,90617,90773,91034,91818,92027,92050,91110,91920
18.0,106194.0,97384.0,96010.0,95398.0,95527.0,95511.0,95318.0,95043.0,94943.0,94950.0,98323.0,115051.0,95094.0,94652.0,95309.0,94656.0,95031.0,94563.0,94867.0,94740.0,94741.0,94550.0,94169.0,94595.0,94477.0,97100.0,98203.0,112599.0,92357.0,92360.0,92655.0,94202.0,92995.0,93530.0,92977.0,92709.0,92933.0,93462.0,93004.0,93417.0,93078.0,92827.0,92792.0,96283.0,112524.0,91162.0,91352.0,91487.0,91600.0,91888.0,91429.0,91615.0,91382.0,91692.0,92308.0,93506.0,91924.0,92274.0,91963.0,91853.0,92007.0,92146.0,92072.0,92468.0,92752.0,100000000.0
20,96832,92821,92317,92515,92325,92718,92010,92331,92562,92498,92400,92512,92292,95928,109159,91736,91546,91897,91764,91618,91646,91509,91646,91634,91654,92070,91934,92371,92129,92268,92528,92397,92413,92366,93160,92497,92733,92760,92921,96714,109623,91185,91237,91613,91673,92494,91516,91545,91827,91655,91705,91738,92074,91735,91799,92199,92125,91641,91576,91075,90737,90923,91160,91375,91477,91059
154.0,102440.0,95224.0,94997.0,96815.0,94719.0,94772.0,93717.0,93855.0,94077.0,93783.0,94984.0,94489.0,94160.0,93650.0,97243.0,112203.0,92521.0,92904.0,93112.0,93800.0,92846.0,92987.0,92694.0,92955.0,93224.0,93606.0,93517.0,93134.0,93373.0,93354.0,93384.0,93574.0,93568.0,93254.0,93486.0,93518.0,93425.0,93604.0,93751.0,97464.0,123666.0,92070.0,92041.0,92084.0,93251.0,91945.0,92069.0,92358.0,92962.0,92716.0,93672.0,92896.0,92514.0,92547.0,92686.0,94183.0,92759.0,92684.0,92599.0,92649.0,92438.0,92710.0,92217.0,91986.0,92668.0,100000000.0
807.0,106537.0,96460.0,95766.0,95297.0,95155.0,95476.0,95026.0,95067.0,94633.0,98005.0,113834.0,93399.0,93244.0,93173.0,93668.0,93317.0,93682.0,94048.0,93910.0,95745.0,94198.0,93698.0,93883.0,94388.0,94391.0,97880.0,112610.0,92530.0,92833.0,92777.0,93228.0,93339.0,93180.0,93225.0,93239.0,93561.0,93082.0,93447.0,94422.0,93006.0,93637.0,93448.0,94321.0,93380.0,93309.0,94629.0,93519.0,93342.0,97071.0,110343.0,90888.0,91372.0,91495.0,92061.0,91718.0,91678.0,91763.0,91586.0,91914.0,92645.0,93374.0,93986.0,93708.0,93558.0,94081.0,100000000.0
813.0,103399.0,94913.0,95037.0,94346.0,93420.0,93591.0,94303.0,93129.0,93717.0,93755.0,93609.0,93709.0,93769.0,97970.0,118037.0,124449.0,92912.0,92958.0,93368.0,93145.0,93548.0,93419.0,93382.0,93569.0,94208.0,95464.0,93443.0,93252.0,93493.0,96610.0,93319.0,93169.0,93084.0,93395.0,93168.0,93130.0,93103.0,93461.0,93477.0,94464.0,93604.0,93397.0,97230.0,112872.0,99776.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
815.0,105766.0,96644.0,95617.0,95170.0,95369.0,95453.0,94940.0,94833.0,94869.0,95031.0,95110.0,95006.0,94451.0,94611.0,94490.0,94475.0,94853.0,95100.0,97991.0,111921.0,93174.0,93438.0,93569.0,93739.0,94311.0,94434.0,94117.0,94292.0,93791.0,94480.0,95764.0,94745.0,94512.0,96531.0,94678.0,97204.0,111622.0,91932.0,92358.0,92963.0,92051.0,92239.0,92238.0,92453.0,92605.0,92802.0,92819.0,94436.0,92792.0,94420.0,92713.0,92555.0,92617.0,92677.0,92802.0,93183.0,93056.0,93055.0,93156.0,93181.0,93124.0,93294.0,94517.0,93718.0,94074.0,100000000.0
