driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43
1,117421,116039,116017,115782,115735,115722,116180,116122,116440,117096,116828,117073,121494,128998,114938,114679,114861,114827,115241,115751,137948,128694,115330,114673,114315,114550,114880,114443,114844,120323,127623,113893,113188,112504,112766,112748,113774,113973,114125,114131,114222,114799,115397
3,121269,116746,116292,116420,116695,116149,116726,117298,116194,116292,116589,121136,128295,114948,114264,114664,114638,114921,115454,115736,137663,127776,115676,115326,115194,115240,115080,114798,114971,116163,120170,125678,112669,112416,112559,112511,113556,113960,113806,114122,114073,114134,114178
4,127088,119610,119196,119487,119864,119348,119326,124154,131646,118971,118674,118552,118642,118348,118149,118158,119021,118496,118330,127629,153685,115522,116338,116706,116844,116938,116470,116579,117029,117034,117986,121603,131203,113692,116343,117827,116038,116543,115741,116844,117403,116808,inf
8,126321,117466,117964,117963,117344,117401,117684,118616,118820,117035,122307,128635,116655,116313,115810,115987,116247,116852,116389,116881,149880,129220,114543,115426,114570,115205,115121,115194,115195,114517,115182,115063,114817,115273,115626,115527,116505,116048,115899,116592,116381,117934,117682
13,123254,118074,116968,117413,117948,118673,118346,119074,122936,130819,116237,116266,116424,116687,116100,116075,116404,117104,116430,116654,149690,129009,114093,114738,114935,115158,114866,115075,114907,114830,115460,115139,115488,115180,115361,115767,115821,116212,115852,117466,116480,118398,117859
18,127527,120810,120798,120759,120081,120603,120330,120960,121102,121761,125341,132927,119030,118854,118709,118382,119218,118913,119345,132974,148503,116901,117028,117671,117682,117565,118827,117454,120627,118014,118280,119674,118944,119076,123412,129569,115869,115533,116003,116242,118331,118154,inf
20,121920,117106,116388,116867,116676,116737,116652,117346,117179,117459,117478,118217,117926,122971,128622,116128,116184,116008,116115,116348,142634,124049,115397,115386,115808,115765,115856,115551,115316,115523,115432,115443,115497,115761,115884,115711,115520,115696,116407,115949,116116,183554,inf
154,122796,117588,116854,117237,117497,117478,118374,117878,122271,129016,116250,115666,116190,116167,115981,115513,115391,115818,116311,115769,143889,132318,114957,115076,115414,115731,115311,115628,115617,116019,115194,115043,115299,115004,115333,115311,114779,115397,116189,115915,116311,116254,116341
813,122290,215871,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
815,118864,116197,116477,116408,116767,116894,117398,122276,130750,116369,117143,116262,117055,116753,116389,116311,116761,117296,117409,123737,162366,116959,114809,115350,115141,115369,115114,115000,114796,115355,115696,115642,115364,115031,115519,115893,115622,116045,116168,116377,117620,118454,117178
817,119950,116263,116429,116453,116417,116785,121699,130249,116739,116463,117569,118162,117262,117035,117154,116331,116448,118080,116757,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
822,121470,118359,116793,117281,117420,117702,118358,124316,130342,116794,116498,116565,116373,116578,120787,124233,116692,116367,116158,117186,152626,129969,114646,115732,115420,114787,114907,114834,115710,114903,114899,115183,115079,114942,115110,114841,114978,115340,117543,115491,115316,116758,116141
826,124633,117907,116706,117520,117581,116529,117741,119742,123005,130916,116364,116288,116186,116762,116296,116257,116771,116546,116253,116933,146893,121920,116326,116743,116751,116307,120629,127039,113032,113835,114054,113834,113564,113780,113806,114216,114244,116229,115870,115550,113965,115574,114982
828,123837,118173,118550,118735,119243,118614,118758,119863,123476,133458,117650,118053,118188,117771,117515,117689,118454,117544,117270,117991,150955,116892,117984,117122,117387,117197,116948,121677,131235,114022,114847,114776,114483,114787,115130,115537,114984,115525,115453,115474,115523,116385,116466
829,130804,120954,121458,121053,120782,120803,121053,121678,121982,122041,122170,121908,121719,121858,122366,126491,133655,118941,119281,137421,132816,120889,119303,119448,119330,119298,119300,121395,119939,125474,134082,119217,118150,118447,118388,118374,118469,120340,120081,118834,119377,119019,inf
830,125805,117181,118205,116651,117450,117752,118086,119109,123130,133412,116835,115914,116645,116185,116045,115828,116629,116405,116411,116792,149328,129037,114839,115329,115220,115510,115344,115325,115712,115499,115621,120032,126277,113425,113389,113276,113460,113730,115023,114074,113876,114950,117717
831,127794,120918,117999,119867,119403,119377,119304,119982,121265,125666,132149,116888,116667,117074,117626,117837,117653,117463,117595,122902,146932,116970,117222,117045,117649,117227,121768,127596,113991,114570,114490,114634,114814,115379,115572,116075,115880,115421,115079,116245,116917,117525,118268
832,347531,138254,117446,117826,122090,132067,118435,117638,117546,117273,117051,117655,117040,117183,117172,117625,117053,117675,149555,118208,117510,119092,123779,129008,114680,114803,115302,115392,115637,116046,115343,120801,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
833,128761,121686,121276,120956,120513,120812,120782,121598,121383,121689,121841,122218,122011,121987,126602,133561,119413,119543,119670,136116,134070,119822,121377,119132,119367,119412,119336,119195,125604,133863,118904,118174,119226,118622,118291,118180,118224,118196,118260,118351,120608,118805,inf
