driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61
1,118378,114260,113404,113268,112589,112637,113131,113213,113116,113269,113049,112935,132183,166030,149815,161967,165956,160874,113340,112685,112951,112735,112701,112505,112804,115172,123580,124969,124627,125040,126266,139201,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3,119448,113927,114137,113538,113533,113337,113600,113392,113170,113499,113562,113471,135119,167491,150009,153426,166131,159939,113754,112731,113298,113117,113021,112807,113012,113359,113944,112215,112460,112638,112845,112353,112809,112669,112880,112982,135675,166542,157431,165988,112774,111760,111450,111419,111544,111492,111755,111549,111255,110934,111176,111153,111340,111792,111822,112215,112249,111925,112430,112885,112660
4,123081,114912,114610,114235,114313,114034,114114,114102,114355,121719,140073,114604,146304,149084,149524,148558,140232,156510,115453,114567,114400,114361,113839,114593,113840,113897,113325,113870,114105,113884,114113,114761,125896,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
8,116737,112845,112752,112698,112643,112477,112963,112702,112750,112720,112761,112924,132457,167644,148374,165834,167086,160961,112496,112469,112571,112362,112824,113199,112714,113266,112705,112128,111949,111474,111631,111475,112158,112404,112283,112900,133435,174682,161700,166600,112132,111738,111542,111251,111048,110999,110962,110341,110800,110568,110944,110857,111156,111068,111270,111163,111746,111847,111875,112598,114614
13,121049,114206,114009,114238,113860,113824,113986,113918,113745,113750,114022,121237,165371,155737,165574,150458,132198,157735,113666,114082,113885,114503,114338,114150,114318,114181,114220,122303,128568,166686,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
18,125863,115695,115055,114880,114788,115245,114812,114716,114654,114460,114287,114468,142090,203696,148755,148861,124745,152779,115520,116737,113905,114284,114384,114062,114021,114333,114504,115090,113405,113509,113559,113418,113925,114051,113340,115016,147811,168922,126276,153457,126524,139859,111167,111919,112090,111657,111677,112210,112397,113199,112582,139691,inf,inf,inf,inf,inf,inf,inf,inf,inf
20,112569,111623,112242,112092,112354,112664,112639,113132,112729,112636,112711,112969,128101,168222,149147,172733,167639,161692,112265,112463,112414,112734,112592,112967,112943,113193,110520,110904,110799,110916,110641,110875,111524,111587,111793,111899,128617,187834,162180,166351,111473,111510,111063,110787,110733,110352,110186,110304,110320,110271,110075,110319,110069,110267,110393,110989,110939,111053,111273,111278,112559
154,124072,115008,114865,114475,114304,114362,114175,115733,121706,135827,113951,113986,146529,149009,148540,149261,139849,157900,115148,114559,114274,114036,113803,113794,114186,120860,133227,112353,112532,113307,112893,112831,113834,113742,114687,113807,146792,148613,125914,163373,116790,112689,112985,112777,113416,115044,116147,114713,113858,114363,114536,114122,114634,115471,115582,115999,116300,117028,129352,inf,inf
807,121474,114626,114115,114160,114103,113868,114028,114406,114124,114100,121166,133258,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
813,126307,115873,114920,114906,115339,115244,114807,115253,114163,121831,133298,113983,146536,148753,149568,148553,140358,158635,112843,113965,114278,114386,114170,114289,114237,114170,120806,132186,112308,113516,112778,113139,113381,113397,114105,114092,146965,147783,124473,162982,118708,116719,114856,113630,113382,113698,114383,114284,114112,114505,114548,114755,115155,126560,131773,110987,110175,110361,111155,111069,112445
