driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71
1,81209,77048,76361,76347,76263,76309,76648,76565,76630,76724,76721,76504,76558,81665,93309,76149,76580,76237,76734,76488,76728,76593,76582,76471,77209,76881,76972,76826,76934,76713,76787,76643,77051,81551,92505,75350,75895,76284,75581,75703,76012,75937,76348,76070,75304,75645,75974,75821,80261,90641,74832,75054,75465,76009,75102,75307,74913,75380,75525,75376,75527,75733,75373,75529,76043,76278,75997,76540,76505,76559,77478
3,80546,76717,76498,76211,76080,76226,76516,76295,76712,76817,76588,76525,81802,93962,76413,76025,76619,76692,76484,76616,76600,76709,76639,76678,76869,76420,76578,76426,76409,76381,76442,76612,82486,92819,75669,75693,75858,75875,75772,76153,76226,76202,75920,75655,76317,75870,75509,81073,91394,75149,75136,75518,75123,75478,75152,75444,74957,75228,75474,75187,75271,75041,75270,75643,75538,75471,75750,75488,76079,75602,76493
4,89530,79943,78841,78664,78463,78435,78512,78703,78666,78454,78908,78648,83505,94493,78337,78444,78678,78562,78955,78909,78787,78612,78835,78536,78727,78594,78577,78850,80214,79522,78951,85414,93437,78497,77293,77648,78705,77366,77742,77179,77104,77317,77464,77327,77500,77223,77170,77421,77744,77956,77776,83827,94227,76519,76664,76713,76789,77055,76820,77371,76897,76985,77147,76994,77465,78071,79072,78135,76590,78402,inf
8,82683,77488,77073,76751,76885,76751,77252,76950,77251,77376,77236,82395,93770,76896,76816,77115,77411,77185,77421,77470,77132,77358,77123,77265,77223,77326,77409,77410,77131,76978,77325,77193,77623,77523,77349,77716,77288,77648,78109,77707,77246,77151,77355,77450,77508,83141,95635,75416,75942,75986,76291,76423,76384,76294,76522,76075,76008,76293,76695,76068,76453,76264,76398,76012,76580,76656,76450,76684,76474,77344,77424
13,85884,78607,78195,77977,77966,77957,77877,77879,77835,82419,94723,77350,77665,77737,77765,77972,77805,78130,78350,78153,78394,78543,78152,78076,78163,78201,78172,78141,78007,77831,78125,78410,78438,78997,78876,78665,79073,83925,94348,76804,77021,77084,77332,76933,77552,78150,77730,76917,76721,77078,76922,76845,76954,76689,81728,93231,75743,75806,75880,76077,75981,75814,76239,76093,76279,76132,76331,76283,76150,76352,inf
18,88374,80018,78526,78413,78776,78332,78672,78557,78609,78635,78447,82869,94409,78009,78534,78630,78792,78762,78625,78758,79162,78736,79781,78686,78605,78708,78460,78711,78683,78663,83482,95618,77046,77456,78770,78539,77732,78045,77790,77925,77699,77638,77471,77641,77686,77510,77472,77624,77957,77720,81990,93336,76321,76816,76505,76857,76910,77106,76848,76789,77160,76994,76830,77001,77317,77237,77351,77610,77195,77634,inf
20,82124,77314,76803,76616,76639,76604,76720,76615,76597,76952,76741,76906,82215,93874,76442,76384,76799,77373,76737,76814,76646,76674,76792,76627,76677,76862,77276,77104,76999,76902,76919,82146,92821,75650,75614,75789,76246,75879,76470,76052,75766,75827,75774,76031,76124,76235,81737,93300,75294,76155,75769,75999,75567,75539,75539,75628,75046,75264,75328,75218,75284,75068,75400,75164,75398,75589,75524,76115,75738,76036,75464
154,87511,79162,78581,78454,77456,77975,77858,77956,78056,83307,95482,77885,77798,77728,77854,77958,78023,78180,78201,78431,78222,78190,78168,78136,78367,78429,78731,78426,78550,78507,78633,79325,78977,78632,83271,94765,76607,77313,77110,77193,77695,78245,78452,77281,77368,76935,77373,77612,77242,77637,77588,76979,79063,82519,94078,75797,75739,76310,76785,75879,76146,76077,76173,76170,76146,76090,76303,76087,76122,76214,inf
807,85143,78303,77901,77745,77689,77605,77756,77722,82725,94466,77132,77257,77450,77493,77682,77778,78393,77858,77684,77800,78074,78083,78077,78381,77940,78355,78480,78341,78296,78009,78248,78496,78655,78873,83922,95029,78079,78234,77399,77778,77716,77405,77230,77091,77013,77424,76856,77042,77149,77464,76986,77052,76840,77020,76892,76940,76977,77846,77077,77920,77887,76962,76959,77001,77125,76774,77291,77130,78264,77755,inf
813,88981,79780,78959,79141,79593,78469,78394,78705,78732,78556,78815,78799,78674,78994,78495,78247,78872,79212,78718,78690,78786,80873,78793,79060,84116,94430,76871,77055,78327,77341,78204,78687,77743,77419,77256,79125,78486,77114,77484,77984,78011,78670,77993,83924,100515,76447,76355,76640,78381,76978,76796,77080,77511,77198,78708,76702,76882,77827,77016,76680,76660,76416,76354,78368,77282,77697,77961,77340,76892,76775,inf
