driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70
2,88881,77334,77138,76901,77509,77290,77242,76933,76829,77541,76759,76706,76984,77028,76514,76467,76189,75890,76634,142743,79485,76332,76324,76869,76958,76826,77930,77235,77580,78743,76562,76692,76951,76796,76374,76353,76411,76243,76481,99061,82778,78730,77584,77474,76970,77327,77946,77277,79230,77861,77195,78317,77180,76705,76803,76988,78231,78450,76546,76644,76944,76378,78494,76733,76539,77980,76486,77048,inf,inf
4,81897,75551,75359,75216,75902,75203,75262,75596,75523,75427,75217,75404,75083,74731,74616,74806,101889,76107,74562,75010,75065,75775,75607,75356,75470,75254,75155,76213,75448,74955,75105,75166,75934,75201,75162,74868,74740,74790,74656,74292,74179,74615,74323,74183,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
8,83889,75731,75554,75575,75329,75857,77165,76278,75695,75785,75725,94340,76618,74977,75671,76119,76400,76449,84670,76955,76098,76344,76157,75699,75396,75680,75085,75273,75091,93821,76152,74769,75482,75570,76013,75735,75521,75623,75627,75504,74895,74915,75079,74752,96797,77371,75773,75896,75942,76681,76622,76447,76092,75916,76377,75949,75642,75586,75340,110635,77894,75914,75891,75939,75825,76048,76335,76479,76711,inf
10,89284,78055,79007,78494,78721,77818,78903,78122,77314,77435,77302,77032,76869,76547,76790,76389,98937,78655,76633,76545,76975,77101,77239,77449,77525,78480,79551,77606,77359,79609,77370,77877,77601,78611,77543,78254,77218,76700,76770,76560,76447,76300,97711,78775,76973,76729,76839,77108,80410,77991,77572,77596,78284,77557,78154,77710,78262,78464,77826,77575,77649,78845,78516,79124,87700,79326,78277,78249,inf,inf
11,92757,79764,77334,77001,77569,77750,78689,79116,79464,77798,77083,77493,76584,76426,75888,75908,75650,75710,75586,75945,76563,77142,96075,76618,75076,76586,75997,76375,76175,75897,76306,75822,75945,75715,76214,76411,76848,76317,75744,76218,77375,101943,77534,76340,76334,77455,76410,76377,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,94493,80778,78273,76663,76759,76806,77600,78299,78286,76588,76857,76865,76785,76691,76793,76642,76153,75983,75642,76078,76604,77124,76556,75709,75560,116325,80448,98759,79659,78635,77337,77035,76753,76785,76728,76729,76721,77007,78878,76826,76632,76623,76543,77094,76457,76658,81688,76438,78686,76601,76978,78249,76418,76714,96873,78755,76156,75705,76863,78307,77105,75779,inf,inf,inf,inf,inf,inf,inf,inf
14,92991,79453,76538,77064,76792,76206,76322,76244,76422,76941,96175,76618,76658,76031,76681,77337,77799,76777,76582,76746,77160,76404,76803,76899,77205,76643,76929,76212,75981,76097,76007,95064,78200,77033,75831,76273,76504,77176,76179,76131,76423,76578,77801,78651,75950,76897,76157,75922,75609,76172,75979,76048,94761,76702,75478,75909,76338,76465,75819,75986,75751,75749,75733,76453,75600,75769,75628,75690,76511,inf
17,175334,81587,77488,78503,76926,76739,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
18,81293,75516,75282,75261,75308,75411,75484,75642,75550,75386,75222,75218,92756,75500,75246,74741,74621,74750,74794,74859,74963,74829,74665,74627,74662,74687,74787,76603,74808,74578,94556,75241,74574,75729,76657,75827,76008,75306,75425,75355,75055,75209,75259,75495,75413,74834,74966,74909,93347,78573,74591,74860,74998,74974,75094,75218,75468,75208,76008,75212,75389,75755,74586,74656,74447,75609,74562,74246,74737,74807
21,89452,78138,77330,76791,76921,77164,77092,77532,77132,76970,76938,77387,76941,76600,76700,76709,76407,76298,76241,76502,76526,75753,75749,75434,95684,78163,76059,76191,75630,76170,76696,76234,76812,76951,76931,77087,76320,76247,75982,75882,76158,75568,75556,75503,75494,75309,75078,75257,93578,77108,75390,75701,75618,75492,76131,76991,75692,75874,75923,75654,75938,75426,75558,76942,77820,78269,77157,77487,79534,inf
22,84513,75740,75368,75559,75328,75700,76394,74624,74965,75577,75087,75287,75071,74829,74036,74322,74412,94255,76734,75513,75420,75656,75639,75025,75349,75253,75332,75483,75058,74908,75306,74736,74984,75034,74657,74305,74357,74986,74710,74651,75597,74532,74489,95366,76746,75524,78307,75686,75358,75693,77068,75721,75392,75447,74913,74885,75062,74672,74548,74923,75248,75384,75397,74461,74273,74376,74895,73622,73934,74229
