driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57
1,99371,96947,96867,96502,96514,96772,97679,97121,97245,97337,96564,97096,115500,161622,145183,141520,95802,95306,94844,95275,95209,95220,95704,95600,95605,96313,94948,94988,95191,94775,95392,94820,95292,95713,95143,95288,95405,95286,95524,95559,98084,120345,92962,92887,92922,92798,93592,93532,93037,93348,93332,93375,93859,93604,94632,94763,94920
4.0,106926.0,99542.0,98661.0,98649.0,98911.0,98579.0,98976.0,99038.0,98362.0,98838.0,98700.0,98771.0,119793.0,149493.0,135408.0,134874.0,99439.0,98770.0,98327.0,98246.0,97662.0,97332.0,98104.0,100378.0,98992.0,97847.0,97329.0,97638.0,97921.0,97793.0,97266.0,97569.0,97186.0,97576.0,97548.0,100935.0,116444.0,95839.0,95917.0,96746.0,96252.0,96071.0,96042.0,95966.0,95829.0,95626.0,95595.0,95703.0,96041.0,95716.0,96091.0,97329.0,97845.0,123409.0,100000000.0,100000000.0,100000000.0
8,102370,97628,96833,97600,97166,97192,97382,96623,96829,97106,96893,99139,139251,134452,146281,138000,97139,95802,95811,96081,96197,96158,96615,95634,95744,95853,95843,96002,96016,95674,96187,96175,96318,96021,96516,96595,98826,115759,93767,94005,94529,93874,94188,93734,94161,94179,94380,94275,93755,94569,93827,93983,94425,93722,93720,93991,95054
13,101849,97399,97136,97059,97321,97488,97582,98565,97594,98111,97534,97790,112914,156376,144805,140810,96840,95865,95848,96154,96099,96276,96706,97780,96382,96809,96529,96765,98494,96788,96816,96781,96823,97133,96909,96813,99181,114044,94256,94549,94465,94863,94892,94972,95095,95412,95276,95433,95722,95955,95607,95736,96008,95445,95537,95200,95109
20,98586,96933,96798,96584,96498,97021,97482,96877,97055,100305,114814,94597,110925,145317,144416,144245,95265,94802,94503,94751,94698,94801,95157,95188,94956,95398,95332,95343,95349,95392,95565,95545,98588,113622,94004,93826,94291,94293,94590,94505,94631,94533,94365,94362,94070,94096,94266,94500,94876,94177,93984,94085,95159,94528,94082,94395,95048
154,103859,98061,98024,98150,97888,97893,98089,97945,98064,98777,98062,100887,141670,131725,137982,135689,97251,97845,97529,97216,96884,97215,97241,97177,97104,97271,97224,97027,97185,97722,99843,116024,94948,96125,95507,95672,96004,95841,95926,95925,95742,95436,95619,95395,95905,95725,95869,95995,96112,96235,96023,96239,96169,96380,96005,96495,96424
807,103251,97820,97581,97535,98247,97918,97749,98221,98152,98579,97879,97864,114882,151865,146148,137962,97841,97887,97397,97044,96945,97033,97033,97117,97232,97283,96957,97269,97263,97382,97245,97385,97522,97283,97463,100307,117825,95920,96714,95372,96084,95459,95547,95770,95520,95626,95599,95587,95482,95766,95841,96044,95654,96010,95925,95597,95679
815,106144,98958,98421,98301,98209,98101,98025,97887,98035,98459,98235,98625,118661,147457,142168,136756,96916,96492,96266,96398,96621,96529,96706,96757,96562,97091,96856,96880,97067,96951,96945,97397,97095,96832,96995,99672,115132,94659,94609,94829,95057,94940,95132,95381,95220,95602,95580,96040,95860,95691,95722,95723,95626,95571,95469,96193,96474
817,101086,97132,96843,96661,96907,96732,96797,96886,97259,97538,97011,96690,114351,159701,145720,142427,99064,96400,96053,96268,96170,95935,96486,96586,96657,96712,96365,96611,96718,95803,96121,96220,96185,96275,96175,95875,96860,96136,98335,115310,93748,93495,93993,94066,93961,94199,94444,94537,94976,94777,94505,95007,94531,94895,95087,95563,95875
822,98125,96762,96773,96463,96525,97156,97291,97074,97012,97617,97348,97216,109556,166092,144551,143480,95949,95092,95009,94942,95125,94991,95813,95725,95775,96625,97287,96146,96041,98365,113826,94714,94087,94391,94736,95194,94399,94875,94973,94647,94526,94681,94374,94839,94821,94643,96627,95456,94708,95122,94909,95025,95987,94875,95155,95096,95159
825.0,107312.0,99769.0,98811.0,98825.0,98755.0,98718.0,98803.0,99244.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
826.0,108345.0,100108.0,98904.0,98657.0,99044.0,98865.0,99010.0,98822.0,99189.0,98906.0,99069.0,97906.0,120398.0,148511.0,135481.0,133210.0,99354.0,98931.0,98800.0,98852.0,97271.0,97277.0,97563.0,98720.0,98979.0,97390.0,97516.0,97840.0,97820.0,97814.0,96999.0,97530.0,96982.0,96741.0,96830.0,97149.0,97566.0,97828.0,97008.0,98102.0,99531.0,117092.0,96108.0,95441.0,94985.0,95185.0,95155.0,95504.0,96256.0,95781.0,95845.0,98257.0,96648.0,96207.0,98234.0,97867.0,100000000.0
828.0,108491.0,100449.0,99014.0,98861.0,98893.0,99061.0,98999.0,98824.0,99305.0,99779.0,98885.0,99097.0,119003.0,132028.0,144587.0,136855.0,100321.0,98718.0,99493.0,100746.0,98590.0,99222.0,98441.0,98434.0,98682.0,99135.0,98349.0,98277.0,98049.0,98263.0,98338.0,98875.0,101533.0,116944.0,95086.0,95340.0,95610.0,95617.0,95472.0,95876.0,95823.0,95871.0,96330.0,97503.0,96064.0,96146.0,96320.0,96471.0,97893.0,96760.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
830.0,100415.0,96716.0,96923.0,96681.0,96716.0,96809.0,97156.0,96929.0,97350.0,97506.0,99289.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
832.0,105175.0,98413.0,98131.0,98323.0,98302.0,98085.0,98027.0,98026.0,98116.0,98591.0,98153.0,101198.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
835.0,105619.0,98863.0,98274.0,98474.0,99989.0,98700.0,98911.0,99010.0,98908.0,98953.0,98724.0,98720.0,120022.0,150991.0,135869.0,133828.0,99425.0,98974.0,98678.0,98343.0,97717.0,97151.0,97983.0,98336.0,98352.0,97902.0,97712.0,97766.0,97898.0,100241.0,97738.0,97818.0,97649.0,97615.0,98147.0,97756.0,100746.0,120020.0,96137.0,96194.0,95972.0,95753.0,95552.0,95813.0,95776.0,96015.0,96083.0,96817.0,97244.0,96418.0,96072.0,97844.0,96457.0,97353.0,96554.0,96760.0,100000000.0
836.0,107648.0,99894.0,99041.0,98815.0,99092.0,98626.0,98765.0,99018.0,99016.0,99165.0,102006.0,120684.0,127421.0,132545.0,120892.0,132141.0,99455.0,99336.0,98687.0,99548.0,98573.0,97748.0,97890.0,97631.0,98272.0,98267.0,97888.0,97751.0,97628.0,98103.0,97618.0,97528.0,97623.0,98620.0,97646.0,97850.0,97638.0,97165.0,97465.0,99263.0,97197.0,97155.0,96786.0,96806.0,96911.0,96873.0,96911.0,96886.0,96847.0,96786.0,96952.0,97854.0,97750.0,96982.0,98369.0,97775.0,100000000.0
839,104591,98275,98148,98299,98104,98066,98146,98107,98037,98615,101026,117012,122990,131050,137346,135229,98447,97122,97550,97328,96881,97420,97056,97184,97140,97602,97354,97188,97435,97538,97464,97137,97248,97363,97170,97550,100082,116119,95179,96419,95743,95602,95559,95306,95578,95940,95874,95837,95886,95669,95689,96330,95792,95810,96070,95876,108507
840.0,106620.0,99169.0,98647.0,98870.0,98507.0,98633.0,99174.0,101826.0,117028.0,96303.0,96818.0,97272.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
