driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51
1,96075,120670,149417,146621,93079,93364,93197,93612,93422,93389,93124,92895,92504,93433,93228,93174,92877,92360,92456,92286,92304,92190,92437,93098,92410,110994,91529,92255,91858,92745,91771,92644,92857,92717,92865,92578,92038,91421,91743,92214,91779,92162,92340,92637,92640,91873,91096,90621,92749,96470,97212
4,109384,130052,144772,135317,97936,97351,96595,96454,96111,96021,97347,95894,95878,95811,95933,95610,95558,95813,96063,95878,113199,94263,94731,94528,94458,94484,94878,95005,95047,94469,96472,108564,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
836,110865,125322,146338,137684,99563,97442,97139,96590,96581,97463,96742,95977,96318,96168,95683,95384,95810,95633,95579,95682,96294,95968,96129,95820,95819,95509,98705,96396,98283,97583,96748,119570,95630,93342,93769,93915,94039,94009,94056,94169,93733,94070,94056,94824,94468,94552,95409,95538,97298,95442,inf
838,103518,127378,145273,140988,97893,96941,95939,95857,95698,95657,95506,95446,95324,95173,95304,95355,95285,95271,95079,95070,95113,95958,95610,94970,95164,94824,115972,93842,93917,93684,93784,93896,94002,93851,93827,93674,93926,93864,93837,93727,95362,93962,93464,93534,93724,93723,95648,94265,93618,93962,inf
807,101351,123141,146002,145182,95643,95308,96117,95574,95103,94763,94883,94782,94802,94951,94565,94498,94772,94794,94843,94705,95275,95715,95218,94239,116492,93632,93852,93672,93458,93399,93441,93470,93094,93111,93366,92919,92818,92645,92593,92836,92812,92635,92577,93125,92627,92870,92814,92952,93078,94496,94529
8,97751,120687,149012,146030,93793,93921,93767,93468,93493,93299,93427,93385,93430,93395,93295,92992,93227,93273,93281,93516,93430,93467,93399,93511,112468,91903,92369,92234,93055,92646,92197,92455,92525,92056,92155,92141,92020,91946,92040,92229,92281,91949,91893,91517,91935,91656,91841,92118,101706,114591,93825
839,102018,124939,144311,144769,97673,96235,95229,95973,95580,95437,95461,95123,95228,95137,95228,95061,95515,95294,95527,94564,114477,94201,94434,94488,94704,94143,94416,94656,94495,94274,94308,94285,94252,95015,94543,94619,94185,93985,93521,93645,93608,93693,93582,93724,94892,94072,93615,93738,93834,94214,inf
840,105218,128135,145849,138963,98854,97171,96532,96374,96219,96094,95953,95860,96677,95789,96040,95506,95698,95886,95373,95480,95772,94573,116126,94705,94504,94682,94598,94508,94561,94282,93999,94275,94066,94054,94007,95265,94140,94522,95861,96129,94618,94340,113308,93400,98295,97326,96518,95282,96581,95408,inf
13,104231,127934,145122,140293,98354,97057,96034,95772,95689,95792,95936,95786,95476,95360,95552,95340,95575,96489,95923,95490,95157,94749,95389,95149,94160,112396,93757,93863,93771,93681,93883,93641,93775,93813,93798,93582,93921,93884,93562,93862,93675,93709,93661,95442,93724,93879,93670,93742,94024,94205,inf
826,117804,163389,128067,111875,99354,99738,96257,96933,95977,109514,95411,95630,95330,95131,95743,95702,95958,95586,95654,95770,95819,95783,96766,96978,96808,96598,95615,116874,93594,95712,93714,94173,95136,94108,95892,93773,93925,93636,93849,94121,93950,93748,93882,93900,94098,93866,94448,94025,95135,94441,inf
