driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73
2.0,115311.0,130432.0,120758.0,122855.0,106979.0,74013.0,74331.0,73959.0,73834.0,74040.0,95929.0,126081.0,155827.0,146670.0,146986.0,134905.0,128288.0,119921.0,109966.0,73550.0,73611.0,73250.0,73862.0,74150.0,74415.0,75321.0,74335.0,74150.0,74467.0,74609.0,74207.0,73696.0,73819.0,73409.0,73104.0,73176.0,73095.0,97419.0,78288.0,73718.0,74791.0,75162.0,82216.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
4.0,100030.0,130178.0,125336.0,121699.0,114287.0,72780.0,71551.0,71236.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
8.0,103558.0,130787.0,123725.0,121552.0,112464.0,73756.0,71945.0,72012.0,72415.0,71780.0,97366.0,128318.0,155886.0,148108.0,149378.0,133612.0,128856.0,121109.0,109202.0,72986.0,72329.0,72217.0,72603.0,72508.0,72387.0,72567.0,72367.0,72244.0,92671.0,77879.0,73731.0,73330.0,73786.0,101843.0,77457.0,72921.0,72596.0,72275.0,72560.0,73572.0,72843.0,72711.0,72449.0,72140.0,71809.0,71948.0,71955.0,72319.0,71899.0,71815.0,72981.0,71917.0,71924.0,71824.0,71837.0,71734.0,72215.0,72423.0,71248.0,96450.0,76486.0,72287.0,72080.0,72292.0,72397.0,72414.0,72382.0,73594.0,74460.0,72945.0,72900.0,74374.0,100000000.0
11.0,101852.0,130917.0,123863.0,121624.0,113740.0,72846.0,71747.0,71273.0,71798.0,71195.0,89915.0,130063.0,157529.0,148921.0,149011.0,132917.0,132674.0,121479.0,111330.0,71516.0,71061.0,71096.0,71381.0,71668.0,91752.0,77032.0,74371.0,73966.0,73735.0,71095.0,71203.0,71202.0,71304.0,71269.0,71282.0,71224.0,71084.0,71649.0,71847.0,72386.0,70842.0,70784.0,70926.0,70773.0,92801.0,75069.0,70727.0,70939.0,70979.0,71342.0,71386.0,71650.0,71838.0,71906.0,71775.0,71890.0,71979.0,71746.0,71803.0,71801.0,72861.0,75358.0,72361.0,72068.0,72020.0,71834.0,71654.0,71739.0,72206.0,71770.0,71579.0,71251.0,74476.0
43.0,168379.0,104596.0,123332.0,98321.0,105038.0,74274.0,91110.0,72872.0,73870.0,81130.0,92732.0,108483.0,157591.0,146896.0,146941.0,132859.0,126595.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
44.0,108308.0,132011.0,121282.0,123755.0,108445.0,73377.0,72490.0,72074.0,73087.0,74966.0,98327.0,127396.0,157077.0,145975.0,148456.0,134101.0,127952.0,120166.0,111310.0,72833.0,72783.0,72883.0,72860.0,72716.0,72667.0,73156.0,74951.0,72901.0,72449.0,72332.0,73361.0,72455.0,72320.0,73107.0,72076.0,72017.0,71929.0,72687.0,71888.0,73317.0,71924.0,71685.0,71936.0,71588.0,72130.0,70933.0,92191.0,75510.0,71795.0,71946.0,72162.0,72305.0,72558.0,72468.0,72262.0,72812.0,72348.0,72604.0,73091.0,72314.0,73567.0,72707.0,72606.0,72491.0,73974.0,72631.0,72420.0,72244.0,72219.0,72023.0,72133.0,71744.0,71884.0
14.0,111000.0,131783.0,121746.0,122373.0,107466.0,73602.0,72807.0,72501.0,73131.0,75464.0,108166.0,121856.0,157168.0,145774.0,147176.0,135400.0,125961.0,120611.0,107996.0,73720.0,73716.0,73607.0,73686.0,73789.0,73980.0,75645.0,74905.0,74245.0,74413.0,74107.0,74452.0,74289.0,73667.0,73714.0,73141.0,72912.0,72925.0,73264.0,73091.0,72584.0,72279.0,72242.0,72214.0,72155.0,72291.0,72290.0,93714.0,77586.0,73596.0,74055.0,75724.0,74293.0,78693.0,97843.0,76973.0,72312.0,72790.0,73672.0,72878.0,73881.0,73687.0,73499.0,73394.0,73301.0,73570.0,73404.0,73401.0,73695.0,73634.0,73148.0,73214.0,73271.0,100000000.0
15.0,113646.0,131075.0,120690.0,122695.0,106838.0,73828.0,72769.0,72740.0,73247.0,74360.0,95735.0,126402.0,156925.0,146617.0,148255.0,134424.0,127985.0,120308.0,110030.0,74163.0,72966.0,72652.0,72499.0,72507.0,72423.0,72600.0,72537.0,72303.0,72648.0,72255.0,72309.0,72134.0,72247.0,72198.0,72075.0,71993.0,71786.0,71572.0,71450.0,71399.0,71499.0,73024.0,71380.0,71453.0,71187.0,91087.0,75840.0,71605.0,71619.0,71579.0,71944.0,72135.0,72109.0,72176.0,71993.0,72216.0,72218.0,72217.0,72119.0,71806.0,75032.0,83348.0,72511.0,72349.0,72206.0,72698.0,72051.0,72530.0,73651.0,72470.0,72612.0,72309.0,72200.0
47.0,116563.0,129927.0,122096.0,121658.0,107437.0,76090.0,74938.0,74224.0,74649.0,100800.0,105712.0,92362.0,157175.0,146236.0,147416.0,132445.0,126140.0,119300.0,109683.0,75338.0,75009.0,74360.0,76235.0,74878.0,75410.0,74963.0,75067.0,75048.0,75133.0,75020.0,74803.0,74869.0,75015.0,74780.0,74971.0,75424.0,98665.0,82474.0,74097.0,74646.0,74613.0,74814.0,74775.0,75824.0,78373.0,74933.0,76298.0,75193.0,74870.0,74778.0,74882.0,75784.0,75863.0,76773.0,99666.0,80118.0,75714.0,74289.0,78419.0,75946.0,76169.0,78064.0,75989.0,75673.0,75810.0,76450.0,76172.0,77390.0,75210.0,74942.0,100000000.0,100000000.0,100000000.0
17.0,109405.0,132081.0,121304.0,123182.0,108187.0,74273.0,72728.0,72515.0,73263.0,74748.0,84154.0,129487.0,158249.0,147657.0,148224.0,132971.0,145485.0,118174.0,108877.0,72755.0,72689.0,73339.0,74030.0,73553.0,73983.0,75662.0,76054.0,73603.0,73798.0,74116.0,74560.0,73999.0,73703.0,73804.0,73246.0,73248.0,73241.0,72933.0,73031.0,72658.0,72504.0,72300.0,72461.0,72168.0,72421.0,72140.0,72140.0,72315.0,72280.0,72362.0,91639.0,76034.0,75192.0,72457.0,72251.0,72568.0,72629.0,74015.0,72466.0,80959.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
