driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68
832.0,114314.0,128343.0,125584.0,119041.0,80051.0,78132.0,77038.0,77030.0,77275.0,76939.0,76808.0,76600.0,76772.0,93426.0,78462.0,76748.0,77254.0,77008.0,77096.0,76903.0,76815.0,76680.0,76682.0,77329.0,76346.0,77223.0,77007.0,76951.0,76856.0,76731.0,76714.0,76428.0,77001.0,76647.0,76763.0,76556.0,76626.0,76154.0,76815.0,76711.0,76363.0,76499.0,76740.0,76353.0,76236.0,76365.0,77256.0,76181.0,75934.0,75996.0,75695.0,75909.0,77438.0,76335.0,77617.0,76021.0,75917.0,77292.0,76002.0,75925.0,75666.0,75757.0,75939.0,78456.0,75718.0,75765.0,75881.0,100000000.0
1.0,107409.0,128904.0,124438.0,124395.0,78160.0,77029.0,76290.0,76547.0,76631.0,76411.0,76831.0,76466.0,76556.0,76655.0,76226.0,92178.0,78947.0,75907.0,75696.0,75856.0,75765.0,75619.0,76410.0,76169.0,75797.0,75530.0,75949.0,75804.0,75921.0,75810.0,75324.0,75427.0,75950.0,75532.0,75399.0,75244.0,75075.0,75004.0,75353.0,74960.0,74818.0,75199.0,75348.0,74756.0,74931.0,74806.0,74704.0,75194.0,74776.0,74772.0,74807.0,74496.0,74375.0,74904.0,75394.0,74756.0,74208.0,74826.0,74535.0,74396.0,74432.0,74302.0,74534.0,74892.0,74977.0,74183.0,75058.0,74983.0
4.0,123203.0,128423.0,122201.0,115130.0,79720.0,78928.0,77454.0,77962.0,78376.0,78043.0,77901.0,77655.0,77379.0,77543.0,77219.0,77580.0,77105.0,93312.0,78604.0,77042.0,76860.0,77267.0,76812.0,76496.0,76710.0,76804.0,76777.0,76418.0,76407.0,77158.0,76424.0,76445.0,76180.0,76641.0,76370.0,76271.0,76331.0,76298.0,76394.0,78944.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
838.0,159229.0,106448.0,113815.0,111274.0,83521.0,80786.0,79201.0,78770.0,78868.0,78578.0,78608.0,78882.0,78684.0,78548.0,78319.0,79158.0,79250.0,78307.0,78527.0,77993.0,78351.0,78694.0,77792.0,77714.0,77286.0,78822.0,79003.0,77550.0,77642.0,77312.0,77193.0,77247.0,77016.0,76715.0,76910.0,76806.0,77165.0,78062.0,76748.0,78389.0,76810.0,80474.0,79264.0,77128.0,77043.0,76965.0,76798.0,92739.0,79495.0,75933.0,75816.0,76111.0,76077.0,76678.0,75765.0,76178.0,75900.0,76062.0,76071.0,77449.0,76165.0,76083.0,76086.0,76003.0,78445.0,76521.0,100000000.0,100000000.0
839.0,110822.0,128981.0,124665.0,121921.0,79962.0,77893.0,77182.0,77146.0,77070.0,76860.0,94494.0,79071.0,76721.0,76883.0,77785.0,77239.0,77240.0,77064.0,77264.0,77112.0,76961.0,77148.0,76898.0,76798.0,76934.0,76609.0,76755.0,76647.0,76968.0,77255.0,76966.0,76499.0,76896.0,77170.0,76834.0,76582.0,76526.0,76446.0,76481.0,76388.0,76505.0,76450.0,76458.0,76452.0,76296.0,76374.0,76062.0,76432.0,76345.0,75649.0,77445.0,75801.0,76679.0,75844.0,76114.0,76416.0,77537.0,75870.0,75731.0,75918.0,75610.0,75613.0,78005.0,76067.0,76023.0,78209.0,75869.0,100000000.0
8.0,110068.0,129069.0,123667.0,123110.0,78957.0,77302.0,76931.0,77008.0,76559.0,76419.0,76181.0,76632.0,76395.0,76378.0,76351.0,76283.0,76051.0,75870.0,76012.0,75724.0,76081.0,75739.0,75989.0,75408.0,75663.0,75471.0,75831.0,75512.0,75724.0,75690.0,75586.0,92211.0,78515.0,75026.0,75383.0,75297.0,75026.0,75351.0,75370.0,75577.0,75333.0,75583.0,75033.0,75634.0,75481.0,75234.0,75367.0,75033.0,74821.0,74930.0,74792.0,74761.0,74423.0,74782.0,74818.0,74567.0,75205.0,74268.0,74075.0,74744.0,74525.0,74703.0,74368.0,74580.0,74623.0,74678.0,75992.0,74791.0
807.0,112345.0,129285.0,125192.0,119798.0,80193.0,77886.0,76903.0,77500.0,76976.0,76942.0,76579.0,75914.0,93240.0,78971.0,76545.0,77016.0,76988.0,76937.0,76923.0,76914.0,77403.0,76844.0,77028.0,76264.0,76965.0,76699.0,77397.0,76908.0,76635.0,76635.0,76706.0,76811.0,76783.0,76348.0,76780.0,76742.0,76507.0,76443.0,76506.0,76664.0,76327.0,76496.0,76527.0,76476.0,76403.0,76084.0,76275.0,76443.0,76366.0,76240.0,76289.0,76050.0,76061.0,77311.0,76313.0,76190.0,78029.0,75979.0,76706.0,75918.0,75719.0,75602.0,75655.0,75588.0,75775.0,77975.0,76441.0,100000000.0
842.0,127960.0,125067.0,122032.0,114286.0,81335.0,78384.0,77873.0,78167.0,77356.0,78164.0,77698.0,77545.0,77500.0,77333.0,78024.0,77335.0,77377.0,77035.0,77218.0,76992.0,76911.0,77142.0,93573.0,79002.0,76633.0,76602.0,76667.0,76725.0,76566.0,76627.0,76792.0,76836.0,78063.0,76870.0,76984.0,76519.0,76564.0,76596.0,76439.0,76353.0,76715.0,76429.0,76444.0,77852.0,76571.0,76332.0,77623.0,76051.0,77999.0,76473.0,76315.0,76173.0,77356.0,77370.0,76703.0,77562.0,75841.0,76002.0,76276.0,76274.0,76155.0,76057.0,76018.0,75752.0,76039.0,76052.0,75699.0,100000000.0
844.0,117110.0,128743.0,124116.0,117827.0,80163.0,78855.0,77924.0,78177.0,78111.0,77832.0,77768.0,77511.0,77410.0,77094.0,77189.0,77295.0,78037.0,77306.0,93257.0,79789.0,77549.0,76683.0,76779.0,76943.0,77117.0,76626.0,76845.0,76845.0,76532.0,76781.0,76974.0,76878.0,76787.0,78168.0,76593.0,76500.0,76464.0,76370.0,76377.0,76187.0,76989.0,76403.0,76282.0,76140.0,75963.0,77726.0,76274.0,77943.0,75925.0,76099.0,77195.0,76210.0,76120.0,75865.0,75623.0,78570.0,76549.0,76961.0,76190.0,75703.0,75716.0,75910.0,76214.0,75770.0,75480.0,77628.0,75938.0,100000000.0
845.0,120783.0,127221.0,123905.0,116999.0,83808.0,80466.0,79888.0,79168.0,78459.0,78463.0,78774.0,79096.0,78696.0,78260.0,78552.0,78385.0,78489.0,78162.0,78381.0,78397.0,79480.0,78131.0,78089.0,77830.0,77806.0,95145.0,82124.0,77777.0,77458.0,78712.0,79364.0,81304.0,77869.0,77837.0,77495.0,77351.0,77157.0,77282.0,77200.0,77129.0,76957.0,76952.0,76824.0,76769.0,76808.0,76553.0,76531.0,76513.0,76648.0,76712.0,76542.0,76437.0,75924.0,76319.0,76480.0,76406.0,77774.0,76801.0,76328.0,76499.0,78119.0,79094.0,76211.0,76578.0,76521.0,82310.0,100000000.0,100000000.0
