raceId,driverId,lap,driverOvertaken
1024,1,33,841
1024,1,33,817
1024,8,17,9
1024,9,55,825
1024,20,27,840
1024,20,29,817
1024,20,30,842
1024,20,31,841
1024,154,2,9
1024,154,41,9
1024,154,48,817
1024,154,50,826
1024,154,52,825
1024,807,8,9
1024,807,19,154
1024,807,48,8
1024,807,48,825
1024,815,11,826
1024,815,17,9
1024,817,3,815
1024,817,7,840
1024,817,10,826
1024,817,50,826
1024,817,52,825
1024,822,33,817
1024,825,22,154
1024,826,17,9
1024,826,55,825
1024,830,30,840
1024,830,31,817
1024,830,33,841
1024,832,48,817
1024,832,50,826
1024,832,52,825
1024,840,10,826
1024,840,48,9
1024,840,54,825
1024,840,54,826
1024,840,61,817
1024,841,48,826
1024,841,49,8
1024,841,52,825
1024,842,48,8
1024,842,48,825
1024,844,29,840
1024,844,31,817
1024,844,33,841
1024,846,22,154
1024,848,23,807
1024,848,33,817
1025,8,15,9
1025,8,24,817
1025,8,33,841
1025,8,37,842
1025,807,6,825
1025,807,14,815
1025,807,20,841
1025,807,21,817
1025,807,22,847
1025,807,37,840
1025,815,35,846
1025,815,44,825
1025,817,4,9
1025,817,7,841
1025,822,7,832
1025,825,4,807
1025,826,24,842
1025,826,36,842
1025,830,8,815
1025,830,12,846
1025,830,17,832
1025,832,25,842
1025,841,4,9
1025,841,24,817
1025,848,4,847
1025,848,17,826
1025,848,24,842
1025,848,32,840
1025,848,33,815
1025,848,35,846
1025,848,42,825
1025,848,48,832
1026,8,23,847
1026,8,45,825
1026,8,48,841
1026,8,50,154
1026,20,18,832
1026,154,23,847
1026,807,47,840
1026,815,49,840
1026,815,51,807
1026,817,4,8
1026,817,5,154
1026,817,6,825
1026,817,7,841
1026,817,15,815
1026,817,44,840
1026,817,44,807
1026,817,48,842
1026,825,24,847
1026,826,14,8
1026,826,31,825
1026,826,34,8
1026,826,38,841
1026,826,40,154
1026,826,47,846
1026,840,26,826
1026,841,23,847
1026,842,24,846
1026,842,25,826
1026,844,5,9
1026,844,7,847
1026,844,9,830
1026,844,11,826
1026,844,13,8
1026,844,14,154
1026,844,15,825
1026,844,30,815
1026,844,31,807
1026,844,33,840
1026,844,34,842
1026,846,7,9
1026,846,10,847
1026,846,14,830
1026,846,31,825
1026,846,34,8
1026,846,38,841
1026,846,40,154
1026,848,21,817
1027,1,4,832
1027,8,9,841
1027,8,13,846
1027,8,18,154
1027,8,19,9
1027,8,19,847
1027,8,23,825
1027,9,13,846
1027,154,13,846
1027,807,13,846
1027,807,21,825
1027,807,31,832
1027,815,5,842
1027,815,12,846
1027,815,22,826
1027,817,8,842
1027,817,12,846
1027,822,6,846
1027,822,8,832
1027,825,13,846
1027,825,33,154
1027,826,13,846
1027,826,14,154
1027,826,15,847
1027,826,16,9
1027,826,20,825
1027,826,60,840
1027,826,70,807
1027,830,4,822
1027,830,13,846
1027,830,17,154
1027,830,17,847
1027,830,18,9
1027,830,22,825
