driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54
2,,[],[],[],[],[],[],[35],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[],[30],[],[],[],"[22, 23]",[],[],[],[],[],[],[],[21],[],[],[],[49],[],"[35, 42, 43]",[],"[30, 23]","[21, 22]",[],[],[],[],"[17, 18]",[],[],[],[],[],[],[17],[],[],[],[23],[],[],[22],[21],[17],[],[],[],[15],[]
8,,[],[],[],[],[],[],[],[15],[14],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[22, 23]",[],[],"[18, 21]",[],[],[],[],"[17, 15]",[],[],[],[],[],[],[],[],[14],[],[],[],[],[],[8],[]
14,,[],[],[],[],[],[],[],[8],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[49],[],[],[],[43],[],[],[35],[],[],[],[],[23],[22],[],[],[],[],[],[],[],[],[21],[],[],[],[],[],[],[],[],[],[],[]
17,,[],[],[],[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[23],[],"[21, 22]",[],[18],[17],[],[],[],[],[],[],[],[],[],[23],[],[],[],[],[22],[],[],[],[],[],[23],[],[],[],[],[]
18,,[],[],[],[],[],[],[31],[],[],"[30, 23]",[],[],[],[],[],[],[],[],[],[],[],[30],[],"[30, 23]",[],"[21, 22]",[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,,[],[],[],[],[],[],[],[52],[],[],[],[],[],[],[51],[],[50],[],[49],[43],[],[42],[],"[35, 31]",[],[],[23],[],[],[23],[],[22],[21],[],[],[],[],[],[],[],[],[],[],[],[],[17],[15],[],[],[],[],[14],[8]
22,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[18],[],[],[],[],[17],[],[],[],[15],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[],[],[],[],[],[],[],[],[]
23,,[],[],[],[],[],[],[],[],[21],[],[31],[],[],[],[],[],[],[],[],[],[35],[31],[30],"[22, 23]",[],"[17, 18, 21]",[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],[],[],[],[],[15],[],[],[],[],[],[],[23]
30,,[],[],[],[],[],[],[],[],[],"[18, 21, 22]",[],[],[],[17],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
31,,[],[],[],[],[],[23],[],"[18, 21, 22]","[17, 15]",[14],[],[],[],[],[],[],[],[],[],[],[],[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
35,,[],[],[],[],[],[],[42],[35],[],[31],[],[],[],[],[],[],[],[],[],[],[],[43],[],[42],[],[35],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[23],[],[],[],[],[],[21],[]
42,,[52],[],[],[],[],[],[51],[50],[49],[44],[],[],[],[],[43],[],[],[],"[35, 42, 22, 23, 30, 31]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
43,,[],[],[],[],[],[],[43],[],[],[],[],[],[],[],[42],[],[],[],"[35, 17, 18, 21, 22, 23, 30, 31]",[],[],[],[],[18],[],[],[],[],[],[],[],[35],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
44,,[],[],[],[],[],[],[52],[51],[],[],[],[],[],[],[50],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
49,,[51],[],[],[],[],[],[50],"[49, 44]",[],[],[],[],[],[],[44],[],[],[],"[35, 42, 43, 23, 30, 31]",[],[],[],[],[49],[],[43],[],[],[],[35],[],[],[23],[],[],[],[],[],[],[],[],[23],[22],[],[],[21],[],[21],[],[],[],[],[]
50,,[],[],[],[],[],[],[49],[],[],[],[],[],[],[],[49],[],[],[],"[35, 42, 43]",[],[],[35],[],"[30, 31]",[],[],"[22, 23]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
51,,[],[],[],[],[],[],[44],"[42, 43]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
52,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[52],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
