driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36
35,,[],[],[],[],[22],"[50, 21]",[18],[],[],[22],[],[],[],[],[],[],[21],[],[50],[],[],[],[],[],[22],[],[],[],[],[],[22],[],[],[],[]
37,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
44,,[],[],[],[],[],[],[],"[59, 30]",[58],[],[],[],[],[],[],[],"[58, 59]",[],[],[],[],[],[],[58],[],[],[],[],[],[],[57],[],[],[],[]
14,,[],[],[],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[],[],[],[14],[],[],[],[],[],[],[],[]
15,,[],[],[21],[],[50],[],[],[55],"[22, 23]",[21],[],[],[],[],[],[],[50],[],[],[],[21],[],[],[],[50],[],[],[],[],[],[],[],[],[],[]
49,,[59],[],[],[],[],[],[58],[57],[55],[23],[],[],[],[],[],[],[57],[],[],[],[],[55],[],[],[],[],[],[],[],[],[23],[],[],[],[]
18,,[],[],[],[],[],[22],"[50, 21]",[18],[],[],[],[],[],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
50,,[],[],[],[],[],[23],[],[],[59],[],[58],[],[],[],[],[57],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[55],[],[],[],[]
21,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[21],[],[],[],[],[],[50],[],[],[],[]
23,,[],[],[],[],[],"[57, 55]","[21, 22, 23]",[],[],[],[],[],[],[],[55],[],[23],[22],[21],[50],[],[],[],[],[],[],[],[22],[],[],[21],[],[],[],[]
55,,[],[50],[],[],[],[],"[23, 55]",[22],"[50, 21]",[],[],[],[],[],[],[],[],[],[],[21],[50],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
57,,[18],[],[],[],[],[],[],[21],"[49, 18, 50]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
58,,[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[59],[],[],[],[]
59,,[30],[],[],[],[],[],[59],[58],[],[],[],[59],[],[],[],[],[],[],[],[],[58],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
31,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
