driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45
14,,[],[],[],[],[],[],[],[],[],[],[],[49],[],[],[48],[],[],[],[44],[],[],[],[],[37],[25],[],[],[],[],[37],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[55],[],[],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[25],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
23,,[],[],[],[],[41],[],[],[],[],[37],[],[],[],[],[],[],[],[],[],[],[25],[23],[],[],[37],[25],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
25,,[],[],[],[],[44],[],[],[],[],[41],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[48],[],[],[],[],[44],[],[],[],[],[],[],[],[],[],[44],[],[],[],[]
37,,[],"[68, 69]",[],[],[65],[],[],[],[],[63],[],[],[63],[],[57],[56],[],[],[55],[],[],[57],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
41,,[],"[65, 68]",[],[],[63],[],[],[57],[],[56],[],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
44,,[],[57],[],[],[56],[],[55],[],[],[49],[],[48],[],[],[],[],[],[],[],[],[],[],"[48, 44]",[],[],[37],[],[],[],[],[],[],[],[44],[],[],[],[],[],[],[],[],[],[]
48,,[],[],[],[],[69],[],[],[],[],[],[],[],[68],[],[65],[63],[],[],[],[],"[57, 63]",[56],[],[],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[49],[],[],[],[]
49,,[],[],[],[],[25],[],[],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[25, 23]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
55,,[],[],[],[],[71],[70],[],[],[],"[65, 68, 69]",[],[63],[57],[],[56],[],[],[],[63],[57],"[56, 55]",[],[],[],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[48],[],[],[],[]
56,,[],[],[],[],[37],[],[],[],[],[25],[],[],[],[],[],[],[],[],[],[23],[],[],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
57,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
63,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
65,,[],[56],[],[55],[49],[],[],[],[],[48],[],[44],[],[],[],[],[],[41],[],[],[],[],[],[],[44],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
68,,[],[],[71],[],[70],[],[],[],[],[70],[],[],[69],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
69,,[],"[69, 70]",[],[],[68],[],[],[],[],[],[],[],[65],[],[63],[57],[],[],[56],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[56],[],[],[55],[],[],[],[]
70,,[],[63],[],[],[57],[],[],[],[],[57],[],[],[56],[],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
71,,[],[49],[],[],[48],[],[],[],[],[44],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
