driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44
64,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[71],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
35,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[55],[],[],[],[14],[],[57],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
71,,[],[],[],[],[],[],[],[],[],[],[],[],[],"[35, 77, 30]",[],[],"[64, 83]",[77],[79],[],[],[14],[],"[56, 84]",[],[],[],[],[63],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
73,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[64, 77]",[],[],[],[],[],[],[56],[],[],[],[79],[],[],[],[84],[],[],[],[83],[],[],[],[],[],[]
77,,[],[],[],[],[],[],[],[],[],[],[],[],[71],[],[],[],[],[],[],[64],[],[73],[83],[],"[56, 79]",[],[],[],"[14, 63]",[],[],[63],[],[],[],[],[],[],[],[],[],[],[]
14,,[],[],[],[],[],[],[],[],[],[],[],[],[30],[35],[],[],[],[],[],[],[],[],[],[56],[],[],[],[],[],"[84, 77]",[],[],[],[71],[],[],[],[],[],[],[],[],[]
79,,[],[],[],[],[],[],[],[],[],[50],[],[],[],[],[71],[],[],[77],[],[],[],[],[],[],[],[],[],[],[],"[73, 83]",[],[],[84],[],[],[],[],[],[],[],[],[],[]
50,,[64],[],[79],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
83,,[],[],[],[],[],[],[],[],[],[],[],[],[],[73],"[64, 71]",[],[],[77],[],[],[],[],[],[],[56],[],[],[],[79],[],[],[],[84],[],[],[],[],[],[],[],[],[],[]
84,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[77],[],[],[],[14],[],[],[],[],[],[],[63],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
55,,[],[],[],[],[],[],[],[],[],[],[],[],[],[77],"[35, 71]",[],[],[],[],[],[],[14],[],[57],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
56,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[84, 71]",[],[77],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
57,,[],[],[],[],[],[],[],[],[],[],[],[],[71],"[35, 30]",[],[],[],[],[],[],[14],[],[],[],[],[],[],[63],[],[55],[],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[71],[],[],[],[],[],[14],[],[57],[],[],[],[],[],[],[],[],[35],[],[],[],[],[],[],[],[],[],[],[]
63,,[],[],[],[],[],[],[],[],[],[],[],[],[56],[],"[84, 77, 71]",[],[],[],[],[],[],[14],[],[57],[],[],[],[],[],[],"[84, 77]",[],[],[],[],[],[],[],[],[],[],[],[]
