driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59
1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[2],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[],[2],[],[],[13],[],[],[],[],[],[],[],[],[],[],[],[],[]
2,,[],[],[],[],[],[],[],[],[],[],[],[],[],[5],[23],"[1, 21, 9]",[],[],[],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[],[],[],[1],[13],[9],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,,[24],[25],[],[26],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[27],[],[],[24],[11],[24],[19],[15],[],[18],[],[],[],[],[27],[],[],[],[11],[],[24],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[9],[1],[2],[8],[],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[1],[9],[],[2],[],[],[],[13],[],[],[],[],[],[],[],[],[],[],[],[],[]
5,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[23],[],[15],[],[],[],[],[],[26],[25],[14],[],[],[],[],[22],[],[18],[],[14],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[1],[],[],[],[2],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
9,,[],[],[],[],[],[],[],[],[],[],[5],[],[],[],[21],[],[15],[],[21],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[1],[],[],[21],[5],[],[],[2],[],[],[],[],[],[],[],[],[],[],[],[],[]
11,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[27],[],[24],[],[],[],[],[],[],[],[],[19],[],[],[],[],[15],[27],[],[],[],[],[27],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13,,"[16, 18, 19]",[22],[24],[25],[],[26],"[17, 3]",[],[],[14],[],[],[],[],"[5, 15]","[9, 21, 23]",[],"[8, 1]",[2],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[5],[21],[],[5],[21],[],[9],[1],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,,[],[26],[],[],[],[3],[17],[],[],[],[],[],[],[3],[26],[23],[5],[15],[],[],[],[],[],[],[],[25],[],[],[15],[19],[15],[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],"[17, 14]",[],[],[],[],[],[],[],[5],"[14, 23]",[],[],[],[],[23],[27],[],[24],[11],[25],[],[],[],[19],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
16,,[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
17,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[3],[],[],[15],[],[],[23],[],[],[24],[26],"[25, 14]",[],[],[19],[],[22],[],[],[],[],[],[3],[],[],[],[25],[],[],[24],[3],[],[],[],[],[],[],[],[],[],[],[],[],[]
19,,[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[3],[],[],[27],[],[],[23],[],[],[24],[26],"[25, 15]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,,[],[],[],[],[],[],[],[],[],[],[2],[],[],[5],[],[],[15],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[3],[],[],[15],[],[],[23],[],[18],[24],[26],"[25, 14]",[],[],[],[],[],[],[18],[],[],[],[3],[],[],[],[25],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[]
