driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62
2,,[],[],[],[24],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[26],[],[],"[35, 3, 14]",[32],[],[],[],[],[],[],[],[],[],[],[],[],[],[26],[],[],[],[14],[],[24],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,,[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[],[35],"[32, 2]",[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[14],[],[35],[],[],[2],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[18],[23],[],[31],[13],[31],[],[],[],[],[],[],[],[],[],[18],[],[],[],[],[],[],[],[],[],[],[13],[17],[],[31],[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[],[35],[],[],[],[],[],[],[],[],[],[22],[35],[23],[],[],[13],[],[],[],[],[],[],[],[35],[],[21],[18],[],[23],[],[],[],[],[],[],[],[],[18],[17],[],[13],[],[],[],[21],[],[],[],[],[],[],[],[],[],[],[],[],[]
11,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[34],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[18],[],[],[],[],[],[],[8],"[17, 35]",[],[],[],[],[],[],[18],[],[],[],[],[],[],[],[],[],[],[],[17],[],[18],[],[],[8],[21],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,,[],[],[],[],[],[],[],[],[],[],[],[],[],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],"[32, 2]",[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
17,,[],[],[],[15],[],[],[],[],[],[],[],[],[],[22],[18],[23],[],[],[13],[],[],[8],[],[],[],[21],[35],[],[21],[18],[],[],[],[],[],[],[],[],[],[],[13],[],[],[3],[],[23],[],[21],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[23],[],[],[35],[],[],[8],"[17, 31]",[],[],[],[],[],[],[],[],[23],[22],[],[],[],[],[],[],[],[],[17],[],[],[],[3],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[]
