driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56
1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[2],[],[],[],[],[],[],[30],[],[],[16],[],[],[814],[],[],[],[],[],[20],[],[],[],[],[],[18],[],[3],[],[],[],[],[13],[],[],[18],[],[],[],[]
2,,[],[],[22],[],[],[],[],[17],[],[],[],[],[],[815],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[5],[],[5],[815],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[]
3,,[],[],[],[],[],[],[],[],[],[],[],[],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[18],[4],[],[],[],[],[],[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],[13],[],[],[],[],[]
4,,[],[],[],[],[],[],[],[],[],[],[16],[],[16],[],[],[],[],[],[],[],[],[],[],[814],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[814],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
5,,[],[],[],[],[],[],[],[15],[],[],[],[],[],[15],[],[],[15],[],[],[],[],[],[],[],[15],[],[],[],[],[],[],[813],[],[],[813],[],[],[],[],[],[813],[],[],[],[],[],[],[],[],[813],[],[],[],[],[]
10,,[816],[24],[],[],[],[],[],[],[],[],[],[],[816],[],[],[],[],[],[],[],[],[816],[],[],[],[],[],[],[],[],[],[],[],[39],[],[],[],[],[],[],[],[],[],[],[],[],[],[24],[],[],[],[],[39],[],[]
13,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[3],[],[],[],[],[],[],[30],[18],[1],[],[3],[],[],[3],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[10],[],[10],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[816],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
16,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[2],[],[],[808],[],[],[],[],[],[],[],[],[],[],[]
17,,[5],[],[815],[],[],[],[22],[],[],[],"[816, 39]",[10],[],[],[],[15],[5],[],[],[],[],[],[],[],[],[],[67],[],[22],[],[815],[],[815],[],[],[],[4],[],[],[],[],[],[],[30],[],[],[],[],[],[4],[],[],[13],[3],[]
18,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[2],[],[],[],[],[],[],[],[],[],[16],[814],[],[1],[4],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[3],[13],[],[],[],[3],[],[]
20,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[2],[],[],[],[],[],[],[],[],[13],[],[],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[13],[],[],[],[],[],[],[],[],[],[],[18],[]
22,,[815],[],[],[],[],[],[],[813],[],[],[5],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[67],[16],[155],[],[],[],[],[813],[],[],[],[],[],[],[],[],[67],[],[],[],[],[],[],[],[],[]
24,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
153,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
155,,[],[808],[],[],[153],[],[],[],[],[],[],[],[],[],[15],[5],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[2],[],[],[]
30,,[],[153],[],[],[],[],[],[],[],[],[15],[5],[],[814],[],[],[],[],[],[],[],[],[],[],[814],[],[22],[17],[],[815],[],[17],[808],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[814],[],[],[],[]
39,,[],[],[],[],[],[],[],[],[],[24],[],[],[],[],[],[24],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[24],[],[],[],[],[],[],[],[],[],[],[],[]
808,,[],[],[],[],[67],[],[],[],[2],[],[],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[815],[],[],[],[],[],[],[],[],[],[],[],[815],[2],[],[],[],[815],[],[],[],[2],[155],[814],[],[],[]
813,,"[24, 15]",[],[],[],[],[],[],[],[],[],[24],[],[39],[816],[],[],[],[816],[67],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[15],[],[],[],[],[816],[],[],[],[],[],[],[],[],[],[],[],[],[]
814,,[],[],[],[],[],[],[],[],[],[],[],[15],[],[],[5],[],[16],[],[],[],[],[],[],[16],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[155],[],[],[],[],[]
815,,[],[],[],[],[],[],[813],[22],[],[],[],[],[],[22],[],[],[22],[15],[],[],[],[],[],[2],[],[],[],[2],[],[],[],[22],[],[],[],[],[5],[],[],[],[],[22],[],[2],[],[],[],[],[],[],[],[],[],[],[]
816,,[],[39],[],[],[],[],[],[],[],[39],[],[],[],[],[39],[],[],[],[],[],[],[],[24],[],[],[],[],[39],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[39],[],[],[],[],[],[],[]
67,,[],[],[],[],[],[],[],[],[],[],[],[],[],[10],[],[],[],[39],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[10],[],[15],[],[],[],[],[],[],[],[5],[16],[],[],[],[],[],[],[]
