driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51
832,,[842],[],[],[],"[8, 840]",[],[],[8],[],[],[],[],[],[],[],[822],[],[],[],[],[],[20],[817],[815],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[844],[],[],[842],[],[],[],[],[],"[840, 842]",[],[]
1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[838],[4],[],[]
4,,[],[],[],[],[],[830],[828],[],[154],"[825, 822]",[],[],[],[],[20],[],[],[],[],[],[],[],[20],[817],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[815],[],[],[],[],[844],[843],[],[843]
838,,[822],[20],[],[],[],[],[],[],[],[154],[825],[],[],[],[822],[],[],[],[],[],[154],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[828],[],[],[825],[],[],[],[],"[825, 20, 822]",[815],[],[]
807,,[844],[],[],[843],[],[843],[],"[840, 842]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[822],[],[],[20],[],[],[817],[],[815],[],[],[],"[843, 844]",[],[842],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[840],[],[],[],[],[],[],[],[],[838],[],[]
840,,[],[],[],[],[],[],"[844, 815]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[20],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[844],[],[],[],[],[],[844],[843],[]
842,,[817],[],[],[],"[843, 844]",[],[],[],[],[],[],[],[],[],[],[],[830],[],[],[],[],[828],[],[],[154],[],[],[],[],[],[],[],[],[],[],[],[],[],[822],[],[],[20],[],[],[],[],[],[],[],[]
843,,[],[825],[],[],[],[],[],[],[],[828],[],[],[],[],[],[],"[825, 154]",[],[],[],[],[],[],[],[828],[],[],[],[],[],[],[],[],[],[],[],[],[],[154],[],[],[822],[],[],[],[],[],[20],[],[]
844,,[20],[817],[],[],[],[815],[],[],[],"[843, 844]",[],[],[],[842],[],[],[],[],[],[],[],[],[],[],[817],[],[],[],[],[],[],[],[],[],[],[],[],[],[815],[],[],[843],[],[],[],[],[842],[],[],[]
815,,[],[],[],[],[],[154],[],[],"[825, 822]",[20],[],[817],[],[],[815],[],[],[],[],[844],[],[],[843],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[842],[],[],[],[],[],[],[],[],[8],[],[]
817,,[],[],[],[],[],[],[],[],[],[842],[],[],[],[840],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
20,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
822,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[838],[],[],[],[],[],[],[],[],[4],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
825,,[830],[],[],[],[],[],[],[],[],[],[],[830],[],[],[],[],[154],[],[],[],[825],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[822],[],[],[],[],[],[],[],[],[825],[],[]
154,,[],[],[],[],[825],[822],[],[20],[],[817],[],[],[],[],[817],[],[],[],[],[],[],[815],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[843],[],[],[],[],[],[],[],[],[],[],[]
828,,[],[],[],[],[],[],[],[],[],[830],[],"[154, 828]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[825],[],[],[],[20],[]
830,,[],[],[],[],[],[8],[],[],[],[840],[],[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
