driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68
832,,[],[],[],[],[],[],[],[],[],[839],[],[807],[],"[4, 839, 842, 844, 815, 825, 154, 828]","[1, 830]",[],[],[],[],[838],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1,,[],[],[],[],[],[],[],[],[828],[],[],[],[],[],[],"[832, 838, 839, 8, 807, 815, 817, 828]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[822],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],"[825, 845, 815]",[],[],[],[],[],[839],[],[807],[],[],[],[],[],"[842, 844, 815, 825, 154, 828]",[],[],[],[],[],[],[],[],[],[838],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
838,,"[832, 1, 4, 839, 8, 807, 842, 844, 845, 815, 817, 20, 822, 825, 154, 828, 830]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[844],[],[],[],[],[],[],[],[],[],[815],[],[],[],[],[825],[],[],[],[],[],[],[842],[],[],[],[],[],[],[],[],[],[],[],[]
839,,[],[],[],[],[],[],[],[],[],[],"[832, 4, 807, 8, 842, 844, 815, 825, 154, 828]",[],[],[],"[1, 830]",[],[],[],[],[],[838],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[],[],[],[],[839],"[1, 830]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[822],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
807,,[],[],[],[],[],[],[],[],[],[839],[],[],"[832, 4, 839, 8, 842, 844, 815, 817, 825, 154, 828]",[],"[1, 830]",[],[],[838],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
842,,[],[],[],"[845, 815]",[],[],[],[825],[],[839],[],[807],[],[],[],[],[4],[],[],[],[828],[],"[825, 154, 828, 815]",[],[],[],[],[],[],[],[],[],[],[],[],[],[838],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[838],[],[],[],[],[],[],[]
844,,[],[],[],[815],[],[],[],[],[],[839],[],[807],[],[],[],[],[],[],"[842, 815, 825, 154, 828]",[],[],[],[],[],[],[],[],[],[],[],[],[838],[],[],[],[838],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
845,,[],[],[],[],[],[],[],[815],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
815,,[],[],[],[],[],[],[],[],"[4, 842, 844, 845, 825, 154]",[839],[],[807],[],[],"[1, 830]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[838],[],[],[],[],[],[],"[838, 842, 844, 825, 154]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[839],[832],[],[],[],[]
817,,[],[],[],[],[],[],[],[],[],[828],[],[],[],[807],"[1, 830]",[],"[832, 1, 838, 807, 8, 839, 815, 828]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[822],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
20,,[],[],[],[],[],[],[828],[],[],[],[],[],[838],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[1, 8, 817, 822, 830]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
822,,[],[],[],[],[],[],[],[828],[],[],[],[],[],[838],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[1, 8, 817, 20, 830]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
825,,[],[],[],[],[],[],[],[],[],[839],[],[807],[],[],[],[],[4],[],[],[],[],"[154, 828, 842]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[154, 838]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[838],[],[],[]
154,,[],[],[],[],[],[845],[],[815],[],[839],[],[807],[],[],[],[],[4],[],[],[],[825],[],[],[],[828],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[825, 815]",[],[],[],[],[825],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[838],[],[],[]
828,,"[832, 1, 4, 839, 8, 807, 842, 844, 845, 815, 817, 20, 822, 825, 154, 830]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[1, 830]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
830,,[],[],[],[],[],[],[],[],[828],[],[],[],[],[],[],"[832, 838, 807, 8, 839, 815, 817, 828]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[822],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
