driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57
1,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,0,0,0,0,0,0,21035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,22114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22285,0,0,0,0,0,0,0,0,0,0,0,0,21472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,21054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20896,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20136,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23241,0,0,0,0,0,0,0,0,0,0,0,21126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20404,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,20676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21036,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,20465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20319,0,0,0,0,0,0,0,0,0,0,0,0,0,20367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20479,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20331,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,21163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21262,0,0,0,0,0,0,0,0,0,0,0,21286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24459,0,0,0,0,0,0,0,0,0,0,0,0,22766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22235,0,0,0,0,0,0,0,0,0,0,0,0,0
