driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56
1,0,0,0,0,0,24271,0,0,0,0,0,0,0,0,27961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,25600,0,0,0,0,0,0,0,25199,0,0,0,0,0,0,0,0,0,0,0,0,23050,0,0,0,0,0,0,0,0,0,0,0,0,23231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,24653,0,0,0,0,0,0,0,0,0,22864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,32670,0,0,0,0,0,0,0,0,0,25130,0,0,0,0,0,0,0,0,34109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,27602,0,0,0,0,0,0,0,24927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,25096,0,0,0,0,0,0,0,0,0,25660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,24034,0,0,0,0,0,0,0,0,0,0,24420,0,0,0,0,0,0,0,0,0,0,0,0,23130,0,0,0,0,0,0,0,0,0,0,26934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,24569,0,0,0,0,0,0,0,0,26337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,24305,0,0,0,0,0,0,0,0,25922,0,36517,0,0,0,0,0,0,0,0,23509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,25658,0,0,0,0,0,0,0,0,0,24057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22998,0,0,0,0,0,0,25884,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,28122,0,0,0,0,0,0,0,26255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,24831,0,0,0,0,0,0,0,0,24094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,0,0,38887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,0,0,0,0,23856,0,0,0,0,0,0,0,0,0,0,23549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,0,0,0,0,24718,0,0,0,0,0,0,0,0,29359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811,0,31006,0,0,0,0,0,26269,0,0,0,0,0,24980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,0,0,0,0,0,25535,0,0,0,0,0,0,0,0,21621,23974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,23988,0,0,0,0,0,0,0,0,0,0,0,22856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,0,25671,0,0,0,0,0,0,0,0,0,0,0,0,0,24520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,0,0,0,0,25470,0,0,0,0,0,0,0,0,0,24539,0,0,0,0,0,0,0,0,0,0,22610,0,0,0,0,0,0,0,0,0,0,0,23648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
