driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58
1,0,0,0,0,0,0,0,0,0,0,0,0,0,22155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22015,0,0,0,0,0,0,0,0,0,0,21778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,21792,0,0,0,0,0,0,0,0,0,0,21606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,22709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,21754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21511,0,0,0,0,0,0,0,0,0,0,0,0,21509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22749,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,24240,0,0,0,0,0,0,0,0,0,0,0,0,21717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,22282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,21807,0,0,0,0,0,0,0,0,0,0,0,0,0,22704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,22239,0,0,0,0,0,0,0,0,0,0,0,0,0,22133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
