driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44
1,0,0,1137295,0,0,0,0,0,0,0,0,0,0,0,23891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23677,0,0,0,0,0,0,0,0
3,0,0,1136516,0,0,0,0,0,0,0,0,0,0,23696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24862,0,0,0,0,0,0,0,0,0,0
4,0,0,1137051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1135276,0,0,0,0,0,0,0,0,25191,0,0,0,0,0,0,0,0,0,0,0,32466,0,0,0,0,0,0,0,0,0,0,24173,0,0,0,0,0,0,0,0,24768
13,0,0,1136594,0,0,0,0,0,0,0,0,0,24374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24930,0,0,0,0,0,0
16,0,0,1135797,0,0,0,0,0,0,0,0,0,25136,0,0,0,0,0,0,0,0,0,24407,0,0,0,0,0,0,0,0,0,24314,0,0,0,0,0,0,0,0,0,0,0
18,0,0,1136054,0,0,0,0,0,0,24532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28547,0,0,0,0,0,0,0,0,0,0,24757,0
20,0,0,1134978,0,0,0,0,0,0,0,0,0,23764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,1133680,0,0,0,0,0,0,0,0,24011,0,0,0,0,0,0,0,0,0,23656,0,0,0,0,0,0,0,0,0,0,0,0,23745,0,0,0,0,0,0,0,0,23785
155,0,0,1133381,0,0,0,0,0,0,0,0,28656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25635,0,0,0,0,0,0,0,0,0,0,0,25576,24907,0,0,0,0
807,0,0,1136562,0,0,0,0,0,0,0,0,0,24696,0,0,0,0,0,0,0,0,0,0,0,0,0,23873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24792
813,0,0,1127145,0,0,0,0,0,0,25460,0,0,0,0,0,0,0,0,0,0,0,0,24184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25981,0,0,0
815,0,0,1135712,0,0,0,0,0,0,0,0,24971,0,0,0,0,0,0,0,0,0,0,0,0,0,24622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25313
817,0,0,1135520,0,0,0,0,0,0,0,0,24184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25607,0,0,0,0,0,0,0
818,0,0,1136557,0,0,0,0,0,0,0,0,25451,0,0,0,0,0,0,0,24353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,0,0,1135937,0,0,0,0,0,0,0,0,25879,0,0,0,0,0,0,0,0,0,0,0,25278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,0,0,1134553,0,0,0,0,0,0,0,0,24873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26943,0,0,0,0,0,0,0,0,0
822,0,0,1136994,0,0,0,0,0,0,0,0,24465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25052,0,0,0,0,0
824,0,0,1133708,0,0,0,0,0,0,0,0,0,0,25116,0,0,0,0,0,0,0,0,0,0,24910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,0,0,1135891,0,0,0,0,0,0,0,0,24550,0,0,0,33215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23701,0,0,0,0,0,0,24361,0,0,0
826,0,0,1134529,0,0,0,0,0,0,0,0,24567,0,0,0,0,0,0,0,0,0,0,0,24222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26554,0,0,0,0
828,0,0,1113851,0,0,0,0,0,0,0,0,31187,0,0,0,0,0,0,0,0,0,0,0,0,0,25977,0,0,0,0,0,0,0,0,0,0,0,0,0,25655,0,0,0,0
