driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43
1,0,0,0,0,0,0,0,0,0,0,0,0,0,22403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22955,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,22997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22765,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,22973,0,0,0,0,0,0,0,0,0,0,0,26103,0,0,0,0,0,0,0,0,0,0,0,23191,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,22578,0,0,0,0,0,0,0,0,0,23143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,23282,0,0,0,0,0,0,0,0,0,0,0,23655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,24083,0,0,0,0,0,0,0,0,24151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23761,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,23717,0,0,0,0,0,0,0,0,0,0,0,23493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,0,0,0,0,0,0,0,0,23562,0,0,0,0,0,0,0,0,0,0,0,22918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,0,0,0,0,0,0,0,22637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,0,0,0,0,0,0,0,0,23319,0,0,0,0,0,0,17343,0,0,0,0,0,23489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,0,0,0,0,0,0,0,0,0,22796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,0,0,0,0,0,0,0,0,0,24183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23826,0,0,0,0,0,0,0,0,0,0,0,0,0,24450,0,0,0,0,0,0,0,0,0,0,0,0
830,0,0,0,0,0,0,0,0,0,24564,0,0,0,0,0,0,0,0,0,0,0,23041,0,0,0,0,0,0,0,0,0,0,22942,0,0,0,0,0,0,0,0,0,0
831,0,0,0,0,0,0,0,0,0,0,23439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,0,0,0,0,0,23732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23643,0,0,0,0,0,0,0,0,0,0,0,0,0,23282,0,0,0,0,0,0,0,0,0,0,0,0,0
