driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58
1,100573,93774,92900,92582,92471,92434,92447,92310,92612,93121,92737,92795,92475,92984,93186,112039,76339,91823,91400,91194,91212,91524,91414,91564,91825,91419,91510,92267,91826,91149,91453,94258,92133,92016,92427,113298,76349,91013,90338,91200,90314,90421,91085,91175,90512,90508,90637,90785,90753,91010,91312,91629,91470,91789,91766,91813,92184,94576
2,112091,96505,95067,95662,95405,95662,95698,95363,95895,95038,94838,95039,96546,95592,114318,76690,93707,93539,93421,93822,94361,93889,94735,93587,94694,93545,93263,92848,93282,114826,74862,92876,92552,93071,95177,92892,92765,92993,94306,94974,93026,92807,92377,92619,93120,92898,93102,95082,94204,95702,93801,95493,95589,95243,96404,93858,95088,100000000
3,105340,95808,95436,95810,96837,94856,94619,94624,94691,94021,94097,94862,94407,94135,94473,114239,79238,94939,94011,93614,93503,94600,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000
4,106144,96233,94726,95355,94400,93278,92903,93099,93621,94053,94857,112624,75561,92679,91904,92289,92186,91832,91958,91936,92002,92336,91955,92198,93475,92371,113552,72167,90097,90103,90081,90177,90379,90356,90427,90314,90739,90399,91121,91094,91632,110315,73564,90029,89608,89840,89837,89597,89487,89867,89937,89657,89507,90401,89529,89665,89912,90501
5,112883,98252,97378,96628,97441,96512,96107,96391,96352,96240,95907,96498,96286,95527,95921,95237,120199,76917,94918,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000
10,114969,100099,98380,98143,97637,97671,98683,97140,96812,97153,96606,96793,97130,96727,96494,96968,96568,116357,684378,115210,99260,98574,96627,96500,97361,96198,95979,95801,98131,105904,100068,100024,100015,97695,97418,98248,96858,96109,98121,96515,98874,96731,101455,101096,97732,96265,99855,95789,99724,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000
13,104196,94485,95664,93900,94712,93700,94004,93833,93869,94490,96699,94662,114060,76408,92958,92749,92433,93492,92831,92661,92289,92321,92541,92450,92854,92724,93076,92914,93194,93265,113740,75473,91877,91644,91601,91884,91259,91263,91806,91291,91207,91093,91640,91490,91331,91378,91541,113006,72818,89451,90094,92456,92819,90070,88947,89770,90803,91822
15,114113,99875,98455,97289,97235,97586,97180,97731,97258,97210,96703,96679,97012,97704,97240,118768,79697,96982,95819,95857,99725,95033,95913,97097,95123,94436,94105,96984,98905,94640,94648,94524,94269,94249,97569,97048,118787,83041,97753,94799,93698,97707,93993,93123,96310,93277,93232,94452,96712,93029,92816,92550,93228,96502,93415,94704,100000000,100000000
16,111520,95827,94667,94602,95574,95221,96572,95803,94969,94161,94061,95471,95000,94395,94953,115254,77218,93265,93279,94750,93809,93366,94057,93843,93060,92712,93023,92923,92590,92726,92778,92934,92996,92803,92884,92633,111970,76599,92017,91960,94253,91924,91971,91679,92008,92246,93932,91931,91948,91937,92065,91681,91774,91773,91526,91579,92473,100000000
17,101467,93725,93208,92933,92899,92916,92900,93262,93330,94248,114995,76795,93661,94118,94236,92497,92534,92905,92730,92529,92301,92342,92472,92746,92920,111733,75321,91348,91386,90924,90796,90397,90562,90474,90800,90496,90627,90482,90739,91670,113490,71215,89686,90108,89803,89804,90530,90122,89713,89600,90165,89825,89996,89695,91124,90203,90472,92279
