raceId,lap,racersRacingThisLap
841,1,22
841,33,18
841,34,18
841,35,18
841,36,18
841,37,18
841,38,18
841,39,18
841,40,18
841,41,18
841,42,18
841,43,18
841,44,18
841,45,18
841,46,18
841,47,18
841,48,18
841,49,17
841,50,16
841,51,16
841,52,16
841,53,16
841,54,16
841,55,15
841,56,15
841,57,14
841,32,18
841,31,18
841,58,9
841,29,18
841,30,18
841,3,22
841,4,22
841,5,22
841,6,22
841,7,22
841,8,22
841,9,22
841,10,21
841,11,21
841,12,21
841,13,21
841,14,21
841,2,22
841,16,21
841,15,21
841,28,18
841,27,18
841,26,18
841,25,18
841,23,18
841,24,18
841,21,19
841,20,19
841,19,21
841,18,21
841,17,21
841,22,19
842,39,19
842,41,19
842,40,19
842,38,19
842,31,20
842,36,19
842,35,19
842,34,19
842,32,19
842,37,19
842,42,19
842,48,17
842,44,18
842,45,18
842,46,18
842,47,17
842,30,20
842,49,17
842,50,17
842,51,17
842,52,17
842,53,16
842,54,16
842,55,15
842,43,18
842,29,20
842,22,22
842,27,20
842,56,11
842,1,24
842,2,24
842,3,24
842,4,24
842,5,24
842,6,24
842,7,24
842,8,24
842,9,23
842,10,23
842,11,23
842,12,23
842,13,23
842,15,22
842,16,22
842,17,22
842,18,22
842,19,22
842,20,22
842,21,22
842,23,21
842,24,20
842,25,20
842,26,20
842,28,20
842,14,23
842,33,19
843,32,23
843,2,24
843,1,24
843,35,23
843,36,23
843,37,23
843,38,23
843,39,23
843,40,23
843,41,23
843,42,23
843,43,23
843,44,23
843,45,23
843,46,23
843,47,23
843,48,23
843,49,23
843,50,23
843,51,23
843,52,23
843,53,23
843,54,23
843,55,19
843,56,14
843,33,23
843,3,24
843,4,24
843,17,23
843,6,24
843,31,23
843,5,24
843,30,23
843,29,23
843,28,23
843,27,23
843,26,23
843,24,23
843,23,23
843,22,23
843,21,23
843,20,23
843,25,23
843,18,23
843,7,24
843,19,23
843,9,24
843,10,23
843,11,23
843,12,23
843,8,24
843,14,23
843,15,23
843,16,23
843,34,23
843,13,23
844,43,23
844,42,23
844,41,23
844,40,23
844,39,23
844,37,23
844,36,23
844,35,23
844,34,23
844,32,23
844,38,23
844,44,23
844,56,20
844,46,22
844,47,22
844,48,22
844,49,22
844,50,22
844,51,22
844,52,22
844,53,22
844,54,21
844,55,21
844,31,23
844,57,18
844,58,12
844,45,22
844,30,23
844,33,23
844,28,23
844,29,23
844,1,23
844,2,23
844,3,23
844,4,23
844,5,23
844,6,23
844,7,23
844,8,23
844,9,23
844,10,23
844,11,23
844,12,23
844,18,23
844,14,23
844,13,23
844,27,23
844,26,23
844,25,23
844,23,23
844,22,23
844,24,23
844,20,23
844,19,23
844,17,23
844,16,23
844,15,23
844,21,23
845,58,22
845,54,22
845,55,22
845,56,22
845,57,22
845,59,21
845,64,18
845,61,21
845,62,20
845,63,19
845,53,22
845,65,15
845,66,4
845,60,21
845,52,22
845,45,23
845,50,22
845,49,22
845,48,23
845,47,23
845,46,23
845,44,23
845,43,23
845,42,23
845,41,23
845,40,23
845,39,23
845,37,23
845,36,23
845,35,23
845,51,22
845,38,23
845,33,23
845,32,23
845,34,23
845,31,23
845,30,23
845,29,23
845,28,24
845,26,24
845,25,24
845,24,24
845,23,24
845,22,24
845,21,24
845,20,24
845,19,24
845,18,24
845,17,24
845,27,24
845,15,24
845,1,24
845,16,24
845,2,24
845,3,24
845,5,24
845,6,24
845,7,24
845,4,24
845,9,24
845,10,24
845,14,24
845,11,24
845,12,24
845,8,24
845,13,24
846,33,20
846,32,22
846,31,22
846,29,23
846,28,23
846,27,23
846,34,20
846,26,23
846,30,23
846,35,20
846,42,20
846,37,20
846,38,20
846,39,20
846,40,20
846,41,20
846,43,20
846,44,20
846,45,20
846,25,23
846,36,20
846,24,23
846,46,20
846,22,23
846,1,23
846,2,23
846,3,23
846,4,23
846,5,23
846,6,23
846,7,23
846,9,23
846,10,23
846,23,23
846,11,23
846,13,23
846,14,23
846,15,23
846,16,23
846,17,23
846,18,23
846,19,23
846,20,23
846,21,23
846,12,23
846,8,23
846,47,20
846,49,20
846,48,20
846,78,6
846,77,10
846,76,14
846,75,16
846,74,17
846,73,18
846,71,18
846,70,18
846,69,18
846,68,18
846,67,19
846,66,20
846,65,20
846,72,18
846,63,20
846,64,20
846,50,20
846,51,20
846,52,20
846,53,20
846,55,20
846,56,20
846,54,20
846,57,20
846,58,20
846,59,20
846,60,20
846,61,20
846,62,20
847,47,21
847,51,20
847,50,20
847,49,21
847,48,21
847,52,20
847,46,21
847,38,21
847,44,21
847,43,21
847,42,21
847,41,21
847,39,21
847,53,20
847,45,21
847,54,20
847,69,17
847,56,19
847,70,12
847,37,21
847,68,17
847,67,18
847,66,18
847,65,18
847,55,20
847,64,18
847,62,18
847,61,19
847,60,19
847,59,19
847,58,19
847,57,19
847,63,18
847,36,22
847,40,21
847,34,22
847,14,23
847,13,23
847,12,23
847,11,23
847,10,23
847,9,23
847,15,23
847,8,23
847,6,24
847,5,24
847,3,24
847,2,24
847,1,24
847,35,22
847,7,24
847,16,23
847,4,24
847,18,23
847,17,23
847,33,22
847,32,22
847,30,22
847,29,22
847,28,23
847,27,23
847,31,22
847,25,23
847,24,23
847,23,23
847,22,23
847,21,23
847,20,23
847,26,23
847,19,23
848,42,24
848,41,24
848,40,24
848,39,24
848,38,24
848,35,24
848,36,24
848,34,24
848,43,24
848,33,24
848,37,24
848,44,24
848,53,24
848,46,24
848,47,24
848,48,24
848,49,24
848,50,24
848,51,24
848,52,24
848,54,24
848,55,22
848,56,18
848,57,7
848,32,24
848,45,24
848,31,24
848,25,24
848,29,24
848,1,24
848,2,24
848,30,24
848,4,24
848,5,24
848,6,24
848,7,24
848,8,24
848,9,24
848,10,24
848,11,24
848,12,24
848,13,24
848,14,24
848,3,24
848,16,24
848,15,24
848,27,24
848,26,24
848,24,24
848,23,24
848,28,24
848,21,24
848,20,24
848,19,24
848,18,24
848,17,24
848,22,24
849,30,20
849,39,20
849,32,20
849,33,20
849,34,20
849,35,20
849,36,20
849,37,20
849,38,20
849,31,20
849,45,19
849,41,19
849,42,19
849,43,19
849,44,19
849,46,19
849,48,19
849,49,19
849,50,18
849,51,15
849,52,12
849,29,20
849,40,19
849,28,20
849,47,19
849,26,20
849,27,20
849,1,24
849,2,24
849,3,23
849,4,23
849,5,23
849,6,23
849,7,23
849,8,23
849,9,23
849,10,23
849,11,22
849,14,22
849,13,22
849,12,22
849,24,21
849,23,22
849,21,22
849,20,22
849,22,22
849,18,22
849,17,22
849,16,22
849,15,22
849,19,22
849,25,21
850,39,20
850,43,20
850,42,20
850,41,20
850,40,20
850,33,22
850,37,21
850,36,21
850,35,22
850,34,22
850,44,20
850,38,20
850,45,20
850,51,20
850,47,20
850,48,20
850,49,20
850,50,20
850,32,22
850,52,20
850,54,20
850,55,20
850,56,20
850,57,19
850,58,16
850,59,15
850,46,20
850,31,22
850,60,6
850,29,22
850,30,22
850,1,24
850,2,24
850,3,24
850,4,24
850,5,24
850,6,24
850,7,24
850,8,24
850,9,24
850,10,23
850,11,23
850,12,23
850,13,23
850,53,20
850,15,23
850,14,23
850,28,22
850,27,22
850,26,22
850,25,22
850,23,22
850,24,22
850,21,22
850,20,22
850,19,22
850,18,22
850,17,22
850,16,23
850,22,22
851,48,21
851,51,21
851,50,21
851,49,21
851,47,21
851,41,21
851,45,21
851,44,21
851,43,21
851,42,21
851,52,21
851,40,21
851,46,21
851,53,21
851,60,20
851,55,21
851,70,6
851,69,12
851,68,16
851,67,16
851,66,18
851,65,20
851,64,20
851,63,20
851,62,20
851,61,20
851,39,21
851,59,20
851,58,20
851,57,20
851,56,20
851,54,21
851,38,21
851,30,21
851,36,21
851,15,24
851,14,24
851,13,24
851,12,24
851,10,24
851,9,24
851,16,24
851,8,24
851,6,24
851,5,24
851,4,24
851,3,24
851,2,24
851,1,24
851,7,24
851,37,21
851,17,24
851,19,23
851,35,21
851,34,21
851,33,21
851,32,21
851,31,21
851,29,21
851,18,23
851,28,21
851,26,22
851,25,22
851,24,22
851,23,23
851,21,23
851,20,23
851,27,21
851,22,23
851,11,24
852,34,19
852,24,20
852,25,20
852,26,20
852,28,19
852,29,19
852,30,19
852,31,19
852,32,19
852,33,19
852,35,19
852,36,19
852,37,19
852,38,19
852,39,19
852,40,19
852,41,19
852,42,19
852,43,19
852,44,13
852,23,20
852,22,20
