raceId,laps,numberOvertaken,year,gp,reason,source
911,lap_38,17,2014,Belgian Grand Prix,,
868,lap_41,16,2012,British Grand Prix,,
118,lap_13,13,2003,British Grand Prix,,
118,lap_13,13,2003,British Grand Prix,,
209,lap_2,12,1997,Argentine Grand Prix,,
868,lap_43,12,2012,British Grand Prix,,
32,lap_18,11,2008,Singapore Grand Prix,,
32,lap_18,11,2008,Singapore Grand Prix,,
118,lap_13,11,2003,British Grand Prix,,
118,lap_13,11,2003,British Grand Prix,,
32,lap_18,10,2008,Singapore Grand Prix,,
32,lap_18,10,2008,Singapore Grand Prix,,
45,lap_2,10,2007,European Grand Prix,,
226,lap_31,10,1996,Argentine Grand Prix,,
868,lap_41,10,2012,British Grand Prix,,
990,lap_37,10,2018,Bahrain Grand Prix,,
32,lap_18,9,2008,Singapore Grand Prix,,
32,lap_18,9,2008,Singapore Grand Prix,,
45,lap_2,9,2007,European Grand Prix,,
226,lap_30,9,1996,Argentine Grand Prix,,
345,lap_9,9,2010,European Grand Prix,,
868,lap_40,9,2012,British Grand Prix,,
868,lap_24,9,2012,British Grand Prix,,
911,lap_24,9,2014,Belgian Grand Prix,,
918,lap_30,9,2014,Abu Dhabi Grand Prix,,
24,lap_19,8,2008,Canadian Grand Prix,,
24,lap_19,8,2008,Canadian Grand Prix,,
24,lap_19,8,2008,Canadian Grand Prix,,
24,lap_19,8,2008,Canadian Grand Prix,,
27,lap_39,8,2008,German Grand Prix,,
45,lap_2,8,2007,European Grand Prix,,
45,lap_13,8,2007,European Grand Prix,,
45,lap_2,8,2007,European Grand Prix,,
45,lap_2,8,2007,European Grand Prix,,
86,lap_11,8,2005,Belgian Grand Prix,,
107,lap_6,8,2004,Brazilian Grand Prix,,
110,lap_20,8,2003,Brazilian Grand Prix,,
118,lap_13,8,2003,British Grand Prix,,
133,lap_14,8,2002,British Grand Prix,,
338,lap_8,8,2010,Australian Grand Prix,,
338,lap_9,8,2010,Australian Grand Prix,,
338,lap_8,8,2010,Australian Grand Prix,,
338,lap_8,8,2010,Australian Grand Prix,,
345,lap_9,8,2010,European Grand Prix,,
868,lap_38,8,2012,British Grand Prix,,
868,lap_39,8,2012,British Grand Prix,,
990,lap_43,8,2018,Bahrain Grand Prix,,
24,lap_19,7,2008,Canadian Grand Prix,,
24,lap_19,7,2008,Canadian Grand Prix,,
24,lap_19,7,2008,Canadian Grand Prix,,
24,lap_19,7,2008,Canadian Grand Prix,,
41,lap_25,7,2007,Canadian Grand Prix,,
41,lap_25,7,2007,Canadian Grand Prix,,
41,lap_25,7,2007,Canadian Grand Prix,,
41,lap_25,7,2007,Canadian Grand Prix,,
41,lap_25,7,2007,Canadian Grand Prix,,
41,lap_25,7,2007,Canadian Grand Prix,,
41,lap_25,7,2007,Canadian Grand Prix,,
45,lap_13,7,2007,European Grand Prix,,
86,lap_12,7,2005,Belgian Grand Prix,,
86,lap_12,7,2005,Belgian Grand Prix,,
118,lap_13,7,2003,British Grand Prix,,
351,lap_4,7,2010,Singapore Grand Prix,,
868,lap_40,7,2012,British Grand Prix,,
911,lap_40,7,2014,Belgian Grand Prix,,
926,lap_13,7,2015,Australian Grand Prix,,
985,lap_2,7,2017,United States Grand Prix,,
990,lap_39,7,2018,Bahrain Grand Prix,,
990,lap_45,7,2018,Bahrain Grand Prix,,
990,lap_41,7,2018,Bahrain Grand Prix,,
990,lap_42,7,2018,Bahrain Grand Prix,,
24,lap_19,6,2008,Canadian Grand Prix,,
27,lap_39,6,2008,German Grand Prix,,
32,lap_18,6,2008,Singapore Grand Prix,,
89,lap_31,6,2005,Chinese Grand Prix,,
89,lap_31,6,2005,Chinese Grand Prix,,
107,lap_7,6,2004,Brazilian Grand Prix,,
107,lap_7,6,2004,Brazilian Grand Prix,,
110,lap_20,6,2003,Brazilian Grand Prix,,
110,lap_20,6,2003,Brazilian Grand Prix,,
165,lap_45,6,2000,Canadian Grand Prix,,
170,lap_7,6,2000,Belgian Grand Prix,,
338,lap_8,6,2010,Australian Grand Prix,,
338,lap_8,6,2010,Australian Grand Prix,,
340,lap_6,6,2010,Chinese Grand Prix,,
345,lap_9,6,2010,European Grand Prix,,
348,lap_16,6,2010,Hungarian Grand Prix,,
868,lap_37,6,2012,British Grand Prix,,
868,lap_26,6,2012,British Grand Prix,,
868,lap_37,6,2012,British Grand Prix,,
911,lap_28,6,2014,Belgian Grand Prix,,
