,driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60
0,2,96517,85559,85420,85749,85709,92754,156007,85822,84537,84756,85034,91843,120132,114032,144081,85905,86162,86273,87120,88415,93587,110582,87472,87809,87642,88017,87850,88133,87602,88381,88080,88327,88918,89090,94123,111772,87813,86981,86594,90469,87316,91724,88528,87623,87624,88092,86482,86289,86533,86796,87844,88140,86978,87629,86907,88145,87640,86286,100000000,100000000
1,4,91876,83708,84111,84027,84010,97175,159757,85143,83676,83539,83213,96223,121077,114142,144058,86379,86360,86616,86484,86606,86329,86334,86540,86186,86723,85484,84282,83655,84503,84039,84014,83152,83084,83221,83230,84031,82819,88594,125265,84316,85330,84964,86640,85293,85954,84769,85641,84624,84543,84145,84267,90067,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000
2,8,87618,83486,83565,83845,83942,96546,163526,83860,82911,83180,84720,90502,115732,119525,147909,85336,83782,83923,84331,84823,84780,84771,84728,84696,84644,84309,84336,84390,85444,84566,84229,83469,83198,83145,89058,107240,83767,84090,84168,84514,84788,87456,85292,84902,84938,84860,84616,89080,84378,84576,84780,84834,84436,84508,84330,84752,84714,84402,84867,85097
3,14,93099,84900,84787,84766,85089,94563,165005,87731,86191,85560,86003,89033,88179,123843,151494,86992,85256,84980,84664,85037,85350,85471,86078,85560,85667,85287,85168,90538,106630,85437,84142,85181,85153,85674,85289,84895,84714,86066,84425,84369,84428,83425,83470,83436,83735,83723,89207,103004,83527,85610,85269,83399,83955,85185,84692,84397,84933,84935,83093,82692
4,15,86970,83221,83327,83670,83628,97320,164097,83408,82797,83419,83376,89215,118641,119095,148582,86860,85442,84996,85222,84891,85439,86482,84854,85639,85704,86658,86355,85052,84994,84914,86060,84992,84029,84553,84037,90447,107851,85496,86277,84978,85198,85660,85649,86197,85596,85467,85335,87676,85255,84798,84794,84578,85050,84879,84558,84620,85132,85973,85084,86134
5,17,94917,85466,85546,85327,85393,91751,158391,85768,84123,84510,84740,91435,113457,116805,145578,87689,85997,86620,86350,86360,86447,86448,86204,87072,87534,85010,84019,83833,84411,90256,106170,84956,85727,85052,84935,85186,85124,85045,84985,86479,87091,85680,86450,85002,85498,85257,91828,107530,85775,85654,85228,84557,85275,85153,84900,87323,85839,87182,86884,100000000
6,18,96687,85937,85622,85691,85923,93580,154689,85739,84905,84703,84993,96532,123512,109171,142260,86578,85850,85992,85933,87946,85738,85460,85800,86613,87046,86513,85624,85771,85850,85862,87172,85987,85432,86216,84724,84571,84468,85405,84553,84206,84781,89504,106139,84143,85229,84306,84735,84021,84391,84319,84103,84325,83912,84652,84927,84947,84721,85289,84727,84607
7,21,97438,86265,85589,85878,85926,97424,150813,85830,84839,84863,85566,93748,118763,112117,143835,85743,85863,86489,86857,89017,87369,86171,85904,86009,86215,85835,86016,85683,86031,85659,86408,86971,85313,85654,85222,84826,84895,91392,109168,84823,85369,85456,85262,175466,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000
8,22,89385,83512,82855,83431,83793,97393,162889,83846,82719,83216,83413,89201,119270,121725,146440,85032,86370,84102,84992,84853,85321,87039,84818,85147,85920,85105,84441,84901,84834,84121,83669,83190,82622,83628,82892,82897,82525,82236,87933,106042,83876,85686,84120,84409,84625,84176,83642,83786,84291,83883,84242,84310,83940,84486,84612,84646,84932,85482,84996,85696
9,23,89998,83885,83769,83739,83795,97675,160854,84617,83227,82943,83565,90559,115421,119577,148043,86277,87477,86852,92579,104797,83128,83790,84205,83997,84021,84668,86067,86041,86081,83868,85048,85682,85525,84839,84788,84395,84614,85198,90758,107463,88784,84427,85076,85869,85562,84689,85389,84881,84343,85018,84795,84647,84404,84619,84494,84151,85037,84860,84713,86003
10,30,90540,83938,83850,83886,83854,97412,160772,84512,83473,83024,83603,93686,125314,115172,143935,85350,86327,86694,86659,86438,86783,86111,86492,88314,85981,86704,85513,85528,86067,85785,86231,84548,83099,83627,83559,83375,83236,83642,84540,90908,106401,83668,83520,84969,85385,84770,85416,86170,83319,83935,83778,83959,83942,83921,84214,83567,83474,83050,83729,83533
11,31,91120,84032,83953,83984,83871,97541,159888,84921,83592,83425,83302,95665,120503,114278,144831,85015,85808,83924,84744,84837,85525,86723,84964,85188,85968,85767,84860,84228,84669,84949,84573,83363,82938,83438,83843,83336,83284,89540,106649,87023,83404,83634,83925,83971,84444,84021,83818,84176,83890,84170,84047,83768,83939,84243,84172,84264,84284,84769,84699,85316
12,35,94484,84979,85005,85176,85260,92884,158920,85076,84416,84558,84315,92051,114827,116774,145681,87194,85833,86532,86598,87056,86184,86667,86344,88466,86011,87107,85460,85776,85720,85973,88070,85772,84980,85595,85025,84498,84563,85151,84670,85099,90338,108111,84346,84406,85796,84705,84623,85924,84911,84381,84317,84040,84198,84222,83824,84122,83705,83961,101500,84943
13,42,93688,85047,84800,84781,85181,92340,166085,108734,83158,84414,85306,90685,90390,114877,145212,87232,86174,86663,86543,86030,85931,86493,86103,86054,92519,106854,83573,84420,85153,84221,84846,84202,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000
14,43,92433,84686,84325,84027,84497,96438,164781,85848,85811,86545,86572,88021,89266,123484,152423,84657,84555,84877,84591,84600,84565,84725,84678,85011,84533,84415,84418,84493,85018,90798,105214,83528,83934,86143,84528,84703,84507,84589,84708,84632,84843,84757,84628,90746,106535,84900,85439,86877,85702,85440,87291,84872,84707,84915,85166,84635,84732,85367,84897,84613
15,44,95374,85581,85527,85286,85448,95453,159217,87871,85750,85748,86026,87767,89065,123453,152420,86186,85752,84901,84647,85184,85438,85561,86061,85602,85722,85249,85128,84875,85566,87461,92988,104076,84908,85585,85386,85229,86939,85007,85307,86365,84353,85045,85859,86064,91576,104725,83463,85622,84107,84987,86231,85033,85299,84701,85003,85159,84816,84366,85179,86064
16,49,99760,86670,87261,87038,85316,92739,151266,85720,84963,85000,85502,95387,125520,106188,142609,86487,86553,86592,85855,86889,87375,86625,86184,86811,86602,86109,86067,86092,87353,86834,85703,84966,84878,85481,85080,84701,85037,84950,91595,108114,85233,85304,85343,87859,85416,86234,85429,84735,85043,85185,85005,84994,85207,84270,84433,84598,84293,83933,84427,86305
17,50,97850,87021,87881,87445,90394,93335,146909,88275,89853,88393,88200,91517,95462,126222,142694,87665,87357,87757,87579,88145,87867,88206,88997,88342,88100,88345,88683,87781,88470,88038,88333,88000,87959,87555,87553,93604,112531,88365,88253,89155,87216,87579,90305,88206,87525,89359,87875,88016,87981,89454,87921,88349,87269,87155,87298,87495,87249,90048,100000000,100000000
18,51,98448,87464,88193,87730,87729,94092,146526,86441,85859,86421,86504,94279,116988,109005,143661,86683,87480,87968,87882,87946,87629,87650,87449,88503,87900,87326,87302,87028,94493,126578,88376,88092,89138,88467,87843,87783,89961,89495,88675,87690,88561,88694,87563,89017,87565,88023,88168,87236,87931,87038,86562,86630,86595,86577,89976,87985,87287,88077,100000000,100000000
19,52,98219,87158,87979,87469,87845,99244,145770,86806,87444,86054,86677,90671,93321,120469,147571,86778,87117,86587,86127,86340,86682,86335,86161,86663,88303,87558,85778,85485,85810,86354,86615,86660,85087,85510,91367,111462,86048,86473,86117,86215,86496,86441,86524,86905,86130,85919,85886,85947,85458,85265,85769,86256,85346,85160,85556,87253,86014,86420,87220,100000000
